case,episode,decision,agent,sim_time,latent_heading,latent_speed,latent_heading_unclipped,requested_turn_degrees,applied_turn_degrees,heading_before,reference_heading_before,heading_after,actual_turn_degrees,drift_after_degrees,static_override,mapped_turn_saturated
held020,0,92,KL0010,465.0,-0.17729106545448303,-0.2568882405757904,-0.17729106219271634,0.2921459753997624,0.2921459753997624,323.392104420287,-20.35955810546875,323.6842503956868,0.2921459753997624,-16.251909255981445,0,0
held020,0,93,KL001,470.0,0.09972299635410309,-0.03777654841542244,0.0997229983460468,-0.15103511628694832,-0.15103511628694832,33.72766030699273,24.6015625,33.57662519070578,-0.15103511628694832,9.128544807434082,0,0
held020,0,93,KL002,470.0,-0.07065261155366898,0.07078710943460464,-0.07065260815943723,0.09115656022913754,0.09115656022913754,154.96603858052123,161.41592407226562,155.05719514075037,0.09115656022913754,-6.451346397399902,0,0
held020,0,93,KL003,470.0,0.3035886287689209,-0.222632497549057,0.3035886140517778,-0.4543868685141206,-0.4543868685141206,37.30820043809007,9.530838012695312,36.85381356957595,-0.4543868685141206,27.78243064880371,0,0
held020,0,93,KL004,470.0,0.05878069996833801,-0.045152656733989716,0.05878070014605688,-0.08987931534647942,-0.08987931534647942,94.3855518395851,89.00540161132812,94.29567252423863,-0.08987931534647942,5.381629467010498,0,0
held020,0,93,KL005,470.0,-0.07557414472103119,-0.423918217420578,-0.07557414549106369,0.07732157944701612,0.07732157944701612,134.87442751038054,141.75341796875,134.95174908982756,0.07732157944701612,-6.87910270690918,0,0
held020,0,93,KL006,470.0,0.23650796711444855,0.2826724350452423,0.23650796236843266,-0.30315281823277473,-0.30315281823277473,283.9938695408891,-97.59500122070312,283.6907167226563,-0.30315281823277473,21.595247268676758,0,0
held020,0,93,KL007,470.0,0.2616409957408905,0.05246266350150108,0.261640999343525,-0.41558967903256416,-0.41558967903256416,222.08675301806096,-161.87652587890625,221.6711633390284,-0.41558967903256416,23.970808029174805,0,0
held020,0,93,KL008,470.0,-0.4395560622215271,-0.02262250706553459,-0.43955606770626177,0.939526604488492,0.939526604488492,257.72826501246914,-61.77215576171875,258.66779161695763,0.939526604488492,-40.518375396728516,0,0
held020,0,93,KL009,470.0,-0.05389312282204628,0.4501244127750397,-0.053893123435406226,0.07696128857787699,0.07696128857787699,157.4659026802936,162.39324951171875,157.54286396887147,0.07696128857787699,-4.929368019104004,0,0
held020,0,93,KL0010,470.0,-0.17729106545448303,-0.33522316813468933,-0.17729106219271634,0.2957147383131087,0.2957147383131087,323.6842503956868,-20.0638427734375,323.9799651339999,0.2957147383131087,-16.255088806152344,0,0
held020,0,94,KL001,475.0,0.09972299635410309,-0.09614429622888565,0.0997229983460468,-0.15347520355135202,-0.15347520355135202,33.57662519070578,24.448089599609375,33.42314998715443,-0.15347520355135202,9.130849838256836,0,0
held020,0,94,KL002,475.0,-0.07065261155366898,-0.06669221073389053,-0.07065260815943723,0.09261138620786369,0.09261138620786369,155.05719514075037,161.508544921875,155.14980652695823,0.09261138620786369,-6.4525532722473145,0,0
held020,0,94,KL003,475.0,0.3035886287689209,0.05971302092075348,0.3035886140517778,-0.4594531422480941,-0.4594531422480941,36.85381356957595,9.071380615234375,36.394360427327854,-0.4594531422480941,27.79059410095215,0,0
held020,0,94,KL004,475.0,0.05878069996833801,-0.10823223739862442,0.05878070014605688,-0.09136657929047942,-0.09136657929047942,94.29567252423863,88.91403198242188,94.20430594494815,-0.09136657929047942,5.383031368255615,0,0
held020,0,94,KL005,475.0,-0.07557414472103119,-0.13389064371585846,-0.07557414549106369,0.07743000984191895,0.07743000984191895,134.95174908982756,141.83087158203125,135.02917909966948,0.07743000984191895,-6.8796868324279785,0,0
held020,0,94,KL006,475.0,0.23650796711444855,0.10879753530025482,0.23650796236843266,-0.30953050358220935,-0.30953050358220935,283.6907167226563,-97.904541015625,283.3811862190741,-0.30953050358220935,21.600534439086914,0,0
held020,0,94,KL007,475.0,0.2616409957408905,0.028784435242414474,0.261640999343525,-0.4231199808418751,-0.4231199808418751,221.6711633390284,-162.29965209960938,221.24804335818652,-0.4231199808418751,23.978355407714844,0,0
held020,0,94,KL008,475.0,-0.4395560622215271,-0.33907029032707214,-0.43955606770626177,0.958333583548665,0.958333583548665,258.66779161695763,-60.8138427734375,259.6261252005063,0.958333583548665,-40.53069305419922,0,0
held020,0,94,KL009,475.0,-0.05389312282204628,0.005861639976501465,-0.053893123435406226,0.0789872941095382,0.0789872941095382,157.54286396887147,162.47222900390625,157.621851262981,0.0789872941095382,-4.930727958679199,0,0
