case,episode,decision,agent,sim_time,latent_heading,latent_speed,latent_heading_unclipped,requested_turn_degrees,applied_turn_degrees,heading_before,reference_heading_before,heading_after,actual_turn_degrees,drift_after_degrees,static_override,mapped_turn_saturated
zero,0,5,KL002,30.0,0.0,0.0,0.0,1.4315551624122236e-05,1.4315551624122236e-05,165.81446231994505,165.81448364257812,165.8144766354967,1.4315551652543945e-05,-1.4203693353920244e-05,0,0
zero,0,5,KL003,30.0,0.0,-0.0,0.0,29.202859103679657,29.202859103679657,57.9912027804268,87.19406127929688,66.58725327323798,8.596050492811173,-21.169904708862305,0,0
zero,0,5,KL004,30.0,-0.0,-0.0,-0.0,-9.38345342874527,-9.38345342874527,38.13602619124805,28.7525634765625,29.53997569843687,-8.596050492811173,0.8570008277893066,0,0
zero,0,5,KL005,30.0,-0.0,-0.0,-0.0,1.856216684359424e-05,1.856216684359424e-05,135.862808455287,135.86282348632812,135.8628270174538,1.856216681517253e-05,-1.8431777789373882e-05,0,0
zero,0,5,KL006,30.0,0.0,0.0,0.0,0.0030427392266574316,0.0030427392266574316,290.88500211943517,-69.1119384765625,290.88804485866183,0.0030427392266574316,-0.0031070911791175604,0,0
zero,0,5,KL007,30.0,-0.0,0.0,-0.0,-1.5608066519234853e-05,-1.5608066519234853e-05,202.03360869287928,-157.96640014648438,202.03359308481276,-1.5608066519234853e-05,1.5454583262908272e-05,0,0
zero,0,5,KL008,30.0,0.0,0.0,0.0,0.0011293334318907,0.0011293334318907,291.2897917999788,-68.70907592773438,291.2909211334107,0.0011293334318907,-0.001147710019722581,0,0
zero,0,5,KL009,30.0,0.0,0.0,0.0,1.0368588547748914e-05,1.0368588547748914e-05,169.13215072518892,169.13217163085938,169.13216109377748,1.0368588561959768e-05,-1.0276958164467942e-05,0,0
zero,0,5,KL0010,30.0,-0.0,-0.0,-0.0,1.993617559037375e-05,1.993617559037375e-05,338.0696008644752,-21.93035888671875,338.0696208006508,1.993617559037375e-05,-1.982527828658931e-05,0,0
zero,0,6,KL001,35.0,0.0,-0.0,0.0,0.0008542953582946211,0.0008542953582946211,16.752867207117504,16.75372314453125,16.7537215024758,0.0008542953582946211,-0.0008441468235105276,0,0
zero,0,6,KL002,35.0,-0.0,0.0,-0.0,1.4203693581293919e-05,1.4203693581293919e-05,165.8144766354967,165.81451416015625,165.81449083919028,1.4203693581293919e-05,-1.4091781849856488e-05,0,0
zero,0,6,KL003,35.0,-0.0,0.0,-0.0,21.169905960559845,21.169905960559845,66.58725327323798,87.75714111328125,75.18333100882356,8.596077735585595,-12.964080810546875,0,0
zero,0,6,KL004,35.0,0.0,-0.0,0.0,-0.8570008166134357,-0.8570008166134357,29.53997569843687,28.6829833984375,28.68297488182344,-0.8570008166134357,0.0018480444559827447,0,0
zero,0,6,KL005,35.0,0.0,0.0,0.0,1.8431778983085678e-05,1.8431778983085678e-05,135.8628270174538,135.86285400390625,135.8628454492328,1.8431778983085678e-05,-1.8301319869351573e-05,0,0
zero,0,6,KL006,35.0,0.0,-0.0,0.0,0.0031070912882569246,0.0031070912882569246,290.88804485866183,-69.10885620117188,290.8911519499501,0.0031070912882569246,-0.0031735016964375973,0,0
zero,0,6,KL007,35.0,-0.0,0.0,-0.0,-1.545458289342605e-05,-1.545458289342605e-05,202.03359308481276,-157.9664306640625,202.03357763022984,-1.545458292184776e-05,1.5300929590011947e-05,0,0
zero,0,6,KL008,35.0,0.0,0.0,0.0,0.0011477100179035915,0.0011477100179035915,291.2909211334107,-68.70791625976562,291.2920688434286,0.0011477100179035915,-0.0011663961922749877,0,0
zero,0,6,KL009,35.0,-0.0,0.0,-0.0,1.0276958164467942e-05,1.0276958164467942e-05,169.13216109377748,169.13217163085938,169.13217137073565,1.0276958164467942e-05,-1.0185261999140494e-05,0,0
zero,0,6,KL0010,35.0,0.0,0.0,0.0,1.982527933819256e-05,1.982527933819256e-05,338.0696208006508,-21.93035888671875,338.0696406259301,1.982527930977085e-05,-1.971455458260607e-05,0,0
zero,0,7,KL001,40.0,0.0,-0.0,0.0,0.0008441468708042521,0.0008441468708042521,16.7537215024758,16.754562377929688,16.754565649346603,0.0008441468708042521,-0.0008338436600752175,0,0
zero,0,7,KL002,40.0,-0.0,-0.0,-0.0,1.4091781821434779e-05,1.4091781821434779e-05,165.81449083919028,165.81451416015625,165.81450493097213,1.4091781849856488e-05,-1.3979823052068241e-05,0,0
zero,0,7,KL003,40.0,0.0,-0.0,0.0,12.964081764221191,12.964081764221191,75.18333100882356,88.14739990234375,83.77943598727019,8.596104978446647,-4.565269947052002,0,0
zero,0,7,KL004,40.0,0.0,0.0,0.0,-0.0018480444668966811,-0.0018480444668966811,28.68297488182344,28.681121826171875,28.681126837356544,-0.0018480444668966811,0.001932862913236022,0,0
