time/time_elapsed,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/n_updates
1000,1512,416754,25,0.0003,0.10154473036527634,0.2227628231048584,67.1981201171875,62.31438064575195,167832
1026,1516,417364,25,0.0003,0.09992146864533424,0.5164538882672787,69.0621452331543,43.35706329345703,168442
1067,1520,418248,25,0.0003,0.0996839851140976,0.04623011499643326,65.02696228027344,66.61582565307617,169326
1108,1524,419024,24,0.0003,0.09704308211803436,0.01626637578010559,65.8110237121582,46.66902542114258,170102
1131,1528,419586,24,0.0003,0.09327257052063942,-0.37770067155361176,62.340049743652344,43.361331939697266,170664
1153,1532,420084,24,0.0003,0.08948797732591629,-0.19716686755418777,68.31303787231445,43.27006530761719,171162
1181,1536,420626,24,0.0003,0.08460599184036255,-0.011741794645786285,65.44429779052734,38.50233268737793,171704
1205,1540,421116,24,0.0003,0.07841130346059799,-0.10015057027339935,66.693359375,40.72709655761719,172194
1240,1544,421890,24,0.0003,0.07642451301217079,0.39873693883419037,71.77062225341797,47.750328063964844,172968
1278,1548,422696,24,0.0003,0.07685752585530281,-0.06959763169288635,68.26869583129883,40.1554012298584,173774
1313,1552,423526,24,0.0003,0.07469873502850533,0.15081998705863953,67.5119400024414,38.57070541381836,174604
1350,1556,424270,24,0.0003,0.07286594808101654,-0.19695978611707687,66.56768798828125,36.72177505493164,175348
1370,1560,424894,24,0.0003,0.07672253996133804,0.2126157507300377,62.29978942871094,38.10687255859375,175972
1393,1564,425466,24,0.0003,0.07943348959088326,0.28945042192935944,66.17906379699707,39.8048095703125,176544
1422,1568,426084,24,0.0003,0.07992250844836235,0.2006390541791916,65.36143493652344,46.09193420410156,177162
1438,1572,426564,24,0.0003,0.07981020212173462,-0.26961008831858635,65.99713897705078,42.38070869445801,177642
1452,1576,426894,24,0.0003,0.0790279358625412,0.2695430554449558,70.878173828125,53.993160247802734,177972
1500,1580,427984,24,0.0003,0.08349106460809708,-0.35069385170936584,73.62665939331055,48.39019775390625,179062
1521,1584,428398,24,0.0003,0.08525484800338745,-0.3949727863073349,72.55402374267578,48.21006774902344,179476
1538,1588,428826,24,0.0003,0.08252831920981407,0.28544633835554123,73.60234832763672,43.90684127807617,179904
1562,1592,429600,24,0.0003,0.08278759568929672,-0.05903968960046768,69.49449157714844,36.51401329040527,180678
1590,1596,430368,24,0.0003,0.08234229311347008,0.13206318393349648,73.51911926269531,45.23712158203125,181446
1616,1600,431002,24,0.0003,0.08249188587069511,-0.41953372210264206,68.16186141967773,50.01520347595215,182080
1644,1604,431512,24,0.0003,0.08102437481284142,0.32009632885456085,66.70063400268555,42.38253402709961,182590
1665,1608,431982,24,0.0003,0.08092480525374413,0.2340131551027298,72.53485107421875,41.14793395996094,183060
1685,1612,432398,24,0.0003,0.0794948898255825,0.39038194715976715,66.20925521850586,39.719587326049805,183476
1710,1616,433054,24,0.0003,0.08113197609782219,0.5728515386581421,73.58284759521484,41.74718475341797,184132
1728,1620,433570,24,0.0003,0.07895643636584282,0.3354882299900055,69.23455429077148,43.29702568054199,184648
1759,1624,434358,24,0.0003,0.07964026927947998,0.6271887943148613,71.2198715209961,41.37916374206543,185436
1783,1628,434924,24,0.0003,0.07980071753263474,0.37804368883371353,73.12236022949219,47.59786796569824,186002
1819,1632,435742,24,0.0003,0.08010616153478622,-0.21399205178022385,70.51029586791992,38.75967597961426,186820
1841,1636,436222,24,0.0003,0.08150184154510498,-0.06398438662290573,65.62992477416992,54.50696563720703,187300
1889,1640,437150,24,0.0003,0.07623565942049026,0.06662775576114655,74.25068283081055,55.75980758666992,188228
1926,1644,438078,24,0.0003,0.07756983116269112,-0.3390672728419304,73.37921524047852,39.140419006347656,189156
1968,1648,439028,24,0.0003,0.07723094522953033,-0.08269892632961273,74.93705368041992,46.72809982299805,190106
2004,1652,439744,24,0.0003,0.07802341505885124,-0.4996510297060013,78.61585998535156,44.84210014343262,190822
2033,1656,440396,24,0.0003,0.07703822478652,0.24935345351696014,77.22406768798828,39.1781005859375,191474
2058,1660,440926,24,0.0003,0.07849107310175896,-0.7511037737131119,74.98810577392578,43.04138946533203,192004
2093,1664,441690,23,0.0003,0.07854663580656052,-0.033061206340789795,77.10251235961914,40.08384704589844,192768
2124,1668,442438,23,0.0003,0.07792587950825691,0.526655986905098,77.17258834838867,43.90252876281738,193516
2142,1672,442912,23,0.0003,0.07666623219847679,0.08265586197376251,79.18282318115234,34.32936477661133,193990
2183,1676,443858,23,0.0003,0.08028019964694977,0.5310426354408264,76.40971374511719,39.23876953125,194936
2210,1680,444406,23,0.0003,0.08357128500938416,0.4211450666189194,77.95119857788086,49.62251281738281,195484
2252,1684,445438,23,0.0003,0.08109956234693527,-0.18966546840965748,81.36351013183594,42.00664520263672,196516
2278,1688,446122,23,0.0003,0.07786517590284348,-0.11229344829916954,84.00724411010742,46.85033416748047,197200
2313,1692,446850,23,0.0003,0.0771745853126049,0.24335728585720062,83.22645568847656,45.72843360900879,197928
2357,1696,447632,23,0.0003,0.07632537558674812,-0.7409747242927551,80.82239532470703,53.326799392700195,198710
2375,1700,448008,23,0.0003,0.07632514461874962,0.20736552774906158,80.84525299072266,43.76865768432617,199086
2404,1704,448636,23,0.0003,0.07733410224318504,0.5936499387025833,82.54816055297852,49.38339614868164,199714
2438,1708,449336,23,0.0003,0.07967371493577957,0.013480275869369507,83.27196502685547,48.2257022857666,200414
2476,1712,450186,23,0.0003,0.0821240209043026,0.014054402709007263,86.84362411499023,54.03445243835449,201264
2497,1716,450532,23,0.0003,0.08288870751857758,0.6874432563781738,84.57801055908203,40.521541595458984,201610
2529,1720,451026,23,0.0003,0.08224007487297058,-0.022981008514761925,86.7716178894043,54.264854431152344,202104
2559,1724,451626,23,0.0003,0.08596014231443405,0.9810124039649963,83.53847122192383,50.39401626586914,202704
2579,1728,452030,23,0.0003,0.08458718657493591,-0.06217634677886963,87.26382064819336,52.43852233886719,203108
2608,1732,452506,23,0.0003,0.08620180189609528,-0.4503711611032486,85.61680221557617,67.39408874511719,203584
2624,1736,452914,23,0.0003,0.08693533390760422,0.7631034553050995,85.7656021118164,45.43523025512695,203992
2639,1740,453284,23,0.0003,0.08429345861077309,-0.0725584626197815,81.90800476074219,49.841453552246094,204362
2655,1744,453640,23,0.0003,0.08232135698199272,0.24183611571788788,95.74454498291016,49.50695037841797,204718
2677,1748,454082,23,0.0003,0.08174919709563255,0.722246840596199,91.68755722045898,55.28902626037598,205160
2700,1752,454462,23,0.0003,0.08027995750308037,-0.42720988392829895,94.81360244750977,56.04402542114258,205540
2730,1756,454996,23,0.0003,0.08344997093081474,0.49136970937252045,91.11673736572266,46.81725883483887,206074
2758,1760,455498,23,0.0003,0.08204568177461624,-0.7816276550292969,87.90913391113281,48.92290496826172,206576
2788,1764,455962,23,0.0003,0.08025597780942917,0.10174490511417389,94.27699279785156,56.0114860534668,207040
2807,1768,456474,23,0.0003,0.08277903869748116,-0.07013897597789764,93.79797744750977,61.34536361694336,207552
2833,1772,457166,23,0.0003,0.0794762521982193,-0.25904197432100773,91.76162719726562,61.159393310546875,208244
2854,1776,457546,23,0.0003,0.08162302151322365,-0.24450960755348206,97.0555534362793,44.52442932128906,208624
2873,1780,457944,23,0.0003,0.08102886378765106,-0.17619100213050842,90.73409652709961,83.08282852172852,209022
2893,1784,458340,23,0.0003,0.0830361358821392,0.034125491976737976,85.77853775024414,42.4139289855957,209418
2911,1788,458678,23,0.0003,0.08410044759511948,0.3547239489853382,93.94741821289062,48.95296096801758,209756
2946,1792,459230,22,0.0003,0.08349732682108879,-0.71268031001091,94.71739196777344,48.01121520996094,210308
2964,1796,459564,22,0.0003,0.08463755622506142,-0.07782977819442749,93.43252182006836,64.99804306030273,210642
2994,1800,460166,22,0.0003,0.0836433619260788,-0.21683739870786667,90.96916961669922,79.20019912719727,211244
3015,1804,460632,22,0.0003,0.08019658923149109,0.04924715310335159,90.99031066894531,55.94668769836426,211710
3042,1808,461180,22,0.0003,0.07919737324118614,-0.07952496409416199,89.49169158935547,66.50400161743164,212258
3064,1812,461606,22,0.0003,0.07995906472206116,-0.22357933223247528,89.84334564208984,60.69348907470703,212684
3084,1816,461934,22,0.0003,0.07809310033917427,-0.017424963414669037,90.2224235534668,43.48920822143555,213012
3122,1820,462734,22,0.0003,0.07602454721927643,0.3203628435730934,94.85490417480469,63.71973991394043,213812
3150,1824,463270,22,0.0003,0.07681122794747353,-0.0030424855649471283,96.2998275756836,50.81288528442383,214348
3167,1828,463638,22,0.0003,0.0769694410264492,-0.12141260504722595,95.50450134277344,46.27095413208008,214716
3189,1832,464018,22,0.0003,0.07578190416097641,0.0378495454788208,92.37669372558594,79.79330062866211,215096
3225,1836,464574,22,0.0003,0.07859804853796959,0.038366302847862244,98.06560134887695,57.23358917236328,215652
3247,1840,464950,22,0.0003,0.07923715934157372,0.07311095297336578,94.85637664794922,40.62159729003906,216028
3265,1844,465374,22,0.0003,0.0793813019990921,-0.1586850881576538,101.14349365234375,52.975961685180664,216452
3287,1848,465800,22,0.0003,0.07934119552373886,-0.022121943533420563,97.07564544677734,57.16976737976074,216878
3314,1852,466358,22,0.0003,0.07993188500404358,0.22145316004753113,98.54061508178711,62.68011474609375,217436
3343,1856,466816,22,0.0003,0.07827654480934143,-0.8924505412578583,100.71175765991211,65.21059989929199,217894
3390,1860,467552,22,0.0003,0.07570034638047218,-0.09174194931983948,97.58987045288086,57.23207092285156,218630
3416,1864,467924,22,0.0003,0.07711874321103096,-0.3158416152000427,96.25105667114258,45.29751777648926,219002
3456,1868,468694,22,0.0003,0.07721425592899323,-0.03743176907300949,97.61977005004883,44.65615463256836,219772
3476,1872,469082,22,0.0003,0.07697170972824097,0.06998459994792938,93.03475952148438,56.85474967956543,220160
3500,1876,469488,22,0.0003,0.07807585224509239,-0.02538421005010605,92.4093017578125,50.814775466918945,220566
3532,1880,469962,22,0.0003,0.07897113263607025,1.0961930751800537,93.3166389465332,40.51522254943848,221040
3559,1884,470582,22,0.0003,0.08176138252019882,0.4301791191101074,96.60161972045898,57.75148963928223,221660
3578,1888,470984,22,0.0003,0.08225985243916512,-0.257903628051281,96.3582763671875,53.86064910888672,222062
