time,distance_nm,heading_difference_deg,speed_a_mps,speed_b_mps,action_a,action_b,filter_a,filter_b,goal_distance_a_km,goal_distance_b_km
250.0,20.935190925933775,23.60769347977572,165.5846750214427,165.5846750214427,0.3246445655822754,-0.9837039113044739,False,True,111.26447328302595,79.00702130760631
260.0,20.715483116902632,8.998688028573326,165.5846750214427,165.5846750214427,-0.8300545811653137,-0.9844880104064941,False,True,110.48420743664028,78.29133358711948
270.0,20.45462422995546,24.821938978330195,165.5846750214427,165.5846750214427,0.19854581356048584,-0.9846954345703125,False,True,109.65595343675811,77.60481263403537
280.0,20.12746090324009,20.887377368108332,165.5846750214427,165.5846750214427,-0.8325637578964233,-0.984067440032959,False,True,108.83801882381016,77.06871991831774
290.0,19.63113770512623,41.71062831786517,165.5846750214427,165.5846750214427,0.36838626861572266,-0.9808844327926636,False,True,107.87943808200197,76.70492022821405
300.0,19.15326700911577,25.88737736810836,165.5846750214427,165.5846750214427,-0.8490068912506104,-0.9797196388244629,False,True,106.97595091084183,76.39136889766455
310.0,18.597000549906756,46.71062831786523,165.5846750214427,165.5846750214427,-0.9380138516426086,-0.9892411231994629,False,True,106.05242830104301,76.24074558742092
320.0,17.7418515103369,67.53387926762207,165.5846750214427,165.5846750214427,-0.27622175216674805,-0.9744206070899963,False,True,104.8033598837537,76.2707869350679
330.0,16.66265728031773,79.96385811512567,165.31682884277498,165.5846750214427,0.022253870964050293,-0.9724814891815186,False,True,103.32124157719981,76.35317437398378
340.0,15.500984218911686,83.96243392174352,162.94849133115542,165.5846750214427,0.032311081886291504,-0.9833906888961792,False,True,101.82098215672633,76.59945089809621
350.0,14.36037793160574,82.50843523686035,161.3351651169803,165.5846750214427,0.9816904067993164,-0.9854919910430908,False,True,100.35782243266411,76.89683146519017
360.0,13.314519136141138,71.11413271180848,159.74970515891908,165.5846750214427,0.8739557266235352,-0.9841293096542358,False,True,99.0442036117167,77.35356076865396
370.0,12.516931874177189,54.65252003498435,159.16349860345142,165.5846750214427,-0.24385589361190796,-0.984816312789917,False,True,98.05679595475489,77.85857843509491
380.0,11.728418770603284,65.62603524752029,161.96588936823196,165.5846750214427,0.5822591781616211,-0.9740017652511597,False,True,97.05949027696961,78.39585166226209
390.0,11.045807493354,49.41854640071199,161.659088034122,165.5846750214427,-0.7501825094223022,-0.9284842610359192,False,True,96.21473055137629,78.96472203670623
