rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,train/std,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/value_loss
-1.2814545414140257,191.23,189,13,1,28160,0.05160143971443176,0.2,0.0003,-0.012037286045961082,0.014505917,0.029112134128808975,3.102340894937515,0.17133579030632973,0.5063126087188721,99,0.04565090658143163
-1.3572142832119343,190.79,216,11,1,30720,0.05143216252326965,0.2,0.0003,-0.0068163600655680055,0.018891774,0.03895343840122223,3.0925186216831206,0.17327535822987555,0.6617577075958252,109,0.08810785077512265
-1.4046281083650243,195.87,262,9,1,33280,0.051440633833408356,0.2,0.0003,-0.014178703208017396,0.015319971,0.01703084260225296,3.09871444106102,0.19650948736816645,0.7476083636283875,119,0.03306134263984859
-1.3454121592421504,193.62,204,12,1,35840,0.05161632224917412,0.2,0.0003,-0.013739733623030286,0.018991465,0.026165949180722237,3.0957224289576213,0.18339891157423457,0.7513980269432068,129,0.016368818935006857
-1.6316757714720873,196.52,172,14,1,38400,0.051463667303323746,0.2,0.0003,-0.013426993999746627,0.016429106,0.028808966279029846,3.0925242960453034,0.1819253174588084,0.6868103742599487,139,0.01637375510763377
-1.5763401330710352,197.15,256,9,1,40960,0.05164709314703941,0.2,0.0003,-0.014654151406648452,0.012919175,0.017528405413031578,3.094605600833893,0.14916434180922805,0.4013723134994507,149,0.08686547568067908
-1.4450493822591723,198.77,164,15,1,43520,0.05184371769428253,0.2,0.0003,-0.013732176600024104,0.013237746,0.013113484717905521,3.085684287548065,0.14214245965704322,0.40497249364852905,159,0.03823385126888752
-1.6000618766163754,201.62,130,19,1,46080,0.05197176709771156,0.2,0.0003,-0.014017036450095475,0.016669685,0.0217997245490551,3.0788527584075926,0.1822166195511818,0.732256293296814,169,0.028344102501869202
-2.001860801140529,205.34,118,21,1,48640,0.05219942703843117,0.2,0.0003,-0.004932342958636582,0.019386103,0.058662787079811096,3.0736425638198854,0.1698828125,0.250596284866333,179,0.20722365245223046
-1.991095544177622,210.78,239,10,1,51200,0.05252772942185402,0.2,0.0003,-0.008473978220717982,0.014887435,0.03425636887550354,3.062076860666275,0.18936798851937056,0.690764307975769,189,0.08419850505888463
-1.737381090399243,212.23,141,18,1,53760,0.052673887461423874,0.2,0.0003,-0.014506359276128932,0.019730438,0.015396454371511936,3.052638530731201,0.1833215206861496,0.6178258657455444,199,0.04437635280191898
-1.6292985744865605,220.57,278,9,1,56320,0.05276108533143997,0.2,0.0003,-0.006256630768378576,0.025647307,-0.09577429294586182,3.047981357574463,0.22044270833333332,0.6902365684509277,202,0.05422304073969523
-1.650481219784403,220.32,142,18,1,58880,0.052864521741867065,0.2,0.0003,-0.01089708122672164,0.021002764,0.015163377858698368,3.0444748282432554,0.18114349022507667,0.8244658708572388,212,0.010588302067480982
-1.5656966805378625,222.85,131,19,1,61440,0.05307910591363907,0.2,0.0003,-0.011570283729815856,0.017489158,0.019816327840089798,3.038187938928604,0.1799843757878989,0.6010760068893433,222,0.0323593121021986
-1.526511363195028,225.76,236,10,1,64000,0.053304269909858704,0.2,0.0003,-0.016885773254034574,0.013227062,0.005210038740187883,3.0299289762973785,0.16321655977517366,0.8163781762123108,232,0.019007879472337664
-1.4829761485205035,223.18,244,10,1,66560,0.05347735434770584,0.2,0.0003,-0.011222232949603495,0.025976006,0.028177373111248016,3.023018407821655,0.1805976940318942,0.8024401664733887,242,0.02111463053151965
-1.603312796494476,224.52,277,9,1,69120,0.05367012321949005,0.2,0.0003,-0.010686889199132566,0.012285347,0.021763021126389503,3.0162184953689577,0.16625658944249153,0.7448933124542236,252,0.026496519893407823
-1.4219923477133602,219.37,226,11,1,71680,0.05405814200639725,0.2,0.0003,-0.015459395751046637,0.02473124,0.013712509535253048,3.006180238723755,0.2296652356783549,0.6726698279380798,262,0.03048504739999771
-1.3347428449511096,217.28,217,11,1,74240,0.054356351494789124,0.2,0.0003,-0.01023079307633452,0.022772925,0.03294691443443298,2.99157994389534,0.17864234009757637,0.540008008480072,272,0.05224915044382215
-1.3122200714236687,217.3,238,10,1,76800,0.054452165961265564,0.2,0.0003,-0.013993859780021012,0.018536167,0.022592423483729362,2.985187739133835,0.22353347316384314,0.7640191912651062,282,0.023131791851483285
-1.3088347009790147,218.22,265,9,1,79360,0.05443775653839111,0.2,0.0003,-0.010259739472530782,0.0151470555,0.026028722524642944,2.983805537223816,0.1860037986189127,0.7245016098022461,292,0.017395446193404496
-0.8090817803917009,216.53,401,6,1,81920,0.0545063391327858,0.2,0.0003,-0.012976322723261546,0.020071445,0.006929414346814156,2.9837610721588135,0.18618982434272766,0.6955195665359497,302,0.024970736587420106
-0.5827836900708239,211.7,393,6,1,84480,0.0544758141040802,0.2,0.0003,-0.019374119323523096,0.024719799,-0.0022781467996537685,2.9820791800816853,0.19016516543924808,0.8707384467124939,312,0.011000538260365527
-0.7076403744240831,206.08,328,7,1,87040,0.05457092076539993,0.2,0.0003,-0.014528067223727703,0.014724852,-0.0021418575197458267,2.9814914226531983,0.1545832137266795,0.7128499746322632,322,0.011586497087652485
-0.6954984527858735,203.97,290,8,1,89600,0.05475364997982979,0.2,0.0003,-0.014843635991564953,0.011134945,0.028807304799556732,2.9760213792324066,0.15594893505331128,0.4503597021102905,332,0.03617712408304215
-0.6736212872536105,201.96,342,7,1,92160,0.05467648804187775,0.2,0.0003,-0.014006763712968677,0.02087218,0.014035194180905819,2.9741756677627564,0.18822572737932206,0.5909392833709717,342,0.026328722145408393
-0.6644357161633255,201.44,303,8,1,94720,0.054884277284145355,0.2,0.0003,-0.011853333667386324,0.024357505,0.017202142626047134,2.972722589969635,0.21690579913556576,0.8700807094573975,352,0.012467464408837258
-0.7372455817735662,200.56,324,7,1,97280,0.054980456829071045,0.2,0.0003,-0.010307607903814641,0.017330501,0.017951099202036858,2.9660893797874452,0.1869957260787487,0.6154676675796509,362,0.048974111955612895
-0.6373841670266157,201.73,352,7,1,99840,0.05516263470053673,0.2,0.0003,-0.01528566291090101,0.013855744,0.0010435977019369602,2.9624237418174744,0.15321072861552237,0.7984827756881714,372,0.011386628018226475
-0.46192957499122556,205.47,316,8,1,102400,0.05515962466597557,0.2,0.0003,-0.013453942979685963,0.021522978,0.01519097201526165,2.958772309621175,0.20729166641831398,0.8194060325622559,382,0.009436180256307125
-0.4466153028262234,205.98,365,7,1,104960,0.05496986210346222,0.2,0.0003,-0.014272356760920956,0.013976816,0.00949692539870739,2.9622291564941405,0.18103096410632133,0.6327608227729797,392,0.010610118508338928
-0.4080487720554817,206.64,296,8,1,107520,0.054974958300590515,0.2,0.0003,-0.015867946916841902,0.022593234,-0.00856269896030426,2.9663441359996794,0.17970969397574663,0.7170943021774292,402,0.01458643628284335
-0.3926446592771643,206.27,278,9,1,110080,0.054963789880275726,0.2,0.0003,-0.014069728828326333,0.011418892,0.014645885676145554,2.965881961584091,0.16649100854992865,0.6510164141654968,412,0.008857371634803712
-0.4967797103140551,206.79,220,11,1,112640,0.05540068447589874,0.2,0.0003,-0.01564632753143087,0.01752318,0.022930920124053955,2.958898091316223,0.20913377576507627,0.5406794548034668,422,0.05965374102815986
-0.5398229450848947,207.81,190,13,1,115200,0.05542048066854477,0.2,0.0003,-0.01223493175348267,0.026985392,0.010172154754400253,2.9491822838783266,0.20323550617322325,0.8489709496498108,432,0.021706228924449532
-0.8750432518996404,217.44,230,11,1,117760,0.055506035685539246,0.2,0.0003,-0.009814874027506448,0.019771438,0.048951078206300735,2.9482508838176726,0.19287291280925273,0.6192590594291687,442,0.09599393773823976
-0.8196264305442758,217.08,122,20,1,120320,0.05549716204404831,0.2,0.0003,-0.010001092574869593,0.014759217,0.025258101522922516,2.9464251597722373,0.18568076118826865,0.8172496557235718,452,0.03098472561687231
-0.8058895075938453,216.93,213,11,1,122880,0.05550587922334671,0.2,0.0003,-0.013010739199235104,0.021288276,0.003240896388888359,2.946872978210449,0.20391592651605606,0.717200756072998,462,0.02847353357821703
-0.870011335567102,209.9,162,15,1,125440,0.05564263463020325,0.2,0.0003,-0.014299165853299201,0.01629677,0.00886155478656292,2.9440094391504923,0.20219358255465825,0.8317145109176636,472,0.015201241460939248
-1.002445488678576,211.89,237,10,1,128000,0.05587700009346008,0.2,0.0003,-0.010176923947874457,0.022415929,0.03349548578262329,2.9363637828826903,0.18587500013411046,0.5023208856582642,482,0.055071358904242515
-1.1191058061100219,211.0,234,10,1,130560,0.05603233724832535,0.2,0.0003,-0.00672070753450195,0.026813192,0.030302606523036957,2.9301464319229127,0.26179239302873614,0.8355658054351807,492,0.028869250044226646
-1.1263562603965644,211.85,230,11,1,133120,0.05623655766248703,0.2,0.0003,-0.007597174882539548,0.020225815,0.04736069217324257,2.9233796656131745,0.2255099842324853,0.6352880001068115,502,0.06514063319191336
-1.19389314847737,204.78,134,19,1,135680,0.05655090510845184,0.2,0.0003,-0.01288924658826242,0.022452146,0.003996063489466906,2.914484206835429,0.1814593069255352,0.8497946858406067,512,0.016807899872461955
-1.2102410068099843,202.0,157,16,1,138240,0.05671070143580437,0.2,0.0003,-0.010945664648897947,0.019485919,0.02918865531682968,2.9048979341983796,0.16989726852625608,0.7356460690498352,522,0.03765040524303913
-1.438326920794852,202.41,173,14,1,140800,0.05670037865638733,0.2,0.0003,-0.012548598967259749,0.018058557,0.013056854717433453,2.90238219499588,0.16658729799091815,0.6007066965103149,532,0.05643941811285913
-1.3969121335791166,200.64,259,9,1,143360,0.05668572336435318,0.2,0.0003,-0.01382863446197007,0.014378354,0.012585025280714035,2.9030955910682676,0.1807365007698536,0.5932883620262146,542,0.02768985179718584
-1.3895204186658479,198.53,171,14,1,145920,0.05676727741956711,0.2,0.0003,-0.0126222610269906,0.018246977,0.01472193282097578,2.9024715304374693,0.197160735540092,0.6997637748718262,552,0.025705428700894116
-1.1300585516029842,188.94,183,13,1,148480,0.05677110701799393,0.2,0.0003,-0.01074424892431125,0.028654864,0.024401258677244186,2.9001706540584564,0.19207444894127548,0.5081067085266113,562,0.0529925093986094
