time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/loss,train/learning_rate
18,460800,271,175.7,1,-0.667116760252669,0.012696549,0.011546353145968169,2.8923434138298036,0.8839635252952576,0.057297803461551666,0.2,0.1489365804940462,862,-0.01489924400812015,0.005019918084144592,0.0003
17,465920,294,173.18,1,-0.6180074759668582,0.014179816,0.021313172508962454,2.875613921880722,0.7913658022880554,0.057631272822618484,0.2,0.145666884817183,872,-0.012529165281739552,0.015662996098399162,0.0003
18,471040,277,174.94,1,-0.6072772371787643,0.013819645,0.01878214362077415,2.869475317001343,0.836257815361023,0.05761954188346863,0.2,0.16110299471765757,882,-0.010929440573090688,0.014796934090554714,0.0003
22,476160,230,171.06,1,-0.6960649455112048,0.013674034,0.018871589144691826,2.8706563115119934,0.7678242921829224,0.057597219944000244,0.2,0.13696404080837965,892,-0.012018670488032512,0.0177638940513134,0.0003
20,481280,246,170.54,1,-0.6640596394717605,0.013795564,0.01871166976168752,2.8634795427322386,0.8484110832214355,0.05808033049106598,0.2,0.17183249190449715,902,-0.013520929015940056,0.006617818493396044,0.0003
14,486400,352,170.51,1,-0.6678485342735401,0.013112199,0.017208061390556396,2.852407920360565,0.8646433353424072,0.058172356337308884,0.2,0.14122635796666144,912,-0.011729278723942116,0.01277047861367464,0.0003
15,491520,320,171.81,1,-0.7723911504730586,0.043059096,0.019447231708909385,2.8489625081419945,0.8395592570304871,0.058384574949741364,0.2,0.21071777399629354,919,-0.014767490290978458,0.05791226029396057,0.0003
13,496640,368,170.74,1,-0.795054658280514,0.01562773,0.025834755748510362,2.8432804012298583,0.7788359522819519,0.058406658470630646,0.2,0.1448892691731453,929,-0.01114910895936191,0.007746724411845207,0.0003
14,501760,342,172.16,1,-0.8748745080703416,0.012778928,0.020399736682884397,2.8383359968662263,0.8939826488494873,0.05872827023267746,0.2,0.1710063736885786,939,-0.014222026777861174,0.00997660867869854,0.0003
16,506880,309,175.78,1,-0.9431385277351662,0.011013842,0.03106084275059402,2.827899169921875,0.8102896213531494,0.059005267918109894,0.2,0.13936628960072994,949,-0.01181429805001244,0.006586010567843914,0.0003
