time,agent,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_nm,outside
10.0,KL008,52.394843660350155,2.367520093888674,146.76005932228108,149.11758513631884,140.07259804753846,17.71271957639283,0.7157288789749146,-0.8997740745544434,12.704164951643444,False
10.0,KL009,52.85396224101803,3.0845304635388895,147.25659671910287,149.6212033823761,158.3819456612543,17.586675916080424,0.8564283847808838,-0.7155150771141052,10.575081901658951,False
10.0,KL0010,53.16913593751183,3.3795579515015786,147.46217092770908,149.8297067177665,98.72896734360162,1.9442235765604323,0.11945867538452148,-0.7490522861480713,21.71791217221589,False
20.0,KL001,51.87226424016659,4.7994669754888255,143.62544411895948,145.9380763502,124.48124088001714,35.72665309742524,0.9434036016464233,-0.7482768893241882,15.47297658849743,False
20.0,KL002,51.74751239773717,4.325861963021798,146.45731467790094,148.81051910561533,157.45859285903313,35.117296260255955,0.6481716632843018,-0.5181970596313477,11.721316686881755,False
20.0,KL003,51.69271474568785,3.6725508237327187,150.75379591610076,153.16803558179174,134.20553826514197,0.058435604478518144,0.5676941871643066,0.012013792991638184,24.521802519849146,False
20.0,KL004,52.24154491201328,2.122325602661811,145.5736733826656,147.91424692426838,163.60381670900588,35.52082539056266,0.6835230588912964,-0.43998444080352783,12.301521932863134,False
20.0,KL005,52.179908858387925,4.898250821128668,147.60462713562387,149.97419187053083,140.13418251219522,34.811668020146215,0.8494606018066406,-0.10116171836853027,18.82817979036688,False
20.0,KL006,52.68533729888637,3.2197263444561663,150.38422358570367,152.79323805036958,123.01864845516926,26.786241410315625,0.059517860412597656,0.06631672382354736,10.842690421423752,False
20.0,KL007,51.647348084206165,4.5962156017084865,156.251078323198,158.74248087950886,133.697239828501,-34.05718778875405,-0.991474986076355,0.9928697347640991,11.721316686881755,False
20.0,KL008,52.381749254115135,2.366702639005182,143.67370419315495,145.98703010598248,138.78621407140253,35.90350787206688,0.47286343574523926,-0.7101925015449524,12.301521932863134,False
20.0,KL009,52.84267106902761,3.0732222777252063,144.80217958464553,147.1317037155846,157.0793979961169,35.62183380785078,0.5653914213180542,-0.6356325745582581,10.842690421423752,False
20.0,KL0010,53.159595985359125,3.3642051378598388,144.89273303411684,147.22355512005876,97.26422208070586,7.42300784290731,0.07296597957611084,-0.6906817555427551,21.739791119565663,False
30.0,KL001,51.8850445882185,4.797239846872627,141.0586777287526,143.33430371529653,123.47781560363812,54.452340775766515,0.9180986881256104,-0.4639850854873657,16.977851583382527,False
30.0,KL002,51.760683093584774,4.3263924978356805,144.67962721576848,147.00739429295604,156.41300353498357,53.30536964328115,0.19623661041259766,-0.35808950662612915,12.231235907652323,False
30.0,KL003,51.699238030691546,3.692038524656389,150.7945200915806,153.20933524801387,132.70264875662593,17.26730486680816,-0.5063881278038025,-0.36942148208618164,23.876562436551765,False
30.0,KL004,52.22881873842192,2.1275077928789714,144.06422880933073,146.38316518009447,162.59692919384827,53.78246678421232,0.605109691619873,0.022042155265808105,12.000759995654692,False
30.0,KL005,52.1931631234395,4.901510067015094,147.25721155806607,149.62182698402503,139.06510223136922,52.74803986824395,-0.13413846492767334,-0.15132427215576172,18.896139950589742,False
30.0,KL006,52.671892464218146,3.2148847794922077,150.6111877142496,153.0234116711967,121.69020440978174,29.822102646161056,-0.1997973918914795,0.18238401412963867,11.307555184434099,False
30.0,KL007,51.634729666017414,4.584718258421741,159.65575473864763,162.19441429394251,132.53688569484396,-50.73642986917025,-0.9732016921043396,0.972996711730957,12.231235907652323,False
