completion_index,native_return,learning_return,shaping_return
141,-584.4027779574907,-467.7152047647411,116.6875731927496
142,-214.6748979935344,-27.084290670300913,187.59060732323348
143,-328.69392079062925,-183.14841479797605,145.5455059926532
144,-905.3204568980825,-686.0500747798109,219.27038211827164
145,-1566.4478275299246,-1404.5584148587295,161.88941267119503
146,-313.77033498695164,-213.10432190969567,100.66601307725597
147,-942.921258250392,-780.128671306802,162.7925869435901
148,-1568.619733096188,-1430.0389542156045,138.58077888058347
149,-1183.81647610513,-1051.7581114472223,132.05836465790776
150,-1008.051220327163,-859.5591837262062,148.4920366009568
151,-288.8216255443671,-114.49663381910733,174.3249917252598
152,-2466.1886230329906,-2296.1983314737504,169.99029155924018
153,-356.94065465384057,-213.9534476082079,142.98720704563266
154,-1056.8526503596831,-919.3530966401005,137.49955371958265
155,-153.33120566642992,7.78329570654866,161.1145013729786
156,-108.26110112020692,68.28042980148629,176.5415309216932
157,-1465.2647821802454,-1278.0078563222435,187.25692585800198
158,-746.2138200448802,-578.604889829263,167.6089302156172
159,-1196.0911976903537,-1028.6608394721477,167.43035821820604
160,-240.596898924079,-123.41796041603652,117.17893850804248
161,37.23542351795273,160.02317066336735,122.78774714541461
