time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/n_updates,train/approx_kl,train/clip_range,train/entropy_loss,train/learning_rate,train/std,train/loss,train/value_loss,train/explained_variance,train/clip_fraction,train/policy_gradient_loss
1,207.04,92160,6,-1.026098247860862,384,319,0.024206603,0.2,3.0961992383003234,0.0003,0.05148154869675636,0.026840833947062492,0.00829466303694062,0.8691074252128601,0.2453053392469883,-0.019968187937047334
1,210.38,94720,9,-0.9354324669703508,256,329,0.025681602,0.2,3.0946096738179523,0.0003,0.05152776837348938,0.013309760950505733,0.007883770981182654,0.7416451573371887,0.262168467293183,-0.020005419625279804
1,209.9,97280,8,-0.6033521811222855,291,339,0.027601749,0.2,3.0942857444286345,0.0003,0.051447030156850815,0.014754341915249825,0.012196004705037922,0.7137423753738403,0.21548037715256213,-0.011938924898277036
1,210.55,99840,11,-0.5925972807506819,232,349,0.027281247,0.2,3.0962815463542936,0.0003,0.051477059721946716,-0.00012176856398582458,0.020036116894334554,0.8305730223655701,0.23037842400372027,-0.018551718560047448
1,211.92,102400,6,-0.6619979957468267,421,352,0.028753083,0.2,3.0951722065607705,0.0003,0.05149828642606735,0.061522774398326874,0.05406173598021269,0.775730550289154,0.206754761437575,0.0048542426666244864
1,214.02,104960,9,-0.7675204486190982,273,362,0.02663358,0.2,3.093591237068176,0.0003,0.05154826119542122,0.007854647003114223,0.0064898252487182615,0.8991159796714783,0.18124829391017555,-0.01779325394309126
1,214.97,107520,11,-0.8157817660367932,229,369,0.046866633,0.2,3.0918798065185547,0.0003,0.051612891256809235,0.05353111773729324,0.07765373535454273,0.7373443841934204,0.24419642925262453,-0.0007784137688577176
1,218.06,110080,5,-0.8924902291998309,447,379,0.026303088,0.2,3.087847888469696,0.0003,0.05173473805189133,0.022459328174591064,0.06002988400869071,0.7665948271751404,0.22400748841464518,-0.010610898199593067
1,218.3,112640,8,-0.8886113857698942,287,389,0.017383981,0.2,3.083761513233185,0.0003,0.05183537304401398,0.007417305372655392,0.013966637826524676,0.8773913979530334,0.2527232177555561,-0.011531029011530336
1,218.85,115200,8,-0.9183864992901911,294,399,0.041244097,0.2,3.079959172951548,0.0003,0.051893964409828186,0.012867668643593788,0.0204561622813344,0.8312050104141235,0.21175583099064074,-0.01922934057534133
1,220.17,117760,7,-1.0677219697978664,359,409,0.020724008,0.2,3.0796466529369355,0.0003,0.05186197906732559,0.025979243218898773,0.04341656849719584,0.8620217442512512,0.23778420612215995,-0.016419272104394624
1,221.48,120320,11,-1.1059270713035267,231,419,0.019230958,0.2,3.084429132938385,0.0003,0.05163313448429108,0.028843622654676437,0.03584362752735615,0.6095296144485474,0.16735912756994367,-0.009951253351755441
