time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/std,train/entropy_loss,train/clip_range,train/n_updates,train/explained_variance,train/clip_fraction
166,1,-1.0569634871729527,46080,15,251.14,0.0003,-0.012060013762675226,0.012044378742575645,0.015221531,-0.0011429833248257637,0.010044191963970661,2.562688410282135,0.2,168,0.9221703410148621,0.12391205746680498
284,1,-1.091823862025708,48640,8,256.58,0.0003,-0.013624494891846552,0.018220892790704966,0.019093804,0.01987328752875328,0.0100453095510602,2.5644017171859743,0.2,178,0.889209508895874,0.19447821661829948
160,1,-1.1019469799506891,51200,15,259.69,0.0003,-0.0016299313555161157,0.005128668008061747,0.013691455,-0.014576379209756851,0.010022526606917381,2.5503480434417725,0.2,188,0.9699289798736572,0.16188342608511447
167,1,-1.0115186665742788,53760,15,268.2,0.0003,-0.001297479448840022,0.012929551256820559,0.034935296,0.039385825395584106,0.010031207464635372,2.5661395668983458,0.2,192,0.7664397954940796,0.20309836715459822
170,1,-0.8600102922671922,56320,15,267.94,0.0003,-0.013332864952584107,0.009313262238477667,0.012587731,0.018032437190413475,0.010006379336118698,2.56657342116038,0.2,202,0.833611011505127,0.14286192233363787
112,1,-0.8613407086128113,58880,22,268.88,0.0003,-0.015402658803213853,0.012570046377368272,0.016497782,0.0037463915068656206,0.010002264752984047,2.6012947142124174,0.2,212,0.7772976160049438,0.16798608852550387
128,1,-0.8444127455628996,61440,19,278.88,0.0003,-0.005957188924949151,0.009381316090002655,0.010344804,0.006067474372684956,0.010001061484217644,2.6027426719665527,0.2,222,0.7408509254455566,0.15691093757748603
151,1,-0.8303479042502951,64000,16,285.27,0.0003,-0.011050862098636571,0.004456655750982463,0.01586473,0.013419127091765404,0.010025771334767342,2.5786314785480497,0.2,232,0.9123822450637817,0.15236486485227943
189,1,-0.8576857635592361,66560,13,286.55,0.0003,-0.01536509015907844,0.020457592016706865,0.018741548,0.014713197946548462,0.010026056319475174,2.5760137319564818,0.2,242,0.8477110862731934,0.17144110749165217
150,1,-0.9296865927250353,69120,17,295.85,0.0003,-0.006180181407641309,0.029399572033435108,0.014039583,0.019975127652287483,0.010021012276411057,2.5860402743021647,0.2,252,0.39655983448028564,0.14734917332728703
319,1,-0.859261479831533,71680,8,288.9,0.0003,-0.012363362884207163,0.04561443128623068,0.012331197,0.034218743443489075,0.010043136775493622,2.6036159694194794,0.2,262,0.8192204236984253,0.14178620241582393
127,1,-0.7330174867874278,74240,20,286.37,0.0003,-0.009334980556741358,0.010060716490261256,0.010833905,0.020081106573343277,0.010042632929980755,2.623784673213959,0.2,272,0.9010856747627258,0.12484375014901161
159,1,-0.9411912245067873,76800,16,284.51,0.0003,-0.016027735653333364,0.0407725895754993,0.024290895,0.032126594334840775,0.010053115896880627,2.5962762880325316,0.2,282,0.7480437159538269,0.18186603028327228
95,1,-0.9411935740460791,79360,26,284.24,0.0003,-0.012277461029589177,0.01911538848653436,0.018365266,0.002075699158012867,0.01007133349776268,2.573549977938334,0.2,292,0.8931882977485657,0.15946875028312207
123,1,-1.602359112413013,81920,20,310.36,0.0003,-0.009179989378899335,0.059818365909159184,0.018830795,0.041169725358486176,0.01011192798614502,2.5549735498428343,0.2,302,0.7797726392745972,0.16061467707157134
129,1,-1.6571185675274258,84480,19,309.92,0.0003,-0.003044203673489392,0.03279834922403097,0.022562694,0.012041009962558746,0.010159507393836975,2.528871245384216,0.2,312,0.7454390525817871,0.185
147,1,-1.660500745533695,87040,17,308.79,0.0003,-0.014055928649031556,0.04859874378889799,0.015558082,0.013499369844794273,0.01019633375108242,2.581207776069641,0.2,322,0.8505862951278687,0.16443623295053839
308,1,-1.8398581440161965,89600,8,307.27,0.0003,-0.015169965423410758,0.07439351882785558,0.0152615085,0.03545473515987396,0.01020776852965355,2.559525865316391,0.2,332,0.8845037221908569,0.168622019700706
117,1,-1.9283759196427124,92160,21,307.73,0.0003,-0.009722109604626893,0.030425193440169095,0.015849479,0.01470376830548048,0.010208617895841599,2.5865976333618166,0.2,342,0.718289852142334,0.1467818234115839
153,1,-2.0648184887177954,94720,16,297.8,0.0003,-0.011527870700228959,0.10186511799693107,0.015738593,0.02842152677476406,0.0102071613073349,2.5615741074085236,0.2,352,0.8498153686523438,0.1498046875
209,1,-2.1555494139496063,97280,12,296.07,0.0003,-0.010590569686610252,0.027375873876735568,0.016868798,0.017622970044612885,0.01019418053328991,2.5270249426364897,0.2,362,0.9654807448387146,0.1881347645074129
152,1,-2.174241412878115,99840,16,294.67,0.0003,-0.012426917662378401,0.02860581948189065,0.01955711,0.049988821148872375,0.010195629671216011,2.537657082080841,0.2,372,0.8914720416069031,0.15755859334021807
285,1,-2.2599209188490264,102400,8,294.46,0.0003,-0.01176049412228167,0.04353172233328223,0.027737755,-0.02925579808652401,0.010209677740931511,2.56524995803833,0.2,382,0.896175742149353,0.2059375
293,1,-2.2835518368040835,104960,8,280.56,0.0003,0.021808242052793504,0.027277154475450517,0.04615559,0.060824718326330185,0.010211696848273277,2.5820239543914796,0.2,384,0.9033222198486328,0.3144270837306976
209,1,-2.221514844065318,107520,12,278.34,0.0003,-0.01451123871956952,0.017607344221323727,0.017537946,-0.004424051381647587,0.010223745368421078,2.5627081871032713,0.2,394,0.7985820770263672,0.17850103974342346
350,1,-2.2744277941901507,110080,7,274.25,0.0003,-0.007728788582608104,0.0862207768112421,0.021309968,0.05348041653633118,0.010199946351349354,2.5284975004196166,0.2,404,0.8573406934738159,0.16746093779802323
232,1,-2.2725333227232505,112640,10,277.5,0.0003,-0.020479884860105813,0.029191811010241507,0.017967205,0.00033449288457632065,0.010201812721788883,2.5885176777839662,0.2,414,0.9261432886123657,0.18659169785678387
683,1,-2.310192372180451,115200,3,278.83,0.0003,-0.01106706002028659,0.04899206580594182,0.016913116,0.0152352936565876,0.01023484393954277,2.5572409510612486,0.2,424,0.8846725821495056,0.16674267109483482
215,1,-2.362287081906691,117760,11,280.16,0.0003,-0.011412073217243624,0.0051398444920778275,0.018705882,0.00917704589664936,0.010242929682135582,2.635725498199463,0.2,434,0.9646532535552979,0.1380952418083325
196,1,-1.749393754936451,120320,13,265.14,0.0003,-0.0024859278491931036,0.019825801893603057,0.049754947,0.05935106426477432,0.010243963450193405,2.5392679423093796,0.2,441,0.86905837059021,0.21405029296875
224,1,-1.5413265396851044,122880,11,244.94,0.0003,-0.009014531485263433,0.03339970397064462,0.038880747,0.03134462237358093,0.010248926468193531,2.5511391709248223,0.2,451,0.8542473316192627,0.2172475967866679
204,1,-1.4817817384856695,125440,12,245.98,0.0003,-0.013280520266077171,0.033572944439947607,0.016833676,-0.005127137526869774,0.010250432416796684,2.5511666536331177,0.2,461,0.877376139163971,0.13577491380274295
308,1,-1.3068285602887275,128000,8,240.68,0.0003,-0.014379719324642793,0.034459226811304686,0.015750919,0.01306142657995224,0.010237297043204308,2.5378030061721804,0.2,471,0.9057427644729614,0.17549304142594338
179,1,-1.2379692153364876,130560,14,239.52,0.0003,-0.010342668873878818,0.03147803687800964,0.0154624125,0.020002277567982674,0.01023060455918312,2.57350226243337,0.2,481,0.8749144673347473,0.17780028780301413
274,1,-1.3118081903677776,133120,9,242.31,0.0003,-0.012002450379077345,0.058864533854648474,0.020631198,0.02527976594865322,0.010235559195280075,2.5599229991436006,0.2,491,0.8329297304153442,0.19294627346098422
213,1,-1.3093876096301935,135680,12,246.95,0.0003,-0.008766670028368633,0.04205211292331417,0.018716024,0.03370051085948944,0.010258282534778118,2.5462170203526813,0.2,501,0.8796732425689697,0.19365291434029738
416,1,-1.310754614144841,138240,6,243.81,0.0003,-0.012093145842663943,0.04569811752686898,0.013479865,0.031281035393476486,0.010268926620483398,2.545725615819295,0.2,511,0.9237262010574341,0.15002170080939928
233,1,-1.4003295253423993,140800,10,243.29,0.0003,-0.005393477389588952,0.02854410116560757,0.026176,-0.02891315147280693,0.010267039760947227,2.5680489937464395,0.2,515,0.5766280889511108,0.16308593874176344
461,1,-1.3704704804414733,143360,5,246.36,0.0003,-0.012682678154669702,0.039076566137373446,0.02100345,0.0015105875208973885,0.010283243842422962,2.566209238767624,0.2,525,0.8929968476295471,0.17902724556624888
267,1,-1.532528267422527,145920,9,251.44,0.0003,-0.008564259993727319,0.14609261583536864,0.013147005,0.05797804892063141,0.010295175947248936,2.5672919750213623,0.2,535,0.4140757918357849,0.12692057564854622
262,1,-1.5446212227741154,148480,9,255.41,0.0003,-0.010230733080970823,0.04119331245310605,0.016705004,0.028980959206819534,0.010318214073777199,2.5518409430980684,0.2,545,0.8512960076332092,0.21072784289717675
287,1,-1.7799122900494178,151040,8,266.93,0.0003,-0.015791418874869123,0.04336467171087861,0.024941336,0.0057666366919875145,0.0103528443723917,2.5774898767471313,0.2,555,0.7819546461105347,0.2100546656176448
228,1,-1.6647143850485813,153600,11,261.66,0.0003,-0.007463367112601797,0.018836208153516054,0.009899568,0.01911795511841774,0.010344508104026318,2.5211002111434935,0.2,565,0.863147497177124,0.11965411528944969
248,1,-1.7251967635188834,156160,10,263.86,0.0003,-0.015119479037821293,0.03383400153368712,0.020470817,0.01658325083553791,0.010341956280171871,2.5346321868896484,0.2,575,0.7443532943725586,0.19752285704016687
445,1,-1.6542380600237354,158720,5,271.79,0.0003,-0.015438320054672659,0.026114922892302276,0.028246557,0.025353647768497467,0.010344996117055416,2.53804771900177,0.2,585,0.8861246109008789,0.19949908077716827
261,1,-1.6540560321472182,161280,9,267.6,0.0003,-0.010963511786758317,0.005170259368605911,0.02354703,0.007292812690138817,0.010355246253311634,2.4809637904167174,0.2,595,0.7164320945739746,0.21730291061103343
