time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/explained_variance,train/std,train/approx_kl,train/value_loss,train/loss,train/entropy_loss
1,-1.979529463342067,228.64,187,27,87040,0.2,0.1379819879308343,-0.005046885806950741,160,0.0003,0.6898099184036255,0.052138540893793106,0.011801511,0.04406043151393533,0.03716697171330452,3.070424795150757
1,-1.8616205158346517,229.16,322,15,92160,0.2,0.12404395882040262,-0.004315215483075008,170,0.0003,0.54796302318573,0.05213277041912079,0.010509034,0.09419481912627817,0.05180764198303223,3.0703364610671997
1,-1.8107358398762694,228.39,358,14,97280,0.2,0.14579317029565572,-0.011484700930304825,180,0.0003,0.7598421573638916,0.0520579069852829,0.011651495,0.040297546749934555,0.018230406567454338,3.071160626411438
1,-1.528129493790881,227.72,321,15,102400,0.2,0.13882538340985776,-0.013355023487626265,190,0.0003,0.8424781560897827,0.052137341350317,0.014750996,0.02362538259476423,0.009872158989310265,3.0718631744384766
1,-1.163552654651859,224.82,324,15,107520,0.2,0.15718712471425533,-0.007738839460762393,200,0.0003,0.8259053826332092,0.05217515677213669,0.022434762,0.03109746132977307,0.04926848039031029,3.069123774766922
1,-1.3718045547628075,220.63,325,15,112640,0.2,0.12968282376726467,-0.009400748014741112,210,0.0003,0.6706589460372925,0.052309781312942505,0.010260827,0.03150657769292593,0.018367327749729156,3.066794927914937
1,-1.1343342577410906,208.37,280,18,117760,0.2,0.14658896382898093,-0.015139921828813385,220,0.0003,0.809614896774292,0.05263799801468849,0.014333505,0.04653592654503882,0.024843137711286545,3.05697740316391
1,-1.243642417795684,225.31,310,16,122880,0.2,0.14170364756137133,-0.009064688668513555,230,0.0003,0.7013698220252991,0.05266318470239639,0.01011634,0.07974003357812762,0.045463211834430695,3.050166642665863
1,-1.5039057264426505,225.73,183,27,128000,0.2,0.14741706910232702,-0.011774331773631274,240,0.0003,0.6073424816131592,0.0528729185461998,0.018227136,0.096506500740846,0.04372897744178772,3.046925926208496
1,-1.5966054646063421,225.41,238,21,133120,0.2,0.15275582973845303,-0.010367473884252831,250,0.0003,0.657339334487915,0.052940573543310165,0.012410704,0.04889477328397333,0.02388405054807663,3.039691561460495
1,-1.6328416998641018,219.9,283,18,138240,0.2,0.13718283995985986,-0.014165740289414922,260,0.0003,0.8183795809745789,0.05295685678720474,0.012354457,0.06222404316067696,0.027369581162929535,3.0395908753077188
1,-1.773400331271348,224.52,281,18,143360,0.2,0.1688485155502955,-0.009725174511549995,270,0.0003,0.799699604511261,0.05295800417661667,0.012676363,0.04581902561088403,0.019767191261053085,3.0389790217081707
1,-1.6444775883189302,227.41,261,19,148480,0.2,0.14935989938676358,-0.01435930947191082,280,0.0003,0.7848069071769714,0.05274849385023117,0.013860461,0.03122099572792649,0.02249176613986492,3.042561286687851
1,-1.6376517432890914,234.88,266,19,153600,0.2,0.1646449772020181,-0.009573703724405884,290,0.0003,0.9045658111572266,0.05283745378255844,0.012018856,0.030887391852835813,0.019129173830151558,3.0462436278661094
