time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/n_updates,train/value_loss,train/clip_fraction,train/std,train/clip_range,train/loss,train/learning_rate
1,392,13,56320,168.45,-0.5943260705744869,0.7990615367889404,-0.010665361340506933,0.014043614,3.1380175161361694,91,0.02152459716424346,0.16630078107118607,0.05029860883951187,0.2,0.019171318039298058,0.0003
1,271,18,61440,172.57,-1.007578265285894,0.8746629953384399,-0.007171863305848092,0.01979487,3.1469570207595825,101,0.015144217472989113,0.21067057371139528,0.050078995525836945,0.2,0.042952146381139755,0.0003
1,322,15,66560,170.93,-1.0326865145568644,0.6614981889724731,-0.008115757151463185,0.01253772,3.1483893394470215,111,0.04075443226844072,0.1275965516269207,0.05021918565034866,0.2,0.028517726808786392,0.0003
1,281,18,71680,171.81,-1.0518244575898814,0.652469277381897,-0.01056483345106244,0.012735657,3.142627353668213,121,0.03480225306004286,0.12613210253417492,0.050325118005275726,0.2,0.023519307374954224,0.0003
1,290,17,76800,172.63,-1.1258997896365142,0.828519880771637,-0.01261714887805283,0.014009357,3.141964501142502,131,0.02196197775192559,0.1613299325108528,0.05024052411317825,0.2,0.01568727008998394,0.0003
1,279,18,81920,168.62,-0.7809288714582807,0.8698769807815552,-0.009049753025174141,0.015333258,3.144559483528137,141,0.018819484263658523,0.18172676876187324,0.05028066039085388,0.2,0.016563890501856804,0.0003
1,280,18,87040,169.87,-0.7338961699081874,0.8493182063102722,-0.010553511786565651,0.01240918,3.1403570890426638,151,0.026001085666939615,0.14914792627096177,0.05041296035051346,0.2,0.022496124729514122,0.0003
1,283,18,92160,170.06,-0.6200720112760526,0.8948886394500732,-0.010873105094651692,0.0115076415,3.133383870124817,161,0.02479886740911752,0.13309074230492116,0.05057137832045555,0.2,0.02006327360868454,0.0003
1,333,15,97280,170.62,-0.7078688507643507,0.8289771676063538,-0.01115368380851578,0.012649193,3.1268361449241637,171,0.019091156381182372,0.16220441404730082,0.050816670060157776,0.2,0.014846975915133953,0.0003
1,346,14,102400,170.69,-0.8023006866826365,0.8135388493537903,-0.009698087762808427,0.015033234,3.1183412253856657,181,0.029135439777746797,0.14641677867621183,0.0509708896279335,0.2,0.025059755891561508,0.0003
1,332,15,107520,170.92,-0.8790945859811843,0.835126519203186,-0.007681272402405739,0.019557297,3.112035846710205,191,0.020312168337404728,0.21077550612390042,0.051137521862983704,0.2,0.0210458692163229,0.0003
