rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction
55,227672,53928,281600,132,1329,2404,535,945.7684415999684,240.7270003795479,-1.5010659867218417,-150.10659867218416,1.0,-0.015632166000432334,0.027200343599542976,0.019337164238095284,0.15557189034298063
56,231777,54943,286720,134,1350,2454,545,962.8211370999925,240.72695443528585,-1.4156365278440717,-141.56365278440714,1.0,-0.0023574584582820536,0.021091329120099544,0.013163154944777489,0.19560763910412787
57,235487,56353,291840,137,1379,2494,555,978.3808888999629,240.69051498416786,-1.0918965539370302,-109.18965539370302,1.0,-0.015643266681581735,0.02081308071501553,0.014534800313413143,0.16154019851237536
58,239582,57378,296960,140,1400,2534,565,994.360642899992,240.94075093446355,-0.96072504567579,-96.072504567579,1.0,-0.009982665933785028,0.030207208916544916,0.012209713459014893,0.152629129961133
59,243810,58270,302080,142,1420,2584,575,1011.5018263999955,241.0376270577153,-0.8257201087654235,-82.57201087654235,1.0,-0.012101728923153133,0.014379107728600501,0.014434782788157463,0.15636126920580865
60,247964,59236,307200,144,1447,2634,585,1026.5184286999865,241.55825464724387,-0.6822273335406323,-68.22273335406322,1.0,-0.010644384138286113,0.021334423907101153,0.01272784173488617,0.1765773166716099
61,251978,60342,312320,146,1467,2674,595,1042.7827799000079,241.63997033414964,-0.9058668790288226,-90.58668790288225,1.0,-0.009919604282185902,0.036511736502870915,0.012957027181982994,0.16271153688430787
62,255585,61855,317440,148,1491,2714,605,1058.3327977000154,241.49776001976045,-0.9948842794498677,-99.48842794498673,1.0,-0.010669829807011411,0.03305272604338825,0.014188858680427074,0.15472920956090092
63,259651,62909,322560,151,1519,2754,615,1074.760438599973,241.58965167924495,-0.9289622748051446,-92.89622748051444,1.0,-0.016471296423696914,0.01882067446131259,0.013140077702701092,0.1488641319796443
64,264201,63479,327680,154,1540,2804,625,1097.8102792999707,240.66180193582292,-1.0441081403158017,-104.41081403158017,1.0,-0.01269778946065344,0.015270537268370389,0.015602734871208668,0.17819150984287263
65,268365,64435,332800,156,1562,2854,635,1120.2068393999944,239.56736431259586,-0.9221795424038187,-92.21795424038187,1.0,-0.004204563742969185,0.029881730005145074,0.01714913733303547,0.19876723393797874
66,272580,65340,337920,159,1590,2870,639,1134.2637859999668,240.3144694950245,-0.8668815472615091,-86.6881547261509,1.0,-0.0024280940209898878,0.02381804705980946,0.04216625913977623,0.19820356938768835
