time,agent,route_target_index,route_target_distance_km,route_clearance_km,route_target_east_km,route_target_north_km,route_target_in_static_domain,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action
960.0,KL001,2,38.0996660060034,3.0,-20.15611853782608,10.58564209065517,True,True,52.3121809029864,4.136665262235656,162.99999999999994,165.5846750214427,126.0994731649003,47.441842820774525,0.009306669235229492,0.45378434658050537,KL002,22.336532076197035,False,0.41023531928658485,0.45378434658050537,False,False,False,False,False,False,False,41.36452548693988,0.0,0.27063526678830385,0.139600052498281,0.45378434658050537
960.0,KL002,4,139.1613316049993,6.0,-118.14639396171569,51.74264653645916,True,True,52.67399547217985,4.278832779013983,154.25140516683982,156.71486135862065,167.3062025842541,72.76482861623424,0.04076647758483887,-0.012519121170043945,KL006,5.863631998338367,False,5.000000000000002,-0.012519121170043945,True,False,False,False,True,False,False,10.662783682472885,0.0,-3.455514684319496,0.611497052013874,-0.012519121170043945
960.0,KL003,1,41.79131385899244,3.0,77.27716994381696,-39.63120000227316,True,True,52.01890261626692,5.096951840692803,162.99999999999994,165.5846750214427,41.81994355999899,-13.129299163722436,-0.8440030217170715,0.6563103199005127,KL001,39.506430590270504,False,0.469253808259964,0.6563103199005127,False,False,False,False,False,False,False,73.33441276028256,0.0,13.129299134016037,-12.660045325756073,0.6563103199005127
960.0,KL004,3,32.90392333859062,6.0,-118.1463939617157,51.74264653645915,True,True,52.17462916921821,2.361855012829595,121.65273767543415,123.6417112979127,217.8032948181557,-113.78326617507378,-0.11981594562530518,-0.34347987174987793,KL005,11.248802799635472,False,-0.24006078718230128,-0.34347987174987793,False,False,False,False,False,False,False,20.82557203233587,0.0,1.5571784041821957,-1.797239191364497,-0.34347987174987793
960.0,KL005,3,59.91975445546111,6.0,-99.69353235157953,-55.80753766733437,True,True,52.00336476885083,2.2382296032713187,162.99999999999994,165.5846750214427,60.00057545115166,13.552142925155437,-0.11234307289123535,0.359316349029541,KL007,7.241389217235013,False,0.0,0.359316349029541,True,False,False,False,True,False,False,10.47207153296675,0.0,-13.552142679691315,-1.6851460933685303,0.359316349029541
960.0,KL006,1,148.96666007859608,6.0,-118.14639396171566,51.742646536459105,True,True,52.642808953252185,4.4314098716857515,160.67990415685986,163.23269821304726,191.62093639060834,48.993244123605706,0.44839251041412354,0.04040491580963135,KL002,5.863631998338367,False,2.5633360259234905,0.04040491580963135,False,False,False,False,False,False,False,10.403498448970371,0.0,-4.162551686167717,6.7258877120912075,0.04040491580963135
960.0,KL007,3,58.938287822384225,6.0,-118.1463939617157,51.74264653645915,True,True,51.94164214438971,2.4064301255427187,124.4936295908819,126.52530027988946,214.1712295132654,-84.21613563364332,-0.010972797870635986,-0.22383689880371094,KL005,7.241389217235013,False,-0.12912892852909863,-0.22383689880371094,False,False,False,False,False,False,False,10.46506258166751,0.0,0.03546304127667099,-0.16459196980576962,-0.22383689880371094
960.0,KL008,3,151.1116883604554,6.0,33.58533804083747,60.94607514115476,True,True,52.483616901183815,2.2846007894403217,95.92456008846186,97.5164096770413,211.20954642400218,-63.107743036289776,-0.0207555890083313,-0.001168668270111084,KL004,18.76707463828699,False,35.028539299964905,-0.001168668270111084,False,False,False,False,False,False,False,25.35428002695815,0.0,35.339874029159546,-0.3113347291946411,-0.001168668270111084
970.0,KL001,2,36.438059637054614,3.0,-20.156118537826075,10.585642090655163,True,True,52.30278793592895,4.117766411265432,162.99999999999994,165.5846750214427,124.99367502561493,48.42200702340213,0.030350446701049805,0.40398430824279785,KL002,22.826817436158315,False,0.30047744046896696,0.40398430824279785,False,False,False,False,False,False,False,42.26967969061788,0.0,-0.1547792600467801,0.45525670051574707,0.40398430824279785
970.0,KL002,4,137.58751217850997,6.0,-118.14639396171569,51.74264653645915,True,True,52.673597396197756,4.255609200415093,154.20797950065045,156.67082724214256,166.96311947291713,78.2979774801305,0.1211400032043457,0.001895904541015625,KL006,5.826738480834097,False,0.0,0.001895904541015625,True,False,False,False,True,False,False,10.340480192270284,0.0,-8.547421619296074,1.8171000480651855,0.001895904541015625
970.0,KL003,1,40.17852103531746,3.0,77.27716994381696,-39.63120000227317,True,True,52.004569145742444,5.103512175136353,162.99999999999994,165.5846750214427,40.20592458058491,-13.179373250536628,-0.850812554359436,0.6272692680358887,KL001,40.48692943314745,False,0.4171849647536874,0.6272692680358887,False,False,False,False,False,False,False,75.1392001372305,0.0,13.179373294115067,-12.76218832936138,0.6272692680358887
970.0,KL004,3,31.6807221324706,6.0,-118.1463939617157,51.74264653645915,True,True,52.185382407891396,2.357986271665763,120.47434369550949,122.4455357249785,218.28072891459647,-114.31817952719803,-0.1236611008644104,-0.35544657707214355,KL005,12.577894159588697,False,0.013627130538225174,-0.35544657707214355,False,False,False,False,False,False,False,23.283895293576034,0.0,1.8685436435043812,-1.854916512966156,-0.35544657707214355
970.0,KL005,3,58.31167340302279,6.0,-99.69353235157956,-55.80753766733439,True,True,51.988581156744104,2.241134074853857,162.99999999999994,165.5846750214427,58.39294404914678,13.93499656912698,-0.08143872022628784,0.3409616947174072,KL007,6.3794993821982295,False,0.0,0.3409616947174072,True,False,False,False,True,False,False,10.464643342311593,0.0,-13.934997171163559,-1.2215812504291534,0.3409616947174072
970.0,KL006,1,147.32142511270644,6.0,-118.1463939617157,51.74264653645915,True,True,52.64256175497037,4.407199958897521,160.81796776846193,163.372664398663,190.59218586838386,51.946702589114864,0.35398221015930176,0.046193480491638184,KL002,5.826738480834097,False,-1.4906906336545944,0.046193480491638184,False,False,False,False,False,False,False,10.465234437957877,0.0,-6.800423786044121,5.309733152389526,0.046193480491638184
970.0,KL007,3,57.68171907446464,6.0,-118.1463939617157,51.74264653645915,True,True,51.95280924643357,2.4035370635877165,123.72555732150725,125.74570831166272,214.0247426707573,-84.67841366868566,0.03573894500732422,-0.3547223210334778,KL005,6.3794993821982295,False,0.7040353585034609,-0.3547223210334778,False,False,False,False,False,False,False,10.489861512598178,0.0,0.16795116942375898,0.5360841890797019,-0.3547223210334778
970.0,KL008,3,150.19818680864034,6.0,33.58533804083747,60.94607514115475,True,True,52.487053573594864,2.297707957643196,95.92024742828309,97.51202897722031,210.55435563966196,-36.436560305980265,-0.192885160446167,0.029145240783691406,KL004,18.246971940826107,False,5.706413760781288,0.029145240783691406,False,False,False,False,False,False,False,24.732690657128504,0.0,8.599691167473793,-2.893277406692505,0.029145240783691406
980.0,KL001,2,34.77668902916027,3.0,-20.156118537826075,10.585642090655174,True,True,52.293455697603264,4.098791267071556,162.99999999999994,165.5846750214427,123.9070312554144,49.30518624621848,0.028006672859191895,0.4006633758544922,KL002,23.32448764334793,False,-0.06583642854820937,0.4006633758544922,False,False,False,False,False,False,False,43.188685964461435,0.0,-0.48593651968985796,0.4201000911416486,0.4006633758544922
980.0,KL002,4,136.0157149156,6.0,-118.14639396171569,51.742646536459134,True,True,52.67332171319237,4.232376027529719,154.21399212891873,156.67692411912006,166.64782871077753,78.83433243219633,0.3132365942001343,0.13876283168792725,KL006,5.799263924832583,False,0.0,0.13876283168792725,True,False,False,False,True,False,False,10.458792994033079,0.0,-8.647148162126541,4.698548913002014,0.13876283168792725
980.0,KL003,1,38.56646943563846,3.0,77.27716994381696,-39.63120000227317,True,True,51.99020665409767,5.109900729104764,162.99999999999994,165.5846750214427,38.592666906049146,-13.307430790066292,-0.8517559766769409,0.6230370998382568,KL001,41.46764607452825,False,0.5310916760936379,0.6230370998382568,False,False,False,False,False,False,False,76.94349164714241,0.0,13.30743134021759,-12.776339664123952,0.6230370998382568
980.0,KL004,3,30.469918189881803,6.0,-118.1463939617157,51.74264653645915,True,True,52.19602749378946,2.354159850723706,119.25491212534754,121.20765996738608,218.75873880209267,-114.59518061509016,-0.1326136589050293,-0.356828510761261,KL005,13.947656916693296,False,-0.05849350418429822,-0.356828510761261,False,False,False,False,False,False,False,24.168089480418057,0.0,1.930711381137371,-1.9892048853216693,-0.356828510761261
980.0,KL005,3,56.70630008264932,6.0,-99.69353235157956,-55.80753766733439,True,True,51.97379754463738,2.244037587800653,162.99999999999994,165.5846750214427,56.78806751755681,14.339508859705148,-0.079165518283844,0.34656667709350586,KL007,5.8325387819077426,False,-10.000000000000004,0.34656667709350586,True,False,False,False,True,False,False,10.301782916583392,0.0,-14.339509159326553,-1.187482327222824,0.34656667709350586
980.0,KL006,1,145.67063507246874,6.0,-118.14639396171569,51.74264653645915,True,True,52.64195646582236,4.382983362023358,160.97588355750185,163.53275549547487,189.5404731905097,50.84314495492299,0.30910491943359375,0.028918862342834473,KL002,5.799263924832583,False,-0.7338949665427208,0.028918862342834473,False,False,False,False,False,False,False,10.527024952979685,0.0,-5.370468758046627,4.636573791503906,0.028918862342834473
980.0,KL007,3,56.43753485079932,6.0,-118.1463939617157,51.74264653645915,True,True,51.96388751112793,2.400892409438586,122.5085993564355,124.51046167713386,213.87162989158838,-84.3043136071579,0.029015064239501953,-0.34795552492141724,KL005,5.8325387819077426,False,-0.11284355074167252,-0.34795552492141724,False,False,False,False,False,False,False,10.298415499492693,0.0,-0.5480695143342018,0.4352259635925293,-0.34795552492141724
980.0,KL008,3,149.21368177743162,6.0,33.58533804083747,60.94607514115475,True,True,52.48794570116129,2.312047831557397,96.01990017265896,97.61325379766095,209.70918545606597,-30.869007823991183,-0.22800523042678833,0.04337644577026367,KL004,17.594843502739685,False,-0.505890897475183,0.04337644577026367,False,False,False,False,False,False,False,24.241886909272058,0.0,2.9141875728964806,-3.4200784703716636,0.04337644577026367
990.0,KL001,2,33.11553100639789,3.0,-20.15611853782606,10.585642090655153,True,True,52.2841101312288,4.079837666622797,162.99999999999994,165.5846750214427,122.83197501480359,49.83171795123795,0.03724479675292969,0.4098571538925171,KL006,23.742032615521552,False,0.10841187089681625,0.4098571538925171,False,False,False,False,False,False,False,44.026001036127624,0.0,-0.45026008039712906,0.5586719512939453,0.4098571538925171
990.0,KL002,4,134.43951504735847,6.0,-118.1463939617157,51.74264653645915,True,True,52.67304518194967,4.209071516783753,154.68940720122436,157.15899668171318,166.3462938706173,79.37433265638424,0.3473217487335205,0.15926730632781982,KL006,5.778149194075842,False,0.0,0.15926730632781982,True,False,False,False,True,False,False,10.538946749347987,0.0,-8.749523386359215,5.209826231002808,0.15926730632781982
990.0,KL003,1,36.954578846218936,3.0,77.27716994381694,-39.63120000227316,True,True,51.97580831939083,5.116070806546884,162.99999999999994,165.5846750214427,36.979595263609404,-13.345894468586977,-0.845921516418457,0.5207713842391968,KL001,42.44195131624466,False,0.6570714712142944,0.5207713842391968,False,False,False,False,False,False,False,78.73494832399633,0.0,13.34589421749115,-12.688822746276855,0.5207713842391968
990.0,KL004,3,29.271616782182246,6.0,-118.1463939617157,51.74264653645915,True,True,52.20656106127204,2.350354211515027,118.03074491029781,119.96493291991436,219.2384862816561,-114.93993200811946,-0.3091204762458801,-0.36057519912719727,KL007,14.02344619849032,False,-2.563886884599924,-0.36057519912719727,False,False,False,False,False,False,False,24.083488327732972,0.0,2.072920259088278,-4.636807143688202,-0.36057519912719727
990.0,KL005,3,55.06632563711566,6.0,-99.69353235157955,-55.80753766733439,True,True,51.959382650236485,2.24996681566106,162.99999999999994,165.5846750214427,55.147697130768854,4.550445022368905,-0.059507131576538086,0.4569222927093506,KL007,5.562912909066998,False,0.0,0.4569222927093506,True,False,False,False,True,False,False,10.26693672742009,0.0,-4.550445042550564,-0.8926069736480713,0.4569222927093506
990.0,KL006,1,144.01719601082146,6.0,-118.1463939617157,51.742646536459134,True,True,52.64116252737465,4.3587671175101566,161.07455335409318,163.63278402577126,188.48076851896033,50.49684240276372,0.29588115215301514,0.026638031005859375,KL002,5.778149194075842,False,-0.2522202883847058,0.026638031005859375,False,False,False,False,False,False,False,10.559324188696037,0.0,-4.690437577664852,4.438217289280146,0.026638031005859375
990.0,KL007,3,55.2054336290528,6.0,-118.1463939617157,51.74264653645914,True,True,51.97485476297616,2.3982377834810484,121.31485283964778,123.29873211490582,213.72941657036887,-84.74439646181304,0.0019496679306030273,-0.3549802303314209,KL005,5.562912909066998,False,-0.4158199718222022,-0.3549802303314209,False,False,False,False,False,False,False,10.265781014386906,0.0,-0.445064976811409,0.02924500498920679,-0.3549802303314209
990.0,KL008,3,148.22770730478229,6.0,33.585338040837485,60.94607514115475,True,True,52.48886525762632,2.326407507615745,96.16836032075422,97.76405552876697,208.8653148808041,-31.515802455224588,-0.16450214385986328,-0.04587453603744507,KL004,16.972413063332645,False,0.9748876746743917,-0.04587453603744507,False,False,False,False,False,False,False,23.95033068824212,0.0,3.4424198046326637,-2.467532129958272,-0.04587453603744507
1000.0,KL001,2,31.454614293609655,3.0,-20.15611853782608,10.585642090655174,True,True,52.27478651851641,4.060859189473236,162.99999999999994,165.5846750214427,121.77269628050979,50.54384002719175,0.03685879707336426,0.410351037979126,KL006,24.122119433546242,False,-0.04453735251445323,0.410351037979126,False,False,False,False,False,False,False,44.72408874563824,0.0,-0.5974193103611469,0.5528819578466937,0.410351037979126
1000.0,KL002,4,132.85821698776175,6.0,-118.1463939617157,51.74264653645916,True,True,52.67276767701956,4.18568509739948,155.23514345707935,157.7123654040966,166.05860470452478,79.9181571090561,0.35863208770751953,0.16186738014221191,KL006,5.76118308989442,False,0.0,0.16186738014221191,True,False,False,False,True,False,False,10.578860518131698,0.0,-8.85469950735569,5.379481315612793,0.16186738014221191
1000.0,KL003,1,35.34217439880992,3.0,77.27716994381694,-39.63120000227317,True,True,51.96136735172215,5.121970489970602,162.99999999999994,165.5846750214427,35.36603903501154,-13.28025672914481,-0.8458110690116882,0.5230498313903809,KL001,43.41066233928635,False,0.5930905183777213,0.5230498313903809,False,False,False,False,False,False,False,80.5151106510694,0.0,13.280256539583206,-12.687166021205485,0.5230498313903809
1000.0,KL004,3,28.089051756118987,6.0,-118.1463939617157,51.74264653645915,True,True,52.21687238930906,2.345840822524417,116.7937318396962,118.709120805794,219.76595254236358,-117.7797229276589,-0.20871084928512573,-0.4057115316390991,KL007,13.99991787867022,False,1.7031975276768208,-0.4057115316390991,False,False,False,False,False,False,False,23.465389566751693,0.0,4.833860322833061,-3.1306627951562405,-0.4057115316390991
1000.0,KL005,3,53.41688843033096,6.0,-99.69353235157953,-55.80753766733437,True,True,51.94513418015347,2.256989605667374,162.99999999999994,165.5846750214427,53.49749320533261,4.691851897600088,-0.06356215476989746,0.46642398834228516,KL007,5.672717208460452,False,-5.645284205675125,0.46642398834228516,False,False,False,False,False,False,False,10.492184516227118,0.0,-4.691851772367954,-0.9534324333071709,0.46642398834228516
1000.0,KL006,1,142.3624137975195,6.0,-118.14639396171572,51.74264653645915,True,True,52.64030342765258,4.3345437005198155,161.16540043742864,163.72488181127403,187.4236668234965,50.63538581946614,0.2894526720046997,0.026629209518432617,KL002,5.76118308989442,False,-0.14868210651911795,0.026629209518432617,False,False,False,False,False,False,False,10.588407713203823,0.0,-4.490472190082073,4.341790083562955,0.026629209518432617
1000.0,KL007,3,53.98564374831407,6.0,-118.1463939617157,51.74264653645915,True,True,51.98570001838754,2.395481273273599,120.09701799605311,122.06250758190893,213.6043157553427,-85.48478801614715,-0.009897947311401367,-0.354888379573822,KL005,5.672717208460452,False,-0.17845970811322331,-0.354888379573822,False,False,False,False,False,False,False,10.492184516227118,0.0,-0.02999049669597298,-0.14846921141725034,-0.354888379573822
1000.0,KL008,3,147.2424730452304,6.0,33.5853380408375,60.94607514115474,True,True,52.48963464826101,2.3407675142675837,96.01072245024866,97.60393130198574,208.01577139901866,-30.678777683781846,-0.17021721601486206,-0.04339534044265747,KL004,16.377827499714463,False,-0.0695727561833337,-0.04339534044265747,False,False,False,False,False,False,False,23.466991916528226,0.0,2.4836854822933674,-2.553258238476701,-0.04339534044265747
1010.0,KL001,2,29.793914627214978,3.0,-20.156118537826075,10.585642090655163,True,True,52.265453882839736,4.041896555189108,162.99999999999994,165.5846750214427,120.72617126022075,51.11314796193648,0.04438817501068115,0.4209698438644409,KL006,24.50631995063977,False,0.07268621411640197,0.4209698438644409,False,False,False,False,False,False,False,45.43004947141429,0.0,-0.5931364092975855,0.6658226234139875,0.4209698438644409
1010.0,KL002,4,131.2717510722111,6.0,-118.14639396171572,51.74264653645915,True,True,52.67248918251402,4.162215432006763,155.78979526268864,158.27476364603353,165.78498136676546,80.46576868759416,0.4470508098602295,-0.07394272089004517,KL006,5.7478475243414415,False,-2.257035132497549,-0.07394272089004517,False,False,False,False,False,False,False,10.31994702454061,0.0,-8.962797224521637,6.705762092024088,-0.07394272089004517
1010.0,KL003,1,33.7298299726663,3.0,77.27716994381696,-39.63120000227316,True,True,51.94688953304604,5.1276254090104,162.99999999999994,165.5846750214427,33.75257595006816,-13.306693042547721,-0.8420591354370117,0.5085067749023438,KL001,44.372240629080245,False,0.6758053600788116,0.5085067749023438,False,False,False,False,False,False,False,82.28112894478936,0.0,13.306692391633987,-12.630887031555176,0.5085067749023438
1010.0,KL004,3,26.91836305889289,6.0,-118.1463939617157,51.74264653645915,True,True,52.22713713587965,2.3418656258976087,115.40192192704244,117.29610640054253,220.26146719599686,-116.35194336101068,-0.2223166823387146,-0.3955042362213135,KL007,13.977982390796889,False,-0.06498053669929504,-0.3955042362213135,False,False,False,False,False,False,False,23.255687093453005,0.0,3.269769698381424,-3.334750235080719,-0.3955042362213135
1010.0,KL005,3,51.76295170914707,6.0,-99.69353235157958,-55.807537667334394,True,True,51.93131139728733,2.2659566395981843,162.99999999999994,165.5846750214427,51.842095594274504,-0.9601601903950439,0.052449584007263184,0.4243224859237671,KL007,6.104937823575041,False,1.7469039559364319,0.4243224859237671,False,False,False,False,False,False,False,11.293353841526844,0.0,0.9601601678878069,0.786743788048625,0.4243224859237671
1010.0,KL006,1,140.70652807241447,6.0,-118.14639396171572,51.742646536459134,True,True,52.63940568240825,4.310310907375355,161.25621697791226,163.81694833747352,186.37152313339246,50.881269064794964,0.28537631034851074,0.025996088981628418,KL002,5.7478475243414415,False,-0.11293340474367142,0.025996088981628418,False,False,False,False,False,False,False,10.324682748345655,0.0,-4.3935780599713326,4.280644655227661,0.025996088981628418
1010.0,KL007,3,52.77820197509417,6.0,-118.1463939617157,51.74264653645914,True,True,51.99643017340869,2.3926977287166036,118.8795020329407,120.82656288396119,213.4909859219643,-85.98496906700302,-0.033895254135131836,-0.3616015911102295,KL005,6.104937823575041,False,-0.35660128109157085,-0.3616015911102295,False,False,False,False,False,False,False,11.293353841526844,0.0,0.1518275518901646,-0.5084288329817355,-0.3616015911102295
1010.0,KL008,3,146.25881596933297,6.0,33.585338040837485,60.946075141154736,True,True,52.4904134452505,2.355103943275011,95.86158779557306,97.45244384206637,207.16934525363277,-30.887410170112332,-0.1606031060218811,-0.04109245538711548,KL004,15.814681454610811,False,0.1610195974353701,-0.04109245538711548,False,False,False,False,False,False,False,23.228963948358093,0.0,2.5700661912560463,-2.409046593820676,-0.04109245538711548
