time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/std,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/entropy_loss
1,38400,179,14,-0.8203673574730451,270.7191011235955,-0.019809450022876263,0.009947570972144604,0.8393023610115051,0.0003,0.006396997720003128,60,0.027515374589711428,0.059868712,0.2,0.20364754647016525,2.475413203239441
1,40960,94,27,-0.8681200962702342,268.2421052631579,-0.01640198682434857,0.009944858029484749,0.8329941630363464,0.0003,0.05479559674859047,61,0.07698404230177402,0.023772437,0.2,0.22671274095773697,2.5064247846603394
1,43520,119,21,-0.9048463677637755,269.43,-0.045356773964033044,0.009915417991578579,0.6654878854751587,0.0003,-0.03135266155004501,67,0.04608607523400208,0.04287517,0.2,0.3323032537410999,2.4952483423824967
1,46080,181,14,-1.0333780232423109,272.71,-0.02729671813834172,0.009912719018757343,0.7895818948745728,0.0003,-0.00324898399412632,70,0.05810479103372647,0.04301622,0.2,0.20882671441023165,2.508628533436702
1,48640,161,15,-1.0421043465768538,276.69,-0.03269696659925911,0.009916148148477077,0.9089784026145935,0.0003,0.0004918128252029419,73,0.04497921963532766,0.038195677,0.2,0.23322414110104242,2.523986233605279
1,51200,164,15,-1.2115638857104223,278.85,-0.02011854580736586,0.009918023832142353,0.7698903679847717,0.0003,0.04127233102917671,75,0.10218701724495206,0.035635643,0.2,0.16495051980018616,2.526884453637259
1,53760,238,10,-1.1552659320793095,269.71,-0.015097041265107691,0.009918265044689178,0.9176366925239563,0.0003,0.008055564016103745,76,0.039598585572093725,0.023866666,0.2,0.2489933967590332,2.513809382915497
1,56320,235,10,-1.0279846641631674,267.94,-0.010119440266862512,0.009919192641973495,0.6530569791793823,0.0003,0.02521543577313423,77,0.031456923112273216,0.020346845,0.2,0.21926656365394592,2.5188183188438416
1,58880,374,6,-1.028251390327591,260.84,-0.035837075550501286,0.00991456862539053,0.7558580040931702,0.0003,-0.023380640894174576,82,0.03443503644513456,0.039634507,0.2,0.27046344782176773,2.515092423087672
1,61440,250,10,-1.0075517778189198,259.42,0.0007140954956412315,0.009911793284118176,0.802448570728302,0.0003,0.05983927845954895,84,0.08608108311891556,0.044640355,0.2,0.28832465410232544,2.5690970420837402
1,64000,221,11,-1.0107251458525657,245.85,-0.038137402283609845,0.00990753248333931,0.8434683680534363,0.0003,-0.054063133895397186,88,0.037412528530694544,0.035206873,0.2,0.24594492372125387,2.501164063811302
1,66560,138,18,-0.9245850510770875,236.37,-0.04142250137074905,0.009891381487250328,0.7687863111495972,0.0003,-0.03297584876418114,93,0.04220858062891399,0.050697546,0.2,0.2758743710377637,2.465707161847283
1,69120,176,14,-0.9506991361482381,218.9,-0.025590600290646155,0.009888400323688984,0.8303079605102539,0.0003,0.018632596358656883,95,0.06507714092731476,0.052981794,0.2,0.1616753488779068,2.469779372215271
1,71680,189,13,-0.8649526842696577,226.03,-0.025126465511592953,0.009881212376058102,0.8057194352149963,0.0003,0.0025788433849811554,98,0.039190719750794495,0.038890574,0.2,0.23981804874810306,2.4747714779593726
1,74240,128,19,-0.8819161724937316,227.74,-0.034261036871208086,0.009879795834422112,0.8444880247116089,0.0003,-0.037132058292627335,101,0.027547032261888187,0.041375604,0.2,0.1967440794946419,2.5053260591295032
1,76800,168,15,-0.7992147851806459,228.14,-0.03276926237158477,0.009884081780910492,0.8756659030914307,0.0003,-0.014623995870351791,104,0.052221450954675674,0.047371432,0.2,0.25668349862098694,2.461607885360718
1,79360,124,20,-0.7189202391911214,227.87,-0.025429411232471465,0.009888199158012867,0.8964702486991882,0.0003,0.01829294115304947,106,0.029111742228269576,0.050112367,0.2,0.15639204680919647,2.4752505302429197
1,81920,281,9,-0.6877182919415283,228.1,-0.018077956823011238,0.009891750290989876,0.8045778274536133,0.0003,0.005511168390512466,108,0.050902326901753746,0.050338537,0.2,0.27135416865348816,2.460197647412618
1,84480,123,20,-0.5669219865368802,224.84,-0.018975675942006998,0.009892690926790237,0.9798937439918518,0.0003,-0.0012644606176763773,111,0.006434616477539142,0.047435936,0.2,0.17973856255412102,2.6197737058003745
1,87040,142,18,-0.4777413346081422,223.04,-0.020740585954627022,0.009890921413898468,0.7202609777450562,0.0003,0.012018661946058273,113,0.036906064953655005,0.03982335,0.2,0.2720126062631607,2.4324628114700317
1,89600,192,13,-0.8897517680867517,235.8,-0.021704602139917286,0.009886189363896847,0.7103582620620728,0.0003,0.02709336020052433,116,0.13159860873764212,0.05756675,0.2,0.2560002532872287,2.4738199494101782
