rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/value_loss,train/std,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/clip_range,train/loss,train/explained_variance,train/entropy_loss,train/clip_fraction
209.58,-1.1693271146665354,115200,164,1,15,0.0003,0.08603080362081528,0.009812140837311745,-0.020321358771373827,174,0.052751683,0.2,0.03848281502723694,0.7982501983642578,2.508333961168925,0.26718750099341076
207.59,-1.1203299833936782,117760,138,1,18,0.0003,0.050472855906594886,0.009816992096602917,-0.03340664395893162,177,0.04572165,0.2,-0.0173296220600605,0.8906224966049194,2.4958029877055776,0.26811718398874457
208.78,-1.1931668304127532,120320,171,1,14,0.0003,0.1045725450597026,0.009796744212508202,-0.042963256091091105,183,0.044069402,0.2,-0.009488683193922043,0.7899924516677856,2.502050930803472,0.2772477540102872
209.92,-1.4851728499573391,122880,174,1,14,0.0003,0.30104821107604285,0.009783799760043621,-0.03183279567482797,186,0.037712634,0.2,0.05471108853816986,0.8593717813491821,2.501770171252164,0.21385266022248703
203.67,-1.3981112142954675,125440,130,1,19,0.0003,0.09361701932820407,0.009782034903764725,-0.03300771745853126,189,0.03656123,0.2,-0.0095231793820858,0.8305258750915527,2.509242469614202,0.1827059659090909
205.36,-1.4202896627254813,128000,90,1,28,0.0003,0.09475614130496979,0.009783129207789898,-0.009816369274631143,190,0.025047733,0.2,0.06813327223062515,0.7876140475273132,2.5096630454063416,0.28125
209.29,-1.4137460726852553,130560,81,1,31,0.0003,0.12496203822749001,0.009787029586732388,-0.01973973134798663,192,0.0337457,0.2,0.05618930608034134,0.8305752277374268,2.4785075868879045,0.262348792382649
212.26,-1.3689796006526294,133120,118,1,21,0.0003,0.037353424148427114,0.009788191877305508,-0.019982107708023653,195,0.035904955,0.2,-0.0011839400976896286,0.675460934638977,2.489718781577216,0.26616907782024807
211.0,-1.44596298061418,135680,107,1,23,0.0003,0.06529985666275025,0.009786829352378845,-0.02673976980149746,199,0.062140014,0.2,0.0009038317948579788,0.9279516935348511,2.5176705598831175,0.2549646124243736
212.96,-1.4792770410102163,138240,91,1,28,0.0003,0.26077373732220044,0.009790172800421715,-0.038964500185102224,203,0.045075625,0.2,0.04631104692816734,0.8918517827987671,2.5090169473127886,0.28138461167162115
216.66,-1.5125031946648144,140800,143,1,17,0.0003,0.07029554959047925,0.009796063415706158,-0.028332366904413157,206,0.057652112,0.2,0.012059647589921951,0.7571629285812378,2.4910313432866875,0.20328682254661212
219.73,-1.661493990757983,143360,158,1,16,0.0003,0.07521795520656988,0.00979742594063282,-0.03554419975874847,211,0.04100634,0.2,-0.01839270070195198,0.8390080332756042,2.4785032648789254,0.2671634570548409
213.75,-1.5309533766890333,145920,161,1,15,0.0003,0.10278194472193718,0.00979403592646122,-0.03797445772215724,214,0.040642217,0.2,0.006034724414348602,0.8977049589157104,2.487480306625366,0.2489586055278778
212.08,-1.5029669797993284,148480,238,1,10,0.0003,0.03765104050663384,0.009791555814445019,-0.02217412329363552,217,0.03947499,0.2,0.0016563888639211655,0.8021314144134521,2.476145722649314,0.28078562021255493
