time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/std,train/clip_range,train/loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/n_updates
157,30720,1,16,224.56338028169014,-1.2354702757986529,0.05078180879354477,0.2,0.0898706316947937,0.024410343,3.1263961601257324,0.6992570161819458,0.214631866812706,0.0003,0.06161124613136053,-0.0033561256830580534,110
140,33280,1,18,263.95061728395063,-2.0406023645229685,0.051106538623571396,0.2,0.038510993123054504,0.016841609,3.116879301071167,0.7886078953742981,0.1628125,0.0003,0.09483612954616547,-0.009364364966750145,120
168,35840,1,15,258.2,-1.8559273208905633,0.05081098526716232,0.2,0.00862131081521511,0.016205225,3.1135136175155638,0.7816479206085205,0.1677466820180416,0.0003,0.024099567402154208,-0.013155060752651479,130
145,38400,1,17,251.33,-1.7074919073795842,0.050585340708494186,0.2,0.01562010869383812,0.013468301,3.1259225785732268,0.7061998844146729,0.16274313274770974,0.0003,0.02103036337066442,-0.011039619866278372,140
133,40960,1,19,252.19,-1.8567011141699257,0.05049428716301918,0.2,0.020285094156861305,0.019972492,3.1325471460819245,0.8309125900268555,0.1616206589154899,0.0003,0.0377040829975158,-0.011708375386660919,150
90,43520,1,28,243.39,-1.6201362877572805,0.05056663602590561,0.2,0.008940896950662136,0.019049227,3.132140076160431,0.7664930820465088,0.23655634876340628,0.0003,0.038982811477035285,-0.013408477991470135,160
171,46080,1,14,236.54,-1.5471885323168095,0.05058274418115616,0.2,0.044776272028684616,0.04472586,3.1306168816306372,0.7984975576400757,0.15976112335920334,0.0003,0.03197295303371819,-0.004502970868171277,165
194,48640,1,13,239.82,-1.5328351465567018,0.05071606487035751,0.2,0.004598516039550304,0.015420487,3.1280710875988005,0.8371183276176453,0.19172061905264853,0.0003,0.016422005905769765,-0.016604540980188175,175
172,51200,1,14,239.11,-1.6340908523357103,0.0504799485206604,0.2,0.017754800617694855,0.027683493,3.1292591989040375,0.8883598446846008,0.20892716078087686,0.0003,0.01568989981897175,-0.008899173993268051,185
169,53760,1,15,239.11,-1.4820339447366129,0.050443731248378754,0.2,0.07672138512134552,0.032662287,3.1353915741569116,0.832496166229248,0.20227869247135363,0.0003,0.049780546834594326,0.00025299382641127234,190
170,56320,1,14,226.99,-1.3294451617612189,0.05012698471546173,0.2,0.02060035988688469,0.01686006,3.141496434211731,0.8042828440666199,0.18009655952453613,0.0003,0.024978621564805507,-0.013440176299773156,200
220,58880,1,11,194.28,-0.5827021052300017,0.050163283944129944,0.2,0.01556815393269062,0.023171786,3.1486712872982023,0.7567771673202515,0.2058291420340538,0.0003,0.02203274650964886,-0.015498801064677537,210
188,61440,1,13,196.39,-0.7121984941202751,0.05038583278656006,0.2,0.006230403669178486,0.01805705,3.1432923714319867,0.8719706535339355,0.18782810848206283,0.0003,0.013808398072918256,-0.01677677591020862,220
171,64000,1,14,196.15,-0.8510434318592689,0.050410449504852295,0.2,0.023629112169146538,0.01750505,3.136540114879608,0.8359779715538025,0.1908225966617465,0.0003,0.025451403693296015,-0.01014622747024987,230
152,66560,1,16,193.95,-0.7473646254139195,0.050683967769145966,0.2,0.03790722042322159,0.03469938,3.132940447330475,0.7604447603225708,0.21596363000571728,0.0003,0.058209704933688045,-0.006918352942739148,240
146,69120,1,17,195.66,-0.768179300550873,0.05068926513195038,0.2,0.013708008453249931,0.024540644,3.125561457872391,0.8521403074264526,0.21035792175680398,0.0003,0.022019462939351798,-0.011586255424117554,250
307,71680,1,8,198.71,-0.7757770384819029,0.050806447863578796,0.2,0.017873644828796387,0.022944082,3.1247064590454103,0.7619574666023254,0.2734624473378062,0.0003,0.014880956709384918,-0.004729523439891636,260
204,74240,1,12,199.7,-0.8438939054386517,0.05090600252151489,0.2,0.010145210660994053,0.02987492,3.1198669195175173,0.9159747362136841,0.2359479170292616,0.0003,0.01547676553018391,-0.016285432106815278,270
168,76800,1,15,200.27,-0.8163681506371628,0.051233939826488495,0.2,0.03805316612124443,0.017723314,3.111213755607605,0.7402108311653137,0.17199476771056652,0.0003,0.03095909240655601,-0.011828586971387268,280
336,79360,1,7,209.26,-0.8415564059285678,0.05128974840044975,0.2,0.01368518453091383,0.024309203,3.1028350400924682,0.7903165817260742,0.2033351393043995,0.0003,0.011449934234842658,-0.01582427662797272,290
182,81920,1,14,210.15,-0.9601493033026022,0.0513097420334816,0.2,0.02718854509294033,0.053731155,3.102400302886963,0.8560315370559692,0.1980362462678126,0.0003,0.007309073316199439,-0.00851456867530942,294
182,84480,1,13,209.89,-0.9246778385885548,0.0515400692820549,0.2,0.011825034394860268,0.013910624,3.0965842425823213,0.6949911713600159,0.1909265022724867,0.0003,0.04935508163180202,-0.011226573801832274,304
262,87040,1,9,213.86,-0.8904077838731365,0.051497478038072586,0.2,0.014884063974022865,0.01694505,3.0938925981521606,0.888944149017334,0.20790636390447617,0.0003,0.014656142599415034,-0.013704762725683394,314
160,89600,1,15,218.29,-0.9192354474175874,0.05144299566745758,0.2,0.005267799366265535,0.02061272,3.0958457946777345,0.9360634684562683,0.16301085095619783,0.0003,0.008316828007809817,-0.01325357265304774,324
138,92160,1,18,220.22,-0.9141151950407921,0.0514078326523304,0.2,0.027026638388633728,0.019802831,3.097734570503235,0.9222888350486755,0.19399201795458793,0.0003,0.013306074007414282,-0.0077267395972739905,334
351,94720,1,7,223.84,-0.8802178808885175,0.05139429494738579,0.2,0.007669908460229635,0.015552883,3.098088389635086,0.8264225125312805,0.23399701490998268,0.0003,0.010922259616199881,-0.007737551448735757,344
188,97280,1,13,224.19,-0.7114961465298073,0.05120343714952469,0.2,0.022006457671523094,0.022102967,3.1020105957984923,0.7004618644714355,0.2429636088665575,0.0003,0.010072277043946087,-0.0073669658333528785,354
215,99840,1,11,223.89,-0.6344011430186912,0.051032181829214096,0.2,0.022731782868504524,0.027321089,3.1103519201278687,0.885524570941925,0.23610243141651155,0.0003,0.007041376591660082,-0.003158481726422906,364
190,102400,1,13,225.85,-0.5951796447179325,0.05122672766447067,0.2,0.002857671119272709,0.020440329,3.110421723127365,0.8256510496139526,0.21412569079548122,0.0003,0.023600560519844292,-0.014144455675796053,374
321,104960,1,7,230.23,-0.695168267419654,0.051397599279880524,0.2,0.02854127436876297,0.017168352,3.1006049811840057,0.872534990310669,0.20552562158554794,0.0003,0.029648974351584912,-0.012514906283468009,384
270,107520,1,9,233.68,-0.7137917919202381,0.05127827450633049,0.2,-0.007868275046348572,0.02360189,3.0998896241188048,0.4867870807647705,0.1727153476444073,0.0003,0.017089673690497874,-0.01884739038068801,394
142,110080,1,17,236.61,-0.6639004259021583,0.051032401621341705,0.2,0.0038844426162540913,0.016453814,3.107754135131836,0.3522207736968994,0.16023143343627452,0.0003,0.004419306514319032,-0.010767109139123932,404
175,112640,1,14,232.58,-0.5774740738609205,0.051154471933841705,0.2,0.010662965476512909,0.030766968,3.112478697299957,0.7309988737106323,0.2317365862429142,0.0003,0.004808645637240261,-0.014501695823855697,414
173,115200,1,14,220.55,-0.6170531708199791,0.05121435970067978,0.2,0.04489060491323471,0.046568625,3.107000992848323,0.7553479671478271,0.23782568253003633,0.0003,0.02656502491579606,0.0012593473880909956,418
127,117760,1,20,219.23,-0.38875431121174764,0.051302917301654816,0.2,0.021267008036375046,0.018681288,3.103889161348343,0.7391046285629272,0.22646387796849013,0.0003,0.022087087063118814,-0.01138080227683531,428
143,120320,1,17,222.62,-0.3929388227656326,0.051449112594127655,0.2,0.016715746372938156,0.022853918,3.099260514974594,0.830147922039032,0.21794211668893695,0.0003,0.01313372130971402,-0.01600902129721362,438
234,122880,1,10,224.35,-0.3882214204951338,0.051729410886764526,0.2,0.015682019293308258,0.02219055,3.0920603275299072,0.7344970107078552,0.21412452220916747,0.0003,0.045133997462689875,-0.008417100080405361,448
148,125440,1,17,234.7,-1.1752520832078535,0.0517701730132103,0.2,0.08319465816020966,0.015272695,3.084301161766052,0.5605920553207397,0.14620392806828023,0.0003,0.28789075824121635,-0.005268894351320341,458
