rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_range,train/learning_rate,train/std,train/clip_fraction,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/n_updates,train/value_loss,train/explained_variance
203.34,51200,1,6,-1.3720722105352892,395,0.2,0.0003,0.051419854164123535,0.16170035659645995,3.0984013279279075,0.039283544,0.18362778425216675,0.004247460320281486,166,0.18484000395983458,0.8151001930236816
211.45,53760,1,7,-1.3789447914655681,334,0.2,0.0003,0.05160217732191086,0.2150119362398982,3.0938386976718903,0.025725998,0.09631522744894028,-0.012777642428409309,176,0.05686116414144635,0.9097627401351929
213.61,56320,1,6,-1.3447374469051607,404,0.2,0.0003,0.0515923947095871,0.22204787731170655,3.0905280292034147,0.019173875,0.024146515876054764,-0.009654229960869998,186,0.03503038021735847,0.9074559807777405
215.95,58880,1,7,-1.2133076467356154,343,0.2,0.0003,0.05161120370030403,0.19208661764860152,3.0912640651067096,0.025635166,0.03979925066232681,-0.013892492157174275,196,0.027942399587482215,0.9410755634307861
223.27,61440,1,7,-1.3444999298021603,339,0.2,0.0003,0.05161000043153763,0.13751502523664386,3.089995968341827,0.015456623,0.02649678662419319,-0.013801045165746473,206,0.06498486902564764,0.6228976249694824
224.54,64000,1,7,-1.316114169779415,344,0.2,0.0003,0.0515928789973259,0.17256257459521293,3.0913204828898113,0.018286062,0.0116392457857728,-0.013107718535078068,216,0.03850340936332941,0.847032904624939
223.0,66560,1,6,-1.2843124646261106,405,0.2,0.0003,0.05154360085725784,0.2151525542140007,3.0909708380699157,0.020145366,0.003037374932318926,-0.01584688881994225,226,0.01880391228478402,0.8927382230758667
224.65,69120,1,12,-1.3768250686696006,209,0.2,0.0003,0.05161042511463165,0.21328038573265076,3.0922003666559856,0.023768255,-0.0055936174467206,-0.01965514082306375,236,0.025133676671733458,0.9053804278373718
228.2,71680,1,9,-1.4415418352027274,256,0.2,0.0003,0.051743097603321075,0.17677638679742813,3.087151461839676,0.013749933,0.02011990360915661,-0.010758496669586748,246,0.05021816687658429,0.8037365674972534
228.61,74240,1,9,-1.38346881069819,279,0.2,0.0003,0.051821380853652954,0.195947265625,3.0836466193199157,0.045630537,0.24199587106704712,-0.0076636869111098346,254,0.021462257782695816,0.8653081655502319
228.03,76800,1,9,-1.412665127496681,262,0.2,0.0003,0.05169040337204933,0.23256910424679517,3.083671635389328,0.025859345,0.013266983442008495,-0.016241854209692975,264,0.023879178217612207,0.8163152933120728
228.5,79360,1,10,-1.4304561189968437,249,0.2,0.0003,0.051515765488147736,0.18521050340496004,3.09026620388031,0.020464227,0.0019171899184584618,-0.019704190280754118,274,0.020080177276395262,0.8806240558624268
222.75,81920,1,8,-1.073483701823258,315,0.2,0.0003,0.051533885300159454,0.18095858182225907,3.0943837733495805,0.049534008,0.06060127168893814,-0.0032523322041102106,279,0.025535715167366323,0.8347551226615906
205.8,84480,1,10,-0.6742078329946425,255,0.2,0.0003,0.05165686085820198,0.25450463574379684,3.091595596075058,0.025781201,0.020045168697834015,-0.012982789368834347,289,0.011520941386697814,0.8557803630828857
206.42,87040,1,6,-0.7134600128275744,404,0.2,0.0003,0.05183463543653488,0.2239279918372631,3.085014283657074,0.021183219,0.024823710322380066,-0.010759132908424363,299,0.023130007763393225,0.8417096138000488
207.31,89600,1,10,-0.7734255022977982,248,0.2,0.0003,0.051912158727645874,0.19648437505518948,3.0800415674845376,0.034857,-0.0037589201238006353,-0.012342560380973198,308,0.007367824566447073,0.9291539788246155
201.94,92160,1,9,-0.7114745096249684,265,0.2,0.0003,0.05212772265076637,0.1633484300225973,3.0745303094387055,0.021810247,0.025199750438332558,-0.011236699798610061,318,0.06146029159426689,0.77500981092453
202.27,94720,1,7,-0.7226341558612464,330,0.2,0.0003,0.052262891083955765,0.18935446068644524,3.06780846118927,0.017900512,0.016352670267224312,-0.017560580198187382,328,0.021038755541667342,0.8973972201347351
204.22,97280,1,13,-0.6982592603469819,186,0.2,0.0003,0.05247458815574646,0.1993547777334849,3.0617182731628416,0.017572721,-0.0021957054268568754,-0.01570752979023382,338,0.010206672611335914,0.9445744156837463
205.51,99840,1,10,-0.5583304264595725,239,0.2,0.0003,0.0524485781788826,0.2191343372222036,3.0559011697769165,0.022534478,0.03260011970996857,-0.014834617747692392,348,0.019951238203793763,0.788856565952301
203.84,102400,1,13,-0.5564244907368434,187,0.2,0.0003,0.052270762622356415,0.20594618221124014,3.061270229021708,0.019868689,0.009858495555818081,-0.015993834564384694,358,0.008867888431996106,0.8771722316741943
205.14,104960,1,15,-0.6151696763523828,161,0.2,0.0003,0.05212364345788956,0.19298361092805863,3.067513954639435,0.015641348,0.011426491662859917,-0.016028428386198355,368,0.009940989455208183,0.892067551612854
205.65,107520,1,5,-0.6523431034802358,509,0.2,0.0003,0.05218389257788658,0.18223966294899582,3.0702104687690737,0.01748307,0.0010094447061419487,-0.017994356283452362,378,0.04145955736748874,0.8058503270149231
207.47,110080,1,13,-0.6771680376583764,189,0.2,0.0003,0.05225169658660889,0.17242646778468043,3.067062830924988,0.030523853,0.017698802053928375,-0.008467239823863793,388,0.002259082032833248,0.9642128944396973
205.15,112640,1,13,-0.6148166842060836,193,0.2,0.0003,0.05227252468466759,0.2281260652577176,3.0642274758395027,0.043473467,0.05027429759502411,-0.01103408103581922,397,0.02926244627793922,0.9086588621139526
