time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/std,train/loss
1,74240,193.69,298,-0.6496644586889039,8,125,0.2421982228755951,0.2,-0.03930492238141596,0.7900691032409668,0.015749383841951688,2.4948390324910483,0.04462413,0.0003,0.009968701750040054,-0.036546334624290466
1,76800,186.67,288,-0.5056166452883634,8,128,0.20772992736763424,0.2,-0.028058111978073914,0.8271434307098389,0.013629387753705183,2.5062110688951282,0.045069754,0.0003,0.009968980215489864,-0.013387535698711872
1,79360,189.22,328,-0.5116730925317284,7,131,0.21826591715216637,0.2,-0.028507738054031506,0.8360368013381958,0.0548617010936141,2.492881695429484,0.040508136,0.0003,0.0099681681022048,-0.010284332558512688
1,81920,196.9,338,-1.1149911154829744,7,134,0.1988349768022696,0.2,-0.042555596265527934,0.4869581460952759,0.43867148955663043,2.5761422051323786,0.04161896,0.0003,0.009970469400286674,0.1308894157409668
1,84480,199.31,119,-1.1693031840820538,21,136,0.18637276887893678,0.2,-0.012140224827453494,0.7718315124511719,0.12890481501817702,2.5123931884765627,0.03993638,0.0003,0.009973219595849514,0.07719156891107559
1,87040,209.97,259,-1.4722752891118034,9,138,0.20871710777282715,0.2,-0.016002781270071865,0.7641478180885315,0.2480234384536743,2.502356243133545,0.048681628,0.0003,0.009975513443350792,0.10010293871164322
1,89600,210.45,255,-1.3783535114353465,10,141,0.21420636773109436,0.2,-0.028362316739124555,0.9229422807693481,0.049514605974157654,2.5436340967814126,0.04777635,0.0003,0.009977401234209538,-0.003283713012933731
1,92160,211.14,259,-1.3443208334317986,9,145,0.24960202926939185,0.2,-0.03230138082819229,0.8215222358703613,0.09307907149195671,2.5256630290638316,0.045978624,0.0003,0.009982234798371792,-0.007562389597296715
1,94720,219.6,326,-1.3546898044895304,7,149,0.32564836492141086,0.2,-0.026915883257364232,0.8540968894958496,0.09798109469314416,2.509768764177958,0.047494054,0.0003,0.00998527742922306,0.012544836848974228
1,97280,223.58,233,-1.2906342690634047,10,153,0.25738281309604644,0.2,-0.03280918397940695,0.8544532060623169,0.02453193236142397,2.5158231019973756,0.045067187,0.0003,0.009983105584979057,-0.03469729423522949
1,99840,228.18,242,-1.2157932455935783,10,155,0.22335737198591232,0.2,-0.013632052267591158,0.69650799036026,0.03605432870487372,2.4997010231018066,0.051191606,0.0003,0.009982744231820107,0.02978673204779625
1,102400,231.84,282,-1.2203706376963883,9,156,0.23479048907756805,0.2,-0.0223822935950011,0.6197892427444458,0.026198851875960827,2.5292969346046448,0.022102,0.0003,0.009983282536268234,0.0002855667844414711
1,104960,231.4,224,-1.29451352547828,11,160,0.24308628141880034,0.2,-0.033896876592189075,0.7901432514190674,0.025033846125006677,2.5243921279907227,0.053686354,0.0003,0.009988507255911827,-0.02370954304933548
1,107520,232.4,250,-1.3453206857632767,10,163,0.22766973687843842,0.2,-0.03197344942865046,0.7983066439628601,0.0561717650429769,2.5007085366682573,0.044328798,0.0003,0.00999077782034874,-0.014647921547293663
1,110080,235.88,225,-1.3211737680307356,11,165,0.23493289574980736,0.2,-0.02687910059466958,0.8023259043693542,0.07444493239745498,2.4880558848381042,0.041894935,0.0003,0.009990322403609753,0.0252541471272707
1,112640,235.01,161,-1.4047113023668785,15,167,0.25455775260925295,0.2,-0.010096508730202913,0.610323429107666,0.07239213883876801,2.5011117458343506,0.04566946,0.0003,0.009990086778998375,0.045241132378578186
1,115200,236.82,176,-1.5352634818581279,14,170,0.26061197817325593,0.2,-0.018462093314155936,0.9045267701148987,0.0506510091945529,2.4836633443832397,0.04717023,0.0003,0.009991038590669632,0.02826285921037197
