time,agent,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_nm,outside,commanded_heading_turn_deg,static_projection_intervened,static_projection_infeasible
970.0,KL001,51.37734788175254,3.795546117779849,162.99999999999994,165.5846750214427,24.838534897901894,-32.70276305630367,0.6711161136627197,0.7028634548187256,107.1899682101886,False,30.200225114822388,False,False
970.0,KL002,53.137823651946356,3.310900741907777,162.99999999999994,165.5846750214427,220.3633452427925,147.74392193528882,0.8202195167541504,0.7471652030944824,107.1899682101886,False,-5.0,True,False
980.0,KL001,51.36386879271619,3.785584595566763,162.99999999999994,165.5846750214427,23.341530626806918,-18.530423699357584,-0.6331976056098938,0.6014325618743896,108.39373731283496,False,-28.49389225244522,False,False
980.0,KL002,53.14331315844658,3.287828783128963,162.99999999999994,165.5846750214427,221.7049338296756,143.00468389254718,0.7980778217315674,0.8072843551635742,108.39373731283496,False,5.0,True,False
990.0,KL001,51.35022311701217,3.776225493984109,162.99999999999994,165.5846750214427,21.8882630601429,-36.334198674143835,0.7731108665466309,0.7189164161682129,109.66256794062646,False,34.78998899459839,False,False
990.0,KL002,53.149731038278006,3.265429450988496,162.99999999999994,165.5846750214427,223.11333071392104,148.23793193996306,0.8157379627227783,0.7438945770263672,109.66256794062646,False,0.0,True,False
1000.0,KL001,51.33674402797582,3.7662698682052445,162.99999999999994,165.5846750214427,20.441571853008924,-22.66002308136376,-0.4554758071899414,0.6336343288421631,110.92547034030537,False,-20.496411323547363,False,False
1000.0,KL002,53.15627889811236,3.2431264527915733,162.99999999999994,165.5846750214427,224.53386361593473,148.46477752133092,0.7923077344894409,0.7652597427368164,110.92547034030537,False,-5.0,True,False
1010.0,KL001,51.3230983522718,3.756916304113679,162.99999999999994,165.5846750214427,19.05292715498969,-41.070580183537174,0.8915987014770508,0.7482700347900391,112.14516555134676,False,40.121941566467285,False,False
1010.0,KL002,53.16176840461259,3.2200445758757796,162.99999999999994,165.5846750214427,225.88795583254077,143.71642950942646,0.8116240501403809,0.7844016551971436,112.14516555134676,False,5.0,True,False
1020.0,KL001,51.30961926323545,3.7469665655640725,162.99999999999994,165.5846750214427,17.682289140997444,-28.114825596358145,-0.11859846115112305,0.68303382396698,113.4022995088564,False,-5.336930751800537,False,False
1020.0,KL002,53.16818628444401,3.197635612688665,162.99999999999994,165.5846750214427,227.30742452378982,148.9409525338677,0.7879490852355957,0.7587289810180664,113.4022995088564,False,-5.0,True,False
1030.0,KL001,51.29637795091432,3.7360807551930755,162.99999999999994,165.5846750214427,16.316815779305294,-36.605116135977084,0.5687305927276611,0.7292968034744263,114.58941024679731,False,25.59287667274475,False,False
1030.0,KL002,53.17367579094424,3.1745473307590317,162.99999999999994,165.5846750214427,228.66965774774823,144.18672620107964,0.7971326112747192,0.7894103527069092,114.58941024679731,False,5.0,True,False
1040.0,KL001,51.28425584420777,3.722380006270451,162.99999999999994,165.5846750214427,14.879281436082001,-23.7598485092673,-0.6388818621635437,0.6773537397384644,115.74237851858197,False,-28.749683797359467,False,False
1040.0,KL002,53.18009367077566,3.1521321479568924,162.99999999999994,165.5846750214427,230.09632008865594,149.40562123191364,0.7776529788970947,0.7579807043075562,115.74237851858197,False,-5.0,True,False
1050.0,KL001,51.27190176049645,3.7092228827164733,162.99999999999994,165.5846750214427,13.516846729717583,-43.34354452728314,0.7746338844299316,0.76206374168396,116.8626107388498,False,34.858524799346924,False,False
1050.0,KL002,53.18558317727589,3.129037456460016,162.99999999999994,165.5846750214427,231.46640921608346,144.64569346058124,0.8173239231109619,0.7713978290557861,116.8626107388498,False,-5.0,True,False
1060.0,KL001,51.2597796537899,3.6955294313332807,162.99999999999994,165.5846750214427,12.196176381436246,-31.934565555044912,-0.13717758655548096,0.7451975345611572,117.89822210500206,False,-6.172991394996643,False,False
1060.0,KL002,53.189845585665275,3.10522958581625,162.99999999999994,165.5846750214427,232.75500957035965,139.9118634095255,0.8440296649932861,0.8235146999359131,117.89822210500206,False,-10.0,True,False
1070.0,KL001,51.24790744199289,3.681181437687806,162.99999999999994,165.5846750214427,10.924952331821734,-43.36574443445801,0.6512980461120605,0.7882206439971924,118.80210930282928,False,29.308412075042725,False,False
1070.0,KL002,53.19211067514945,3.080699466428747,162.99999999999994,165.5846750214427,233.89379572424204,130.21611769939523,0.8620041608810425,0.8889079093933105,118.80210930282928,False,-10.0,True,False
1080.0,KL001,51.237393209264255,3.664442580199859,162.99999999999994,165.5846750214427,9.614253650117458,-33.14727543410453,-0.1784103512763977,0.7650712728500366,119.459288546594,False,-8.028465807437897,False,False
1080.0,KL002,53.191789227999216,3.055885045159859,162.99999999999994,165.5846750214427,234.8150379966001,120.5617492763505,0.8378376960754395,0.9168334007263184,119.459288546594,False,-5.0,True,False
1090.0,KL001,51.226989242018966,3.647454102227335,162.99999999999994,165.5846750214427,8.405476252615335,-48.37441389444177,0.5009913444519043,0.7844549417495728,119.99826403695396,False,22.544610500335693,False,False
1090.0,KL002,53.18962343267372,3.031299919219632,162.99999999999994,165.5846750214427,235.56912906160966,115.93059925316601,0.7124135494232178,0.9179496765136719,119.99826403695396,False,-10.0,True,False
1100.0,KL001,51.2179933972473,3.628600301882069,162.99999999999994,165.5846750214427,7.213218857875694,-40.95102122205486,-0.06079655885696411,0.7957209348678589,120.3187546496218,False,-2.735845148563385,False,False
1100.0,KL002,53.185465037561585,3.0074724403121667,162.99999999999994,165.5846750214427,236.12403331249124,106.31849517004957,-0.7013230323791504,0.9033463001251221,120.3187546496218,False,-31.559536457061768,False,False
1110.0,KL001,51.20992653712314,3.608618741191596,162.99999999999994,165.5846750214427,6.121656697694549,-54.43018531511825,0.6617209911346436,0.829390287399292,120.40312839599764,False,29.77744460105896,False,False
1110.0,KL002,53.178583573318946,2.985523866078077,162.99999999999994,165.5846750214427,236.3717549519725,90.89974792184728,-0.9983528256416321,0.7908565998077393,120.40312839599764,False,-44.925877153873444,False,False
1120.0,KL001,51.20383819522378,3.5870095124074437,162.99999999999994,165.5846750214427,5.108602504187113,-51.98074782152389,0.5063072443008423,0.8562767505645752,120.13575459091084,False,22.783825993537903,False,False
1120.0,KL002,53.1683763692933,2.9675416727610755,162.99999999999994,165.5846750214427,236.17677091159865,75.48109473591097,-0.9988864660263062,0.621544599533081,120.13575459091084,False,-44.94989097118378,False,False
1130.0,KL002,53.15561698004531,2.9548875971162163,162.99999999999994,165.5846750214427,235.55267493234564,60.034060598709885,-0.635094940662384,-0.9956976175308228,inf,False,-28.57927232980728,False,False
1140.0,KL002,53.14152179759397,2.94868062262389,159.58461136746035,162.12228766600188,234.55879996208884,44.238347283518266,-0.6790095567703247,-0.9752743244171143,inf,False,-30.555430054664612,False,False
1150.0,KL002,53.12725826925583,2.949306656596554,156.2392778495997,158.73051590132647,233.27761536333264,28.00943833966312,-0.804381787776947,-0.8639246225357056,inf,False,-36.197180449962616,False,False
1160.0,KL002,53.113969755219834,2.9565683524117894,153.27584286020456,155.725614258094,231.81313955440697,11.346407159363594,-0.9247617125511169,-0.3394061326980591,inf,False,-41.61427706480026,False,False
1170.0,KL002,53.10263302924879,2.969822437619626,152.111319879741,154.5447123827003,230.27456568720322,-5.591143692663167,-0.9739956259727478,0.2977992296218872,inf,False,-43.82980316877365,False,False
1180.0,KL002,53.09404155812766,2.988107605075261,153.13217709943984,155.5799304058565,228.77060124545577,-22.53400605199596,-0.9688674807548523,0.6548600196838379,inf,False,-43.59903663396835,False,False
1190.0,KL002,53.08890515783088,3.01003111480828,155.37761628509364,157.8568290834022,227.42303677804045,-39.36132301628021,-0.6899138689041138,0.7874987125396729,inf,False,-31.04612410068512,False,False
1200.0,KL002,53.087692840397445,3.033873545837708,158.07794953943838,160.59476025620293,226.34788004239786,-56.01142608627799,0.2913506031036377,0.8836745023727417,inf,False,13.110777139663696,False,False
1210.0,KL002,53.08617800705716,3.0581332204283256,161.1081212736163,163.66681411316165,225.23565964655944,-43.212354305481,-0.36939555406570435,0.7269316911697388,inf,False,-16.622799932956696,False,False
1220.0,KL002,53.08568627397389,3.082817320040549,162.99999999999994,165.5846750214427,224.20456011862677,-59.385162254332045,0.34862518310546875,0.8224937915802002,inf,False,15.688133239746094,False,False
1230.0,KL002,53.08478689912094,3.1074879783274683,162.99999999999994,165.5846750214427,223.14530180019355,-44.031198248838535,-0.18425476551055908,0.6684348583221436,inf,False,-8.291464447975159,False,False
1240.0,KL002,53.083761390349274,3.1322001884870208,162.99999999999994,165.5846750214427,222.08069673069147,-52.65848951918204,0.42966723442077637,0.7830934524536133,inf,False,19.335025548934937,False,False
1250.0,KL002,53.08095855256013,3.156469308848505,162.99999999999994,165.5846750214427,220.88023811258824,-37.138064050114394,-0.7726249694824219,0.4502263069152832,inf,False,-34.768123626708984,False,False
1260.0,KL002,53.07855931810708,3.18085617255299,162.99999999999994,165.5846750214427,219.71805671705653,-53.27594397957748,0.44980955123901367,0.7561242580413818,inf,False,20.241429805755615,False,False
1270.0,KL002,53.07575648031794,3.2051223604771195,162.99999999999994,165.5846750214427,218.53034979499014,-37.76215812948317,-0.7572465538978577,0.4112362861633301,inf,False,-34.076094925403595,False,False
1280.0,KL002,53.07335724586489,3.229506277867442,162.99999999999994,165.5846750214427,217.38149300252087,-53.90674421481171,0.4740718603134155,0.7330954074859619,inf,False,21.3332337141037,False,False
1290.0,KL002,53.07055440807575,3.253769534262772,162.99999999999994,165.5846750214427,216.20695739648957,-38.39973997477253,-0.7372035980224609,0.42130088806152344,inf,False,-33.17416191101074,False,False
1300.0,KL002,53.0681551736227,3.2781505062517278,162.99999999999994,165.5846750214427,215.0718549345593,-54.551169706440845,0.46382200717926025,0.7013101577758789,inf,False,20.87199032306671,False,False
