time,agent,lat,lon,heading_deg,cas_mps,tas_mps
1630.0,AC4,50.09612560081953,4.323426571584242,178.93545476893684,162.99999999999994,165.5846750214427
1630.0,AC5,50.23805868972373,3.2287554151786693,214.6135685842343,128.0649704055076,130.1499681006073
1630.0,AC6,52.72351773936936,3.5023172526601973,340.3345959562631,121.37118204055521,123.35591083732872
1630.0,AC7,50.580502566819035,4.843284609185559,185.38732195388206,128.04979438747895,130.13456630632626
1630.0,AC8,53.090475397489094,2.5062150705606383,324.62787971734474,162.99999999999994,165.5846750214427
1630.0,AC9,53.787361041332495,3.339554152051408,350.6583986166836,162.99999999999994,165.5846750214427
1630.0,AC10,52.611785897179196,3.164151472167064,329.384419274883,140.41913295507044,142.6855042814784
1640.0,AC1,51.10911536420539,4.7595721793951995,149.182637989969,150.85746131199525,153.27316580508298
1640.0,AC2,50.48864533492978,5.374024493292328,147.14016372864694,156.16127713265985,158.65142769137466
1640.0,AC3,50.50131940659677,3.9028883896143056,195.6960150102132,121.18829474516093,123.17026500607139
1640.0,AC4,50.08123678348559,4.323857772600682,178.93545476893684,162.99999999999994,165.5846750214427
1640.0,AC5,50.228425726201834,3.2183614609571625,214.6135685842343,128.0649704055076,130.1499681006073
1640.0,AC6,52.73396417715321,3.4961516036462013,340.329689195256,121.37118204055521,123.35591083732872
1640.0,AC7,50.56885098026606,4.841554436088715,185.38732195388206,128.04979438747895,130.13456630632626
1640.0,AC8,53.102617977486084,2.491858754087943,324.62787971734474,162.99999999999994,165.5846750214427
1640.0,AC9,53.80205494110509,3.3354618917817316,350.6583986166836,162.99999999999994,165.5846750214427
1640.0,AC10,52.622828638946686,3.153386138179544,329.3758632530698,140.41913295507044,142.6855042814784
1650.0,AC1,51.09727684576497,4.770816605417676,149.19139992243544,150.85746131199525,153.27316580508298
1650.0,AC2,50.47666032180462,5.386190608036912,147.14016372864694,156.16127713265985,158.65142769137466
1650.0,AC3,50.490655492427855,3.898177644368653,195.6960150102132,121.18829474516093,123.17026500607139
1650.0,AC4,50.06634796615165,4.324288839718605,178.93545476893684,162.99999999999994,165.5846750214427
1650.0,AC5,50.21879276267994,3.2079696060239287,214.6135685842343,128.0649704055076,130.1499681006073
1650.0,AC6,52.74441029502962,3.4899829988459476,340.32477938830664,121.37118204055521,123.35591083732872
1650.0,AC7,50.55719939371309,4.839824690799353,185.38732195388206,128.04979438747895,130.13456630632626
1650.0,AC8,53.11476055748307,2.4774983843311555,324.62787971734474,162.99999999999994,165.5846750214427
1650.0,AC9,53.816748840877686,3.331368197169972,350.6583986166836,162.99999999999994,165.5846750214427
1650.0,AC10,52.63387040422091,3.1426153702751844,329.3673015948142,140.41913295507044,142.6855042814784
1660.0,AC1,51.08543724805057,4.78205527104288,149.2001568638324,150.85746131199525,153.27316580508298
1660.0,AC2,50.46467530867947,5.398353638609373,147.14016372864694,156.16127713265985,158.65142769137466
1660.0,AC3,50.47999157825894,3.8934679622315627,195.6960150102132,121.18829474516093,123.17026500607139
1660.0,AC4,50.05145914881771,4.324719773050231,178.93545476893684,162.99999999999994,165.5846750214427
1660.0,AC5,50.209159799158044,3.1975798492375205,214.6135685842343,128.0649704055076,130.1499681006073
1660.0,AC6,52.75485609272322,3.483811435809824,340.3198665324278,121.37118204055521,123.35591083732872
1660.0,AC7,50.54554780716012,4.83809537303447,185.38732195388206,128.04979438747895,130.13456630632626
1660.0,AC8,53.12690313748006,2.463133958355528,324.62787971734474,162.99999999999994,165.5846750214427
1660.0,AC9,53.83144274065028,3.3272730669408666,350.6583986166836,162.99999999999994,165.5846750214427
1660.0,AC10,52.644911192111735,3.1318391640008065,329.35873429298533,140.41913295507044,142.6855042814784
1670.0,AC1,51.073596571940236,4.793288180780557,149.20890902074805,150.85746131199525,153.27316580508298
1670.0,AC2,50.45269029555431,5.410513587104946,147.14016372864694,156.16127713265985,158.65142769137466
1670.0,AC3,50.469327664090024,3.8887593425602294,195.6960150102132,121.18829474516093,123.17026500607139
1670.0,AC4,50.03657033148377,4.325150572707662,178.93545476893684,162.99999999999994,165.5846750214427
1670.0,AC5,50.19952683563615,3.187192189457299,214.6135685842343,128.0649704055076,130.1499681006073
1670.0,AC6,52.76530156995834,3.477636912085522,340.31495062459135,121.37118204055521,123.35591083732872
1670.0,AC7,50.53389622060715,4.836366482511301,185.38732195388206,128.04979438747895,130.13456630632626
1670.0,AC8,53.13904571747705,2.4487654732234585,324.62787971734474,162.99999999999994,165.5846750214427
1670.0,AC9,53.84613664042288,3.3231764998176234,350.6583986166836,162.99999999999994,165.5846750214427
1670.0,AC10,52.65595100172769,3.1210575148982804,329.3501613402553,140.41913295507044,142.6855042814784
1680.0,AC1,51.06175481828155,4.804515339057435,149.21765667185758,150.85746131199525,153.27316580508298
1680.0,AC2,50.44070528242916,5.422670455617012,147.14016372864694,156.16127713265985,158.65142769137466
1680.0,AC3,50.45866374992111,3.8840517847123572,195.6960150102132,121.18829474516093,123.17026500607139
1680.0,AC4,50.02168151414983,4.325581238802875,178.93545476893684,162.99999999999994,165.5846750214427
1680.0,AC5,50.189893872114254,3.176806625543434,214.6135685842343,128.0649704055076,130.1499681006073
1680.0,AC6,52.775746726458934,3.4714594252180233,340.310031661725,121.37118204055521,123.35591083732872
1680.0,AC7,50.522244634054175,4.834638018947328,185.38732195388206,128.04979438747895,130.13456630632626
1680.0,AC8,53.15118829747404,2.4343929259944903,324.62787971734474,162.99999999999994,165.5846750214427
1680.0,AC9,53.86083054019547,3.319078494521917,350.6583986166836,162.99999999999994,165.5846750214427
1680.0,AC10,52.66698983217606,3.1102704185044567,329.341582729073,140.41913295507044,142.6855042814784
1690.0,AC1,51.04991198788039,4.815736750187087,149.22640020694564,150.85746131199525,153.27316580508298
1690.0,AC2,50.428720269304,5.434824246237087,147.14016372864694,156.16127713265985,158.65142769137466
1690.0,AC3,50.44799983575219,3.8793452880461587,195.6960150102132,121.18829474516093,123.17026500607139
1690.0,AC4,50.00679269681589,4.326011771447725,178.93545476893684,162.99999999999994,165.5846750214427
1690.0,AC5,50.18026090859236,3.1664231563569056,214.6135685842343,128.0649704055076,130.1499681006073
1690.0,AC6,52.78619156194859,3.4652789727495774,340.305109640711,121.37118204055521,123.35591083732872
1690.0,AC7,50.5105930475012,4.832909982060281,185.38732195388206,128.04979438747895,130.13456630632626
1690.0,AC8,53.16333087747103,2.4200163137253057,324.62787971734474,162.99999999999994,165.5846750214427
1690.0,AC9,53.87552443996807,3.3149790497738842,350.6583986166836,162.99999999999994,165.5846750214427
1690.0,AC10,52.678027682562714,3.0994778703510897,329.33299845164504,140.41913295507044,142.6855042814784
1700.0,AC1,51.03806808148295,4.82695241832202,149.23514019651256,150.85746131199525,153.27316580508298
1700.0,AC2,50.416735256178846,5.446974961054832,147.14016372864694,156.16127713265985,158.65142769137466
1700.0,AC3,50.437335921583276,3.8746398519203518,195.6960150102132,121.18829474516093,123.17026500607139
1700.0,AC4,49.99190387948195,4.326442170753943,178.93545476893684,162.99999999999994,165.5846750214427
1700.0,AC5,50.170627945070464,3.156041780759499,214.6135685842343,128.0649704055076,130.1499681006073
1700.0,AC6,52.79663607615062,3.4590955522196927,340.30018455837484,121.37118204055521,123.35591083732872
1700.0,AC7,50.49894146094823,4.831182371568131,185.38732195388206,128.04979438747895,130.13456630632626
1700.0,AC8,53.17547345746802,2.405635633469725,324.62787971734474,162.99999999999994,165.5846750214427
1700.0,AC9,53.89021833974066,3.310878164292124,350.6583986166836,162.99999999999994,165.5846750214427
1700.0,AC10,52.68906455199219,3.088679865964756,329.3244084999142,140.41913295507044,142.6855042814784
1710.0,AC1,51.02622309974549,4.838162347372588,149.24387752621993,150.85746131199525,153.27316580508298
