time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/explained_variance,train/n_updates,train/clip_range,train/approx_kl,train/loss,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/std,train/value_loss,train/entropy_loss
1,43520,196,212.45,-0.765266807972577,13,0.8811749219894409,160,0.2,0.013029583,-0.01755494438111782,0.0003,-0.01506653898395598,0.10902726814771692,0.2022520899772644,0.012644888289893666,0.3596338301897049
1,46080,175,210.95,-0.7411513517945949,14,0.7773463129997253,170,0.2,0.013771157,-0.013201665133237839,0.0003,-0.015128074054276415,0.10518549444774787,0.20269903540611267,0.02967976511766513,0.3563151349623998
1,48640,133,212.12,-0.7678176638721379,19,0.777695894241333,180,0.2,0.010576072,-0.027544692158699036,0.0003,-0.01577477846876718,0.08164575300179422,0.2034580409526825,0.03330936019774526,0.3507342591881752
1,51200,153,217.54,-0.7315633840640349,16,0.7699489593505859,190,0.2,0.014064336,-0.002458857139572501,0.0003,-0.012486418676562607,0.09917968768626452,0.20219513773918152,0.009346961174160243,0.35190624177455904
1,53760,174,217.84,-0.7485779165793577,14,0.8559462428092957,200,0.2,0.015166992,-0.015148153528571129,0.0003,-0.017840045329649,0.1287403827998787,0.2019980102777481,0.009176831133663655,0.360476578772068
1,56320,180,220.93,-0.9135629204473115,14,0.8102415204048157,210,0.2,0.0117928805,-0.017640581354498863,0.0003,-0.015073062205919996,0.12577060386538505,0.2022428810596466,0.010285248421132565,0.3600915859142939
1,58880,119,221.96,-0.9218633693592259,21,0.8221415281295776,220,0.2,0.0105781555,-0.01632354035973549,0.0003,-0.014439794436718027,0.11255413683441778,0.20328733325004578,0.041081120756765205,0.35438148279984794
1,61440,165,225.03,-0.870062525997263,15,0.5516341924667358,230,0.2,0.0139673995,0.004746837075799704,0.0003,-0.013470598738640547,0.12852946430444717,0.2038041204214096,0.012831651251763105,0.34464356303215027
1,64000,180,224.66,-0.8452292355573647,14,0.8597114086151123,240,0.2,0.011769702,-0.015608823858201504,0.0003,-0.013970993942348287,0.09865028684337934,0.20464277267456055,0.020953512905786436,0.3400072981913885
1,66560,171,227.34,-0.8721883685930556,14,0.8641155362129211,250,0.2,0.010754531,-0.0010231323540210724,0.0003,-0.01686639667022973,0.1418254987336695,0.20616793632507324,0.0094636952271685,0.3268386162817478
1,69120,183,232.23,-0.9045919309725179,13,0.7463327646255493,260,0.2,0.010297112,-0.025377295911312103,0.0003,-0.0058278076304122805,0.13807537950575352,0.20691433548927307,0.043646562397480014,0.31621292054653166
1,71680,215,237.55,-1.0460359209254133,11,0.805862545967102,270,0.2,0.010613541,-0.017601145431399345,0.0003,-0.011488302488578484,0.13166833752766252,0.20734386146068573,0.03491826062090695,0.31088938340544703
1,74240,186,233.02,-0.8794490908487361,13,0.7372090816497803,280,0.2,0.0095432615,-0.0178669523447752,0.0003,-0.011428934207651764,0.09831725000403821,0.20711439847946167,0.019240328141798577,0.3098974327246348
1,76800,273,233.41,-0.9105564159306931,9,0.7612211108207703,290,0.2,0.013116383,-0.014347285963594913,0.0003,-0.017791828559711575,0.12080826126039028,0.20863059163093567,0.038543309271335605,0.30525572076439855
1,79360,236,233.62,-0.8670469570048485,10,0.8617310523986816,300,0.2,0.011353437,-0.0757441371679306,0.0003,-0.012082564365118741,0.1193359375,0.2087651938199997,0.010744551660415406,0.2946310877799988
1,81920,168,233.04,-0.8432162800154082,15,0.6661117672920227,310,0.2,0.016116418,-0.015567251481115818,0.0003,-0.015065627281243603,0.11588814569016298,0.2088468074798584,0.008224104112014175,0.2955981343984604
1,84480,164,231.04,-0.8815744796975649,15,0.8676470518112183,320,0.2,0.011578118,-0.018904374912381172,0.0003,-0.01366377409431152,0.10184188466519117,0.2086687535047531,0.016458026529289783,0.29554357603192327
