time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/loss,train/value_loss,train/std,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/n_updates
322,1,-85.7094524519654,176.51,112640,15,0.10886536687612533,3.125894105434418,54.754451751708984,193.01406326293946,0.0506582148373127,0.8104396462440491,0.2,-0.0071937190718017515,0.0003,0.0120763555,203
354,1,-93.19226699968853,177.54,117760,14,0.16768838107585907,3.128556489944458,127.5332260131836,275.19758361816406,0.05064695328474045,0.8020614385604858,0.2,-0.0026413339111604726,0.0003,0.013039167,213
329,1,-107.12157453147911,176.27,122880,15,0.1195571854710579,3.126947230100632,138.88914489746094,337.0427787780762,0.050826072692871094,0.7409091591835022,0.2,-0.005293310614069924,0.0003,0.010903318,223
293,1,-87.60783282057997,175.58,128000,17,0.11938210308551789,3.1207041501998902,157.5703582763672,283.90447158813475,0.050791941583156586,0.707665205001831,0.2,-0.00419417773373425,0.0003,0.011461398,233
322,1,-88.08665711655071,176.38,133120,15,0.102654973953031,3.1238121151924134,74.67987060546875,191.0873821258545,0.050749097019433975,0.8721344470977783,0.2,-0.007590164879729855,0.0003,0.011450145,243
274,1,-83.32241779223267,173.6,138240,18,0.12681456366553903,3.124286949634552,116.34830474853516,289.58044013977053,0.050773926079273224,0.8152057528495789,0.2,-0.0034004397617536596,0.0003,0.0099850325,253
288,1,-66.94122344182823,177.38,143360,17,0.0954760123975575,3.1217750668525697,102.50824737548828,225.57288627624513,0.05084209889173508,0.8676964640617371,0.2,-0.00708262620610185,0.0003,0.009156007,263
394,1,-53.813158299766144,178.11,148480,12,0.16970764445485892,3.1210433112250433,49.98747634887695,129.23341143572773,0.050805095583200455,0.8840535879135132,0.2,0.005873583291691763,0.0003,0.043316983,269
388,1,-57.57231641579807,177.89,153600,13,0.11504433113150299,3.1215873301029204,82.1849365234375,183.96568145751954,0.05086121708154678,0.8561043739318848,0.2,-0.00874972333549522,0.0003,0.016510114,279
370,1,-47.09674546112471,182.94,158720,13,0.07199777134228498,3.1184155881404876,140.35316467285156,304.04680252075195,0.05092795193195343,0.8341677188873291,0.2,-0.008419168464752148,0.0003,0.008497536,289
330,1,-51.56522841867646,187.12,163840,15,0.11096146665513515,3.1188375651836395,30.178607940673828,96.69826383590699,0.050809916108846664,0.919185996055603,0.2,-0.00802418714374653,0.0003,0.012470087,299
284,1,-70.0597132974738,189.36,168960,17,0.17448235638439655,3.1215544521808622,123.70110321044922,384.3780937194824,0.05085524916648865,0.7851031422615051,0.2,0.002374402340501547,0.0003,0.010890645,309
307,1,-99.5227074327786,194.14,174080,16,0.13720703125,3.1207499217987063,103.44017791748047,241.04867240905762,0.050764523446559906,0.8862648010253906,0.2,-0.0022356645436957478,0.0003,0.016688522,319
231,1,-96.06991518099902,197.39,179200,22,0.25595762332280475,3.124070922533671,265.8070983886719,596.658925374349,0.050734177231788635,0.7735137939453125,0.2,0.010430412211765846,0.0003,0.049981277,321
316,1,-96.95996046507663,198.91,184320,16,0.11197612173855305,3.1230958342552184,65.44037628173828,174.34973831176757,0.05090941861271858,0.8502610921859741,0.2,-0.0075698597735026855,0.0003,0.013079309,331
365,1,-109.77053697855392,199.21,189440,14,0.09076022589579225,3.113913506269455,88.49552917480469,284.08056983947756,0.05109768360853195,0.8311991095542908,0.2,-0.005631681432714686,0.0003,0.008202817,341
412,1,-98.32842833892913,199.13,194560,12,0.07651651788619347,3.107679808139801,94.15364074707031,275.9231636047363,0.051232464611530304,0.816885232925415,0.2,-0.004908320098911645,0.0003,0.0077658277,351
394,1,-115.37360073162681,202.82,199680,12,0.03195946905761957,3.103477048873901,267.4429931640625,724.5428359985351,0.051322244107723236,0.7376999258995056,0.2,-0.004652777883165982,0.0003,0.005173336,361
400,1,-105.3184412663908,202.24,204800,12,0.09289093459956348,3.1001550436019896,56.891082763671875,154.33167781829835,0.051380470395088196,0.9061951041221619,0.2,-0.007945260751876048,0.0003,0.013423196,371
