time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/std,train/explained_variance,train/clip_range
33280,1,214,199.58,-1.3892393399709606,11,3.112014871835709,0.02351105958223343,0.022551902336999774,0.0003,0.17412109393626451,-0.01342523686180357,0.020070307,93,0.05103409290313721,0.829749584197998,0.2
35840,1,167,204.45,-1.4820415052075235,15,3.1125715732574464,0.022826125845313072,0.019273887504823506,0.0003,0.19441949795000255,-0.013656819776952035,0.021994269,103,0.05105815827846527,0.8717237710952759,0.2
38400,1,128,205.58,-1.257831128753176,19,3.1073491275310516,0.04863421618938446,0.044885070575401184,0.0003,0.18614848535507916,-0.00844215858669486,0.015850019,113,0.05129828304052353,0.8367671370506287,0.2
40960,1,188,207.71,-1.1831338009071914,13,3.098653025627136,0.08337925374507904,0.021263648588210345,0.0003,0.2169140625,-0.001026907917112112,0.022767738,123,0.05148686468601227,0.8421676754951477,0.2
43520,1,249,198.33,-1.0470919763191642,10,3.0900039434432984,0.008739202283322811,0.015876777470111847,0.0003,0.19827558561228215,-0.014269578372477554,0.019644054,133,0.051719021052122116,0.8383244276046753,0.2
46080,1,217,195.32,-0.8370867898185242,11,3.0869563937187197,0.01961013674736023,0.01746204763185233,0.0003,0.20161132719367741,-0.010990356979891657,0.017821103,143,0.05166712403297424,0.8711013197898865,0.2
48640,1,291,207.53,-0.9089989265312827,8,3.089058542251587,0.02220987156033516,0.04122038530185819,0.0003,0.18083232920616865,-0.0143237344615045,0.012746417,153,0.051625169813632965,0.6225361824035645,0.2
51200,1,152,205.67,-0.8731036198884425,16,3.087868595123291,0.018337083980441093,0.028094656579196454,0.0003,0.17621252971390883,-0.009190249474098284,0.013881981,163,0.051759008318185806,0.6658150553703308,0.2
53760,1,290,200.09,-1.0096711873764004,8,3.0864903521030507,0.05304833501577377,0.03246386630579512,0.0003,0.2340951918604526,-0.008620264251379574,0.04561125,173,0.05162762105464935,0.7066750526428223,0.2
56320,1,187,202.12,-1.0276730272006576,13,3.090351736545563,0.040325041860342026,0.03264562322292477,0.0003,0.1874467826448381,-0.010176017970661633,0.017542377,183,0.05158316344022751,0.7508633732795715,0.2
58880,1,166,203.47,-0.9140183600076521,15,3.088329083041141,0.02334088459610939,0.0670368063606714,0.0003,0.199518069232765,-0.020306428557408874,0.044393416,193,0.05178648978471756,0.7733726501464844,0.2
61440,1,139,204.03,-0.9363302386655517,18,3.081586980819702,0.4209946393966675,0.11245466994587332,0.0003,0.2818359375,0.03065142584964633,0.025454735,195,0.05188985913991928,0.8118943572044373,0.2
64000,1,134,198.15,-0.7168983361809981,18,3.0767239212989805,0.03381732478737831,0.048461271170526746,0.0003,0.21316536329686642,-0.0060208531298485465,0.01707233,205,0.05199970304965973,0.8508761525154114,0.2
66560,1,124,204.18,-0.7708282443986384,20,3.074436155232516,0.04548373818397522,0.02847802359610796,0.0003,0.15819790282032706,-0.00628945619312369,0.049598217,210,0.05204298347234726,0.8568822741508484,0.2
69120,1,210,200.61,-0.8175054503363158,12,3.0731958031654356,0.014051669277250767,0.022757222945801913,0.0003,0.1811747092753649,-0.013359620035043918,0.01433647,220,0.05204923450946808,0.8788766264915466,0.2
71680,1,232,202.46,-0.8113607037698798,10,3.072856577237447,0.00317415501922369,0.026764198144276937,0.0003,0.19850732771058877,-0.02163472487591207,0.023385003,230,0.05207151547074318,0.8751805424690247,0.2
74240,1,209,202.01,-0.8265394681104552,12,3.0739127933979034,0.015092534944415092,0.020255538914352656,0.0003,0.23556351885199547,-0.010316737403627485,0.022493511,240,0.05201191082596779,0.7361545562744141,0.2
76800,1,226,189.17,-0.7089803046008832,11,3.071805679798126,0.02418520301580429,0.04054998839274049,0.0003,0.1738993212580681,-0.013955511199310423,0.013911222,250,0.052225448191165924,0.775919497013092,0.2
79360,1,242,190.09,-0.6459153660895032,10,3.06337428689003,0.021243780851364136,0.021060137613676488,0.0003,0.19507144959643483,-0.01321911116829142,0.02380891,260,0.05236352980136871,0.8259420394897461,0.2
81920,1,165,187.39,-0.4295028129912872,15,3.0588389158248903,0.017752107232809067,0.015043437504209578,0.0003,0.18416512999683618,-0.014077251430717298,0.016667686,270,0.05248231440782547,0.8247679471969604,0.2
84480,1,242,184.55,-0.42417540614277877,10,3.051835000514984,-0.001202868763357401,0.017613466642796994,0.0003,0.2066594049334526,-0.011677687842166051,0.018746885,280,0.05277309939265251,0.8175979852676392,0.2
87040,1,248,187.23,-0.5286852559111765,10,3.0400644659996034,0.019035600125789642,0.014185786922462284,0.0003,0.19460363909602166,-0.01077839756544563,0.01400681,290,0.05311111360788345,0.9181180000305176,0.2
89600,1,242,187.47,-0.5432909559402072,10,3.031072419881821,0.029633063822984695,0.04079835503362119,0.0003,0.2009183509275317,-0.006473536206613062,0.022853978,300,0.05319651588797569,0.8285836577415466,0.2
92160,1,283,182.75,-0.495871770304525,9,3.0314409136772156,0.01828143000602722,0.00970865662675351,0.0003,0.1957012925762683,-0.015641030442202462,0.015595773,310,0.05307517200708389,0.8902295827865601,0.2
94720,1,232,184.33,-0.4945576467007165,10,3.03519469499588,0.10489031672477722,0.015617272001691163,0.0003,0.2297363318502903,0.009075156995095313,0.028179083,312,0.053037211298942566,0.8254777789115906,0.2
97280,1,220,177.48,-0.4210788387638008,11,3.0342938566207884,0.006252570077776909,0.013220649864524602,0.0003,0.20851467162370682,-0.012036907318979502,0.018388653,322,0.053117457777261734,0.8751474022865295,0.2
99840,1,179,173.73,-0.4653776546833002,14,3.030345936616262,0.038662299513816833,0.022215376297632854,0.0003,0.20061384017268816,-0.006838337405093221,0.045626163,330,0.05329351872205734,0.9291863441467285,0.2
102400,1,212,175.23,-0.46717278417879754,12,3.021091914176941,0.029794208705425262,0.033642277121543884,0.0003,0.20441628005355597,-0.011675215481955093,0.02801392,338,0.05351781100034714,0.8670949935913086,0.2
104960,1,344,180.23,-0.4951594645095092,7,3.0164935767650602,0.02009037509560585,0.018287674267776312,0.0003,0.23496074080467225,-0.009694971225690097,0.026980573,348,0.053577885031700134,0.8365181088447571,0.2
107520,1,221,181.99,-0.524965687688476,11,3.0152056217193604,0.0595138818025589,0.0067806138657033445,0.0003,0.2163240134716034,-0.0022764256224036216,0.04302925,350,0.05359898507595062,0.9489913582801819,0.2
110080,1,215,183.5,-0.602027768407179,11,3.017533767223358,0.007789858616888523,0.013649848010390996,0.0003,0.21318480409681798,-0.013014711406867718,0.018276578,360,0.05337952822446823,0.8855400681495667,0.2
112640,1,180,179.56,-0.4428523586415634,14,3.023526182174683,-0.008432762697339058,0.023874538382515312,0.0003,0.23784722328186036,-0.013043783344328404,0.019930974,370,0.053427502512931824,0.5902770757675171,0.2
115200,1,270,185.33,-0.41008545177026656,9,3.02017336733201,0.047686293721199036,0.009520936592975083,0.0003,0.1984596857253243,-0.0008383033084957039,0.051578917,374,0.053475067019462585,0.7828590869903564,0.2
117760,1,187,182.16,-0.4298511878169997,13,3.016408928235372,0.01240024995058775,0.005606550762119393,0.0003,0.19274819167330862,-0.014639967570352989,0.01945971,384,0.05360722541809082,0.9376097917556763,0.2
120320,1,225,181.95,-0.3856434972729603,11,3.0136900320649147,0.04345749318599701,0.02177633752580732,0.0003,0.20016756979748607,-0.009246662910300074,0.051369675,391,0.053618256002664566,0.8344289660453796,0.2
122880,1,212,183.98,-0.5386701137098379,12,3.0119805932044983,0.00931055098772049,0.014110990753397345,0.0003,0.21750759482383727,-0.011306407325901092,0.012818646,401,0.0537336990237236,0.8705270290374756,0.2
125440,1,230,184.45,-0.3401626789668412,11,3.0071545314788817,0.010973010212182999,0.019852972608059644,0.0003,0.20048958346247672,-0.01330510575149674,0.015728455,411,0.053843989968299866,0.7227304577827454,0.2
128000,1,222,178.46,-0.46244906595055285,11,3.0021628618240355,0.018512867391109467,0.02117900182493031,0.0003,0.1848111806437373,-0.014976404697154066,0.0148935355,421,0.054053425788879395,0.8203492164611816,0.2
130560,1,195,179.37,-0.4364407685092524,13,2.9935717940330506,0.018012523651123047,0.02557381526567042,0.0003,0.20174005683511495,-0.01276180460190517,0.023179332,431,0.05425909534096718,0.8391714692115784,0.2
133120,1,604,179.6,-0.43766974603660946,4,2.9888270020484926,0.012725168839097023,0.01060812451178208,0.0003,0.23733571767807007,-0.009876453719334677,0.023713792,441,0.054333724081516266,0.7666282653808594,0.2
135680,1,227,180.2,-0.40661129834550175,11,2.9867320537567137,0.014579134061932564,0.0007948265760205686,0.0003,0.1424657514318824,-0.012579173496477835,0.026610218,451,0.05438491329550743,0.9678983092308044,0.2
138240,1,179,181.52,-0.44481563478643027,14,2.9831914246082305,0.022781694307923317,0.028644250403158367,0.0003,0.19528180062770845,-0.01623663755308371,0.019686947,461,0.05446868762373924,0.7939375638961792,0.2
140800,1,269,194.72,-0.562411282459152,9,2.9828086694081626,0.04555850848555565,0.023504621159561253,0.0003,0.23201196006050817,0.00229921438558786,0.044219043,467,0.05445455014705658,0.5894423723220825,0.2
143360,1,244,191.09,-0.6997416764809264,10,2.9851763168970744,0.021603791043162346,0.01220410163514316,0.0003,0.20405943853159744,-0.015089348822948523,0.022469431,477,0.054346323013305664,0.8643306493759155,0.2
