time,east_km,north_km,goal_distance_km,heading_deg,cas_mps,target_east_km,target_north_km,target_distance_km,clearance_km,residual_heading,residual_speed,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action,reference_speed_action,nominal_speed_adjustment
230.0,-25.57419096658311,32.87863737902317,103.7498910613292,154.92736862699132,162.99999999999994,14.61304215735445,-53.02890640910713,94.84260533044855,3.0,0.0,0.0,0.002611182862892747,1.0,False,False,False,False,False,False,False,12.17799145416631,0.0,0.002611182862892747,0.0,1.0,1.0,0.0
240.0,-24.86848262654334,31.379797544777915,102.10866802447713,154.92997980985422,162.99999999999994,14.613042157354485,-53.028906409107094,93.1859436955818,3.0,0.0,0.0,0.002537690925237257,1.0,False,False,False,False,False,False,False,12.00595421614195,0.0,0.002537690925237257,0.0,1.0,1.0,0.0
250.0,-24.16305586736499,29.880926657244203,100.46790659369337,154.93251750077945,162.99999999999994,14.613042157354478,-53.02890640910711,91.52937341156058,3.0,0.0,0.0,0.002461653475620551,1.0,False,False,False,False,False,False,False,11.837030146773882,0.0,0.002461653475620551,0.0,1.0,1.0,0.0
260.0,-23.45790848347806,28.382025649691933,98.82762937014307,154.93497915425507,162.99999999999994,14.613042157354474,-53.0289064091071,89.87289436409122,3.0,0.0,0.0,0.002382929560553748,1.0,False,False,False,False,False,False,False,11.671339505057004,0.0,0.002382929560553748,0.0,1.0,1.0,0.0
270.0,-22.75303820042159,26.88309548799964,97.18786046508201,154.93736208381563,162.99999999999994,14.613042157354467,-53.02890640910711,88.21650644016101,3.0,0.0,0.0,0.0023013677491690032,1.0,False,False,False,False,False,False,False,11.50900665051633,0.0,0.0023013677491690032,0.0,1.0,1.0,0.0
280.0,-22.0484426709381,25.384137172502033,95.54862562761352,154.9396634515648,162.99999999999994,14.61304215735445,-53.02890640910711,86.5602095280878,3.0,0.0,0.0,0.0022168041687109508,1.0,False,False,False,False,False,False,False,11.350159971937256,0.0,0.0022168041687109508,0.0,1.0,1.0,0.0
290.0,-21.344119470746588,23.885151739987588,93.90995238557132,154.9418802557335,162.99999999999994,14.613042157354418,-53.02890640910714,84.90400351757097,3.0,0.0,0.0,0.0021290628319547977,1.0,False,False,False,False,False,False,False,11.19493177659883,0.0,0.0021290628319547977,0.0,1.0,1.0,0.0
300.0,-20.64006609400336,22.386140265869813,92.27187020116524,154.94400931856546,162.99999999999994,14.613042157354485,-53.02890640910711,83.24788829976951,3.0,0.0,0.0,0.0020379536726977676,1.0,False,False,False,False,False,False,False,11.043458135192497,0.0,0.0020379536726977676,0.0,1.0,1.0,0.0
310.0,-19.936279948399868,20.88710386648485,90.63441064314443,154.94604727223816,162.99999999999994,14.613042157354467,-53.02890640910711,81.59186376734252,3.0,0.0,0.0,9.999999999999995,1.0,True,False,False,False,True,False,False,10.470898180674366,0.0,0.0019432705812505446,0.0,1.0,1.0,0.0
320.0,-19.431017704823766,19.31316767798704,89.0456603295023,164.94604727223816,162.99999999999994,14.613042157354464,-53.02890640910712,79.95232138670018,3.0,0.0,0.0,14.999999999999996,1.0,True,False,False,False,True,False,False,10.338800420147791,0.0,-10.147644951939583,0.0,1.0,1.0,0.0
330.0,-19.245466294872244,17.673746801550898,87.58505709285203,179.94604727223816,162.99999999999994,14.613042157354428,-53.028906409107144,78.39173276332191,3.0,0.0,0.0,9.999999999999995,1.0,True,False,False,False,True,False,False,11.150667667974727,0.0,-25.535152852535248,0.0,1.0,1.0,0.0
340.0,-19.45527024821346,16.03460698675902,86.35821588967752,189.94604727223816,162.99999999999994,14.613042157354442,-53.02890640910711,77.00921238880679,3.0,0.0,0.0,0.0,1.0,True,False,False,False,True,False,False,10.625266409752811,0.0,-36.20269238948822,0.0,1.0,1.0,0.0
350.0,-19.741949905736657,14.40474522719501,85.19847321311485,189.94604727223816,162.99999999999994,14.61304215735446,-53.02890640910712,75.68066366424918,3.0,0.0,0.0,0.0,1.0,True,False,False,False,True,False,False,10.61673516478886,0.0,-36.94323420524597,0.0,1.0,1.0,0.0
360.0,-20.028535207912206,12.774883467630998,84.05541881461455,189.94604727223816,162.99999999999994,14.613042157354464,-53.02890640910711,74.36516418657096,3.0,0.0,0.0,-5.000000000000002,1.0,True,False,False,False,True,False,True,9.678919070711807,22.808774121181603,-37.71004557609558,0.0,1.0,1.0,0.0
370.0,-20.187386650096364,11.12806396581588,82.83851639183325,184.94604727223816,162.99999999999994,14.613042157354457,-53.028906409107094,72.98757903144342,3.0,0.0,0.0,-5.000000000000002,1.0,True,False,False,False,True,False,True,8.840235135250454,36.42070756031239,-33.42261761426926,0.0,1.0,1.0,0.0
380.0,-20.201755504833255,9.473699542336938,81.54168038844892,179.94604727223816,162.99999999999994,14.613042157354474,-53.0289064091071,71.54471250190723,3.0,0.0,0.0,-5.000000000000002,1.0,True,False,False,False,True,False,True,8.122940981691444,45.32363270813541,-29.06444638967514,0.0,1.0,1.0,0.0
390.0,-20.07162868156069,7.824380909391491,80.17111998850588,174.94604727223816,162.99999999999994,14.613042157354457,-53.028906409107115,70.04390743434888,3.0,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,8.10234063786337,45.57382280648903,-24.62797611951828,0.0,1.0,1.0,0.0
400.0,-19.925654084924783,6.176083207195879,78.80213509540674,174.94604727223816,162.99999999999994,14.613042157354474,-53.02890640910711,68.54306918706646,3.0,0.0,0.0,-5.000000000000002,1.0,True,False,False,False,True,False,True,7.669355327985742,50.082473373380616,-25.20425409078598,0.0,1.0,1.0,0.0
410.0,-19.652207939882654,4.54436267547017,77.37455910985226,169.94604727223816,162.99999999999994,14.61304215735446,-53.028906409107115,66.99842294644965,3.0,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,7.6485600650855075,50.31090476588213,-20.70542111992836,0.0,1.0,1.0,0.0
420.0,-19.363120461111414,2.9150420667466155,75.94771292494484,169.94604727223816,162.99999999999994,14.613042157354464,-53.02890640910711,65.45307477380581,3.0,0.0,0.0,-5.000000000000002,1.0,True,False,False,False,True,False,True,7.484381571627405,43.83838909330932,-21.217406541109085,0.0,1.0,1.0,0.0
430.0,-18.948620697869238,1.313338014741533,74.46785318496772,164.94604727223816,162.99999999999994,14.613042157354464,-53.02890640910711,63.87068766366158,3.0,0.0,0.0,0.0,1.0,True,False,False,False,True,False,True,7.463625801301012,31.619796924652725,-16.64544314146042,0.0,1.0,1.0,0.0
