rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/clip_range,train/explained_variance,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/loss,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/std
-0.8669439556359257,79,76800,1,32,197.5,0.2,0.8610996603965759,0.0003,0.24151041641831397,0.01477465513162315,285,0.06176501512527466,-0.011091224362317006,0.020026466,2.5433157682418823,0.01027732715010643
-0.8260998279669407,175,79360,1,14,199.26,0.2,0.778343677520752,0.0003,0.192716814391315,0.024425159743987023,295,-5.0067901611328125e-05,-0.015647620148956775,0.013983501,2.5188759684562685,0.0102938711643219
-0.9437950753969314,217,81920,1,11,201.83,0.2,0.6966187357902527,0.0003,0.22751876562833787,0.03516381285153329,305,0.012349280528724194,-0.006174258823739365,0.02584804,2.527416241168976,0.010292088612914085
-0.8992002761381203,198,84480,1,12,198.73,0.2,0.7381911873817444,0.0003,0.17736211670562624,0.03978892085142434,315,0.009939178824424744,-0.016646609633062324,0.01569058,2.5224167585372923,0.010303731076419353
-0.6423427375501745,190,87040,1,13,198.22,0.2,0.8069970607757568,0.0003,0.18355583380907775,0.017289302591234446,325,0.002380521036684513,-0.016600785922491923,0.01922265,2.532876116037369,0.010300100781023502
-0.6287614089787724,177,89600,1,14,191.1,0.2,0.8450361490249634,0.0003,0.16131910365074872,0.02844354319386184,335,0.02677222341299057,-0.00929503030674823,0.013249775,2.534418749809265,0.01031983457505703
-0.7212485732145792,119,92160,1,21,191.4,0.2,0.8062121868133545,0.0003,0.22026156531646848,0.022959310002624987,345,0.007911432534456253,-0.02143248893553391,0.028912306,2.5265814304351806,0.010339190252125263
-0.6741734230351836,143,94720,1,17,180.62,0.2,0.9161785244941711,0.0003,0.1925582427531481,0.02780784640926868,355,0.01506250724196434,-0.013982665032381192,0.011361614,2.5163109481334685,0.010356826707720757
-0.6832519161154749,168,97280,1,15,182.06,0.2,0.8838234543800354,0.0003,0.17764385586435144,0.014644747458849892,362,0.03853662312030792,-0.011035819241607731,0.039504256,2.5461522449146616,0.010369459167122841
-0.7651790394728063,150,99840,1,17,185.52,0.2,0.8683719635009766,0.0003,0.16101314257830382,0.020852285856381058,372,0.016726523637771606,-0.012274921129574068,0.014798814,2.5326098918914797,0.010364994406700134
-0.7430359077811842,97,102400,1,26,186.54,0.2,0.7680197954177856,0.0003,0.20919200107455255,0.0256316572194919,382,0.008625542744994164,-0.006628229634952731,0.016222574,2.5280209362506865,0.010370331816375256
-0.6605689651563432,144,104960,1,17,186.93,0.2,0.8338083028793335,0.0003,0.19044196531176566,0.018027034774422645,392,0.002401228528469801,-0.01064031015150249,0.022218244,2.5270176982879637,0.010343354195356369
-0.6854871207980442,182,107520,1,14,186.87,0.2,0.9248189926147461,0.0003,0.2044204745441675,0.024808073439635335,402,0.003901328891515732,-0.006218919080947671,0.01206339,2.52343989610672,0.010379379615187645
-0.6468808890378038,156,110080,1,16,184.49,0.2,0.8808565139770508,0.0003,0.19373114198446273,0.022206682655960323,412,0.024946315214037895,-0.012989877919026185,0.017947054,2.5353814697265626,0.01037752814590931
-0.6208825640962563,189,112640,1,13,190.04,0.2,0.7997398376464844,0.0003,0.180096894800663,0.014200670160353184,422,-0.002134497743099928,-0.014811066526453942,0.015996974,2.515289273262024,0.010389866307377815
-0.617727849958751,158,115200,1,16,193.75,0.2,0.8035423755645752,0.0003,0.20036438144743443,0.004941983132933577,432,0.007719589397311211,-0.016305810762181256,0.022464627,2.5149261713027955,0.010401105508208275
-0.6672809900926064,181,117760,1,14,192.0,0.2,0.8896386027336121,0.0003,0.17250069081783295,0.03091060898732394,442,0.0015427954494953156,-0.016526379541028292,0.016982527,2.5045419454574587,0.010408403351902962
-0.7214235829744972,209,120320,1,12,194.73,0.2,0.8897881507873535,0.0003,0.2545420545525849,0.040881361626088616,452,-0.007924619130790234,-0.013736039814539254,0.034160536,2.4906904125213623,0.01041034609079361
-0.6787245803532487,207,122880,1,12,196.64,0.2,0.8610669374465942,0.0003,0.171194589138031,0.013275219360366464,462,0.0009659845381975174,-0.015250438050134107,0.016918514,2.4938044607639314,0.010407092049717903
-0.8403237143748613,213,125440,1,12,194.57,0.2,0.8691250085830688,0.0003,0.1710308901965618,0.04131556930951774,472,0.01490715891122818,-0.013727461290545761,0.014332445,2.496801656484604,0.010401897132396698
-0.8286134385836235,240,128000,1,10,192.34,0.2,0.728931725025177,0.0003,0.20935267958790063,0.020592877566814424,482,0.052699118852615356,-0.008148154504597186,0.027516529,2.506631488800049,0.010397356003522873
-0.9381918700233669,197,130560,1,12,190.81,0.2,0.865210235118866,0.0003,0.20552929639816284,0.040681891469284893,492,0.00751509889960289,-0.019365884410217405,0.022414485,2.515376591682434,0.010400515981018543
-0.8107318654236241,78,133120,1,32,188.87,0.2,0.8256282806396484,0.0003,0.20919364001601934,0.028066202253103256,502,0.015963416546583176,-0.020244342973455787,0.01939179,2.515842741727829,0.010400727391242981
-0.9230660784452472,187,135680,1,13,187.05,0.2,0.7470973134040833,0.0003,0.1940219907462597,0.031244190074503422,512,-0.0068822018802165985,-0.01234351254068315,0.028856564,2.494104208946228,0.010413718409836292
-0.8898590906336051,2,138240,1,1172,180.36,0.2,0.7973402142524719,0.0003,0.16962294559925795,0.018108855281025172,522,0.015230446122586727,-0.016466372800641692,0.020230744,2.5014651000499724,0.010378366336226463
-0.8333206023488516,133,140800,1,19,182.83,0.2,0.8195184469223022,0.0003,0.19950209110975264,0.007330470369197428,532,-0.004130246117711067,-0.015604327440814813,0.019848447,2.5066422700881956,0.010395269840955734
-1.3063519968833452,193,143360,1,13,189.68,0.2,0.7920069694519043,0.0003,0.15058500468730926,0.09366585843265057,542,0.0039717573672533035,-0.018708027473767288,0.016036894,2.4794636011123656,0.010403899475932121
