rollout,live_transitions,padded_transitions,counted_transitions,worlds_completed,aircraft_completed,optimizer_steps,policy_epochs,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,policy_loss,value_loss,approx_kl,clip_fraction,rollout_live_samples,rollout_return_variance_live,rollout_value_mse_live,rollout_value_explained_variance_live,rollout_action_box_clip_fraction_live
27,44956,24164,69120,20,207,953,265,418.5841894000041,107.40013870194105,-1.0693547235709742,-106.93547235709742,0.99,-0.0150069690469536,0.00645271260291338,0.025428563356399536,0.17975795529782773,950,0.03141699187902079,0.012067478903845737,0.6799229819220198,0.0
28,46412,25268,71680,21,210,983,275,434.08827230000315,106.9183457873383,-0.9674211326348108,-96.74211326348107,0.99,-0.016436046276551982,0.028007025830447674,0.01829884946346283,0.18817997612059117,1456,0.37453793905988014,0.06016158918480257,0.849679100275601,0.0
29,48487,25753,74240,22,223,1033,285,456.43778180000663,106.22915528330458,-0.9897746556268053,-98.97746556268055,1.0,-0.011091224362317006,0.01477465513162315,0.020026465877890587,0.24151041641831397,2075,0.1991836574353121,0.027916279721153858,0.8611295256073425,0.0
30,50380,26420,76800,23,237,1073,295,489.6768660000016,102.8841742341976,-0.8669439556359257,-86.6943955635926,1.0,-0.015647620148956775,0.024425159743987023,0.013983501121401787,0.192716814391315,1893,0.2002862142904827,0.04794073951015584,0.7708067846484644,0.0
31,52337,27023,79360,24,242,1113,305,504.905016100005,103.65712031197917,-0.8260998279669407,-82.6099827966941,1.0,-0.006174258823739365,0.03516381285153329,0.025848040357232094,0.22751876562833787,1957,0.22461932199014406,0.07892879158566832,0.6683247899260749,0.0
32,54309,27611,81920,25,256,1153,315,517.3909730000014,104.96704201292637,-0.9437950753969314,-94.37950753969315,1.0,-0.016646609633062324,0.03978892085142434,0.015690580010414124,0.17736211670562624,1972,0.3311473312970463,0.09556256781337438,0.7279228572038166,0.0
33,56203,28277,84480,26,265,1193,325,530.9213738000035,105.85936595043074,-0.8992002761381203,-89.92002761381204,1.0,-0.016600785922491923,0.017289302591234446,0.019222650676965714,0.18355583380907775,1894,0.18930972302929727,0.0393397934255091,0.7925193750518189,0.0
34,58080,28960,87040,27,275,1233,335,544.9127759000039,106.58586579122192,-0.6423427375501745,-64.23427375501745,1.0,-0.00929503030674823,0.02844354319386184,0.013249775394797325,0.16131910365074872,1877,0.3608961899168423,0.06124759878892112,0.8337715349381996,0.0
35,60103,29497,89600,29,290,1273,345,560.1297605,107.30192223021508,-0.6287614089787724,-62.87614089787724,1.0,-0.02143248893553391,0.022959310002624987,0.02891230583190918,0.22026156531646848,2023,0.19464843112169825,0.04363587262636922,0.7862059022413266,0.0
36,62140,30020,92160,30,300,1313,355,582.3874769000031,106.69872286877752,-0.7212485732145792,-72.12485732145792,1.0,-0.013982665032381192,0.02780784640926868,0.011361613869667053,0.1925582427531481,2037,0.5160748039055151,0.04457882917926086,0.9137214727907379,0.0
37,64324,30396,94720,31,310,1345,362,600.6325699000008,107.09375951875086,-0.6741734230351836,-67.41734230351835,1.0,-0.011035819241607731,0.014644747458849892,0.03950425609946251,0.17764385586435144,2184,0.20171855226745897,0.023546819792653707,0.8834762114460102,0.0
38,66277,31003,97280,32,320,1385,372,616.4596750000055,107.51230402864455,-0.6832519161154749,-68.32519161154748,1.0,-0.012274921129574068,0.020852285856381058,0.014798814430832863,0.16101314257830382,1953,0.277071632288766,0.04524389581639111,0.870678121948877,0.0
39,68273,31567,99840,33,330,1425,382,634.3631040000037,107.62448126239008,-0.7651790394728063,-76.51790394728062,1.0,-0.006628229634952731,0.0256316572194919,0.016222573816776276,0.20919200107455255,1996,0.17857253154484684,0.04443636142305286,0.7634441262906104,0.0
40,70391,32009,102400,34,340,1475,392,661.5050709000061,106.41037098057316,-0.7430359077811842,-74.30359077811839,1.0,-0.01064031015150249,0.018027034774422645,0.022218244150280952,0.19044196531176566,2118,0.1626158603858043,0.027216742166635676,0.8328860088495632,0.0
41,72326,32634,104960,35,350,1515,402,679.8722656000027,106.3817479540376,-0.6605689651563432,-66.05689651563432,1.0,-0.006218919080947671,0.024808073439635335,0.012063389644026756,0.2044204745441675,1935,0.5292730042761775,0.04682911481298461,0.9253295163805177,0.0
42,74606,32914,107520,36,362,1565,412,694.5653243000052,107.41394277808097,-0.6854871207980442,-68.54871207980442,1.0,-0.012989877919026185,0.022206682655960323,0.017947053536772728,0.19373114198446273,2280,0.3631287641068109,0.04568110212393996,0.8797699888127057,0.0
43,76808,33272,110080,37,372,1615,422,711.9256436000069,107.88767154334214,-0.6468808890378038,-64.6880889037804,1.0,-0.014811066526453942,0.014200670160353184,0.01599697396159172,0.180096894800663,2202,0.18666968744335663,0.04096796026871641,0.8001452135631411,0.0
44,78219,34421,112640,38,380,1645,432,725.8293223000001,107.76500424664643,-0.6208825640962563,-62.08825640962562,1.0,-0.016305810762181256,0.004941983132933577,0.022464627400040627,0.20036438144743443,1411,0.040412192998541305,0.010262619853287377,0.8042528578079887,0.0
45,79868,35332,115200,39,390,1685,442,743.0237516000052,107.4905073061455,-0.617727849958751,-61.77278499587509,1.0,-0.016526379541028292,0.03091060898732394,0.01698252744972706,0.17250069081783295,1649,0.42752957332942987,0.05228756363957771,0.8923346807012464,0.0
46,82010,35750,117760,40,400,1735,452,757.6771377000041,108.23871530418431,-0.6672809900926064,-66.72809900926065,1.0,-0.013736039814539254,0.040881361626088616,0.03416053578257561,0.2545420545525849,2142,0.5397023364715153,0.06182957307017351,0.8894676570281471,0.0
47,84037,36283,120320,41,410,1775,462,770.4459828000035,109.07578451455794,-0.7214235829744972,-72.14235829744972,1.0,-0.015250438050134107,0.013275219360366464,0.016918513923883438,0.171194589138031,2027,0.1433971071299289,0.02127869501455841,0.8642195917364763,0.0
48,85921,36959,122880,42,420,1815,472,783.3326376000041,109.68648039898747,-0.6787245803532487,-67.87245803532487,1.0,-0.013727461290545761,0.04131556930951774,0.014332445338368416,0.1710308901965618,1884,0.6088159107230581,0.09815255519121541,0.8718355743071758,0.0
49,88053,37387,125440,43,432,1865,482,795.9910494000069,110.62059060384108,-0.8403237143748613,-84.03237143748612,1.0,-0.008148154504597186,0.020592877566814424,0.027516528964042664,0.20935267958790063,2132,0.19499599189193928,0.05283751709095244,0.7290382795359889,0.0
50,89789,38211,128000,44,441,1905,492,807.1965073000028,111.23561510484707,-0.8286134385836235,-82.86134385836235,1.0,-0.019365884410217405,0.040681891469284893,0.02241448499262333,0.20552929639816284,1736,0.391087004174461,0.06302486077151163,0.8513064617103823,0.0
51,91367,39193,130560,45,450,1945,502,821.4649923000034,111.22445978395668,-0.9381918700233669,-93.81918700233666,1.0,-0.020244342973455787,0.028066202253103256,0.01939179003238678,0.20919364001601934,1578,0.22122250811998595,0.04139868899060652,0.8157031249767415,0.0
52,93523,39597,133120,46,460,1995,512,855.9967178000006,109.25626004777648,-0.8107318654236241,-81.07318654236238,1.0,-0.01234351254068315,0.031244190074503422,0.028856564313173294,0.1940219907462597,2156,0.31810587437178406,0.08823058144805958,0.749876906323429,0.0
53,95485,40195,135680,47,476,2035,522,870.131752500005,109.73625514257907,-0.9230660784452472,-92.30660784452469,1.0,-0.016466372800641692,0.018108855281025172,0.020230744034051895,0.16962294559925795,1962,0.14387032342978845,0.02926746722119608,0.7968355620113365,0.0
54,97234,41006,138240,49,490,2075,532,2043.1144554000057,47.59106849986204,-0.8898590906336051,-88.98590906336051,1.0,-0.015604327440814813,0.007330470369197428,0.019848447293043137,0.19950209110975264,1749,0.05693938688079363,0.011060296825437934,0.8068947502996406,0.0
55,99533,41267,140800,49,495,2125,542,2063.076643500004,48.244935695235505,-0.8333206023488516,-83.33206023488513,1.0,-0.018708027473767288,0.09366585843265057,0.01603689417243004,0.15058500468730926,2299,0.9258199451367964,0.34187727300973164,0.7941532072929893,0.0
56,101267,42093,143360,50,501,2165,552,2076.9232996000064,48.7581799575858,-1.3063519968833452,-130.63519968833455,1.0,-0.015108928160043434,0.03124571656808257,0.017041971907019615,0.18669014424085617,1734,0.4433349390143833,0.06375084056593208,0.85864028239638,0.0
