case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,0.2911035120487213,-2.845000433040159e-10,0.0,-0.0,-0.0,-0.0,-2.845000433040159e-10,0.0,0.0,0,
initial,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,0.6220676898956299,-0.0003074523227610034,0.0,-0.0,-0.0,-0.0,-0.0003074523227610034,0.0,0.0,0,
initial,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,-0.26267319917678833,-1.8881047777116397e-10,0.0,-0.0,-0.0,-0.0,-1.8881047777116397e-10,0.0,0.0,0,
initial,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,3,15,0,0.0,0.0,1.0419375896453857,-3.6186171919301277e-10,0.0,-0.0,-0.0,-0.0,-3.6186171919301277e-10,0.0,0.0,0,
initial,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,0.22714456915855408,-0.0002798902898138203,0.0,-0.0,-0.0,-0.0,-0.0002798902898138203,0.0,0.0,0,
initial,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,0.164430171251297,-2.5840210264781466e-10,0.0,-0.0,-0.0,-0.0,-2.5840210264781466e-10,0.0,0.0,0,
initial,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,0.7078442573547363,-0.0007865170275118744,0.0,-0.0,-0.0,-0.0,-0.0007865170275118744,0.0,0.0,0,
initial,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,0.6015635132789612,-0.0007835548034957779,0.0,-0.0,-0.0,-0.0,-0.0007835548034957779,0.0,0.0,0,
initial,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,-0.22124460339546204,-3.3505540606266997e-10,0.0,-0.0,-0.0,-0.0,-3.3505540606266997e-10,0.0,0.0,0,
initial,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,0.9236114025115967,-0.0004763920799049046,0.0,-0.0,-0.0,-0.0,-0.0004763920799049046,0.0,0.0,0,
initial,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,4,20,0,0.0,0.0,0.2976025938987732,-2.817325796647106e-10,0.0,-0.0,-0.0,-0.0,-2.817325796647106e-10,0.0,0.0,0,
