case,episode,agent,scenario_sha256,decision,start_seconds,terminal,heading_action,speed_action,critic_value,native_reward,reward_goal,reward_intrusion,reward_restricted,reward_outside,reward_drift,intrusion_seconds,intrusion_events,predicted_threats,earliest_predicted_entry_seconds
std020,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,100,500,0,-0.3069925010204315,-0.15197405219078064,-0.22250640392303467,-0.0005094355572901307,0.0,-0.0,-0.0,-0.0,-0.0005094355572901307,0.0,0.0,0,
std020,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,100,500,0,-0.2665214538574219,-0.07892312109470367,-0.50222247838974,-0.0004359035945739894,0.0,-0.0,-0.0,-0.0,-0.0004359035945739894,0.0,0.0,1,176.3140869140625
std020,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.3593108654022217,-0.2531283497810364,-0.2913975119590759,-0.0009560575259738907,0.0,-0.0,-0.0,-0.0,-0.0009560575259738907,0.0,0.0,0,
std020,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.36619117856025696,-0.24393996596336365,-0.1414036899805069,-0.0006006800107217152,0.0,-0.0,-0.0,-0.0,-0.0006006800107217152,0.0,0.0,0,
std020,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.1691875159740448,-0.1489492505788803,-0.39694228768348694,-0.00046523844942812225,0.0,-0.0,-0.0,-0.0,-0.00046523844942812225,0.0,0.0,0,
std020,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.577454149723053,-0.11953888833522797,-0.18271438777446747,-0.001061795476723545,0.0,-0.0,-0.0,-0.0,-0.001061795476723545,0.0,0.0,0,
std020,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.25463661551475525,-0.037798188626766205,-0.25669005513191223,-0.00041736467828703953,0.0,-0.0,-0.0,-0.0,-0.00041736467828703953,0.0,0.0,0,
std020,0,KL006,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.04913375899195671,-0.407647043466568,-0.3855701982975006,-6.892001526732919e-05,0.0,-0.0,-0.0,-0.0,-6.892001526732919e-05,0.0,0.0,0,
std020,0,KL007,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.0016956719337031245,-0.004401293583214283,-0.1415451616048813,-2.689397648249545e-06,0.0,-0.0,-0.0,-0.0,-2.689397648249545e-06,0.0,0.0,0,
std020,0,KL008,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.10114892572164536,-0.12663668394088745,-0.6482829451560974,-0.00038353849483352604,0.0,-0.0,-0.0,-0.0,-0.00038353849483352604,0.0,0.0,1,172.4045867919922
std020,0,KL009,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.29932084679603577,-0.1967562884092331,-0.2169547826051712,-0.0004968886946471775,0.0,-0.0,-0.0,-0.0,-0.0004968886946471775,0.0,0.0,0,
std020,0,KL0010,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,101,505,0,-0.29724183678627014,-0.05222966521978378,-0.4714987277984619,-0.0004861374832956009,0.0,-0.0,-0.0,-0.0,-0.0004861374832956009,0.0,0.0,1,172.4045867919922
std020,0,KL001,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.3643713891506195,-0.25740373134613037,-0.28345710039138794,-0.0009646520426830341,0.0,-0.0,-0.0,-0.0,-0.0009646520426830341,0.0,0.0,0,
std020,0,KL002,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.3686406910419464,-0.24555733799934387,-0.1384802609682083,-0.0006047013184822585,0.0,-0.0,-0.0,-0.0,-0.0006047013184822585,0.0,0.0,0,
std020,0,KL003,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.1764436662197113,-0.15635430812835693,-0.4050022065639496,-0.00046839731946910726,0.0,-0.0,-0.0,-0.0,-0.00046839731946910726,0.0,0.0,0,
std020,0,KL004,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.5721123814582825,-0.12013514339923859,-0.1809530109167099,-0.0010507821382544041,0.0,-0.0,-0.0,-0.0,-0.0010507821382544041,0.0,0.0,0,
std020,0,KL005,6684926c7289bd8432a31af5074bd32b85fff20f3961f66edf76fb6119b4b60b,102,510,0,-0.2606556713581085,-0.04402128607034683,-0.2517894208431244,-0.00042725252091768326,0.0,-0.0,-0.0,-0.0,-0.00042725252091768326,0.0,0.0,0,
