case,episode,agent,decision,critic_value,discounted_realized_return,future_intrusion_delay_seconds,advantage_lambda_0.95,advantage_lambda_0.99,advantage_lambda_1.0
initial,0,KL001,71,-0.09416049718856812,-0.48065363041711145,380,0.06572843541692534,-0.10355263294403524,-0.38649313322854306
initial,0,KL001,72,-0.11291658878326416,-0.48233292195404587,375,0.08883127705618661,-0.0863479556559641,-0.3694163331707814
initial,0,KL001,73,-0.13046371936798096,-0.4840180468676736,370,0.11189355187846362,-0.07019610620843263,-0.3535543274996923
initial,0,KL001,74,-0.14630621671676636,-0.48570902459435816,365,0.13439567484514592,-0.05560784465006722,-0.3394028078775915
initial,0,KL001,75,-0.1600550413131714,-0.48740587461112944,360,0.1559028711283079,-0.04299143378476851,-0.3273508332979578
initial,0,KL001,76,-0.17476551234722137,-0.4891086164349316,355,0.17958295510808822,-0.029280178080176338,-0.31434310408770993
initial,0,KL001,77,-0.17738282680511475,-0.49081726962183797,350,0.1918128597973096,-0.027649215700121632,-0.31343444281672295
initial,0,KL001,78,-0.06519630551338196,-0.492531853766233,345,0.08387581237535637,-0.14196868393680334,-0.42733554825285075
initial,0,KL001,79,-0.06474268436431885,-0.49425238849995917,340,0.08788717951657475,-0.14458887032865528,-0.42950970413564005
initial,0,KL001,80,0.04147994518280029,-0.4959788934914294,335,-0.019209598273576083,-0.2540805146047845,-0.5374588386742293
initial,0,KL001,81,0.041390836238861084,-0.49771138844470275,330,-0.02003911701448271,-0.257304050298949,-0.5391022246835635
initial,0,KL001,82,0.041371554136276245,-0.4994498930985249,325,-0.020989120892205053,-0.2606423419231056,-0.5408214472348009
initial,0,KL001,83,0.04141193628311157,-0.50119442722533,320,-0.022055439249361982,-0.26408644109761537,-0.5426063635084414
initial,0,KL001,84,0.041503071784973145,-0.5029450106302061,315,-0.023235021557385625,-0.2676285776564083,-0.5444480824151791
initial,0,KL001,85,0.041637271642684937,-0.504701663149822,310,-0.024525964513305642,-0.27126214118350384,-0.5463389347925067
initial,0,KL001,86,0.041808754205703735,-0.5064644046513157,305,-0.025928293673273477,-0.27498238488366944,-0.5482731588570192
initial,0,KL001,87,0.04201158881187439,-0.5082332550311448,300,-0.027441900459743818,-0.278784367119283,-0.550244843843019
initial,0,KL001,88,0.042241841554641724,-0.5100082342138981,295,-0.029068793857648063,-0.28266511672034994,-0.5522500757685396
initial,0,KL001,89,0.04288816452026367,-0.511789362151069,290,-0.031224358874700313,-0.28701818737688445,-0.5546775266713323
initial,0,KL001,90,0.043863534927368164,-0.5135766588197913,285,-0.03384523104950217,-0.291760645707253,-0.5574401937471591
initial,0,KL001,91,0.0447879433631897,-0.5153701442215379,280,-0.03655639117650181,-0.29651278895348515,-0.5601580875847273
initial,0,KL001,92,0.04565751552581787,-0.517169838380783,275,-0.03935903224805021,-0.3012710144693703,-0.5628273539066007
initial,0,KL001,93,0.04646790027618408,-0.5189757613436298,270,-0.042253926749689155,-0.3060312024770464,-0.5654436616198136
initial,0,KL001,94,0.047214895486831665,-0.5207879331764044,265,-0.04524206352258968,-0.31078934286981796,-0.5680028286632359
initial,0,KL001,95,0.04902264475822449,-0.5226063739642196,260,-0.049512234888330835,-0.31668112882192656,-0.571629018722444
initial,0,KL001,96,0.051925987005233765,-0.5244311038095092,255,-0.05516940305407742,-0.3237534582147654,-0.5763570908147428
initial,0,KL001,97,0.05481642484664917,-0.5262621428305368,250,-0.0611208012324169,-0.3308988601215489,-0.5810785676771859
initial,0,KL001,98,-0.02557489275932312,-0.5280995111598835,245,0.020268376248100822,-0.2540084243937041,-0.5025246184005602
initial,0,KL001,99,-0.020722001791000366,-0.5299432289429172,240,0.016214221957077127,-0.2624588798071427,-0.5092212271519165
initial,0,KL001,100,-0.016047805547714233,-0.53179331633625,235,0.012137831810729943,-0.27082683472006575,-0.5157455107885356
initial,0,KL001,101,-0.011555790901184082,-0.5336497935061889,230,0.008040967089996923,-0.279108271974743,-0.5220940026050046
initial,0,KL001,102,-0.007249414920806885,-0.535512680627186,225,0.003925444105472446,-0.2872991619995407,-0.5282632657063789
initial,0,KL001,103,-0.0031291544437408447,-0.5373819978802978,220,-0.0002099683074686656,-0.29539844276477173,-0.5342528434365568
initial,0,KL001,104,0.0008037090301513672,-0.5392577654516599,215,-0.004365725328537663,-0.30340422658518484,-0.5400614744818111
initial,0,KL001,105,0.004550307989120483,-0.5411400035309895,210,-0.008544853468886518,-0.3113170428666242,-0.5456903115201097
initial,0,KL001,106,0.10060611367225647,-0.543028732310125,205,-0.11011300728597029,-0.4125660491596012,-0.6436348459823813
initial,0,KL001,107,0.10011911392211914,-0.5449239719816175,200,-0.11542306579525978,-0.4173380591010746,-0.6450430859037365
initial,0,KL001,108,0.09972554445266724,-0.546825742737386,195,-0.12113221413885308,-0.4222711471448164,-0.6465512871900533
initial,0,KL001,109,0.09941956400871277,-0.5487340647674548,190,-0.12725643284534383,-0.42736127678021346,-0.6481536287761676
initial,0,KL001,110,0.09919404983520508,-0.5506489582587876,185,-0.1338112749813783,-0.43260308259223784,-0.6498430080939925
initial,0,KL001,111,0.09903478622436523,-0.5525704433942408,180,-0.1408057294836004,-0.4379839865149411,-0.6516052296186059
initial,0,KL001,112,0.2486206591129303,-0.554498540351655,175,-0.30582102983519954,-0.594696442326855,-0.8031191994645852
initial,0,KL001,113,0.25110235810279846,-0.5564332693031094,170,-0.32473162344046513,-0.6044268748279842,-0.8075356274059078
initial,0,KL001,114,0.25366613268852234,-0.5583746504143625,165,-0.3447843660712374,-0.6143640256113725,-0.8120407831028847
initial,0,KL001,115,-0.00015494227409362793,-0.5603227038445092,160,-0.09607809289159507,-0.36545292054439493,-0.5601677615704155
initial,0,KL001,116,-0.001216590404510498,-0.5622774497458811,155,-0.10036329464232452,-0.36935735700220335,-0.5610608593413705
initial,0,KL001,117,-0.005618058145046234,-0.5642389082642225,150,-0.10137801031596891,-0.36994511506811334,-0.5586208501191763
initial,0,KL001,118,-0.006230458617210388,-0.5662070995391753,145,-0.10645445267379122,-0.3743836672634963,-0.5599766409219649
initial,0,KL001,119,-0.0069040656089782715,-0.5681820437051062,140,-0.11175447900516039,-0.3788229600267957,-0.5612779780961278
initial,0,KL001,120,0.0006788484752178192,-0.5701637608923135,135,-0.12604640626032024,-0.39166496155901515,-0.5708426093675313
