time/fps,time/total_timesteps,time/time_elapsed,time/episodes,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss
10,16686,1624,120,0.017966916784644127,15685,-0.1506328135728836,3.1049232482910156,0.0003,-5.706084251403809
10,17291,1687,124,0.0168011337518692,16290,0.6910229921340942,3.8987011909484863,0.0003,-6.450528144836426
10,17637,1725,128,0.016816826537251472,16636,-0.7849783897399902,3.7816433906555176,0.0003,-5.798379898071289
10,17967,1770,132,0.016946516931056976,16966,1.316922664642334,5.353179931640625,0.0003,-4.891757965087891
10,18702,1867,136,0.018083559349179268,17701,-0.19797512888908386,3.3592467308044434,0.0003,-7.0975189208984375
10,19193,1917,140,0.01837068237364292,18192,-0.3535804748535156,8.041360855102539,0.0003,-3.310002326965332
9,19765,1986,144,0.02008901722729206,18764,-0.37929874658584595,5.009603500366211,0.0003,-3.835415840148926
9,20522,2071,148,0.020817255601286888,19521,-0.03610844910144806,6.460918426513672,0.0003,-3.6649250984191895
9,21044,2120,152,0.021892504766583443,20043,-0.6375675201416016,8.92430305480957,0.0003,-3.163384199142456
9,21460,2162,156,0.022836223244667053,20459,-0.19622883200645447,7.3148274421691895,0.0003,-1.1857274770736694
9,22058,2254,160,0.022761303931474686,21057,-0.6669992208480835,5.821935653686523,0.0003,-2.0974438190460205
9,22634,2331,164,0.022501565515995026,21633,0.21409541368484497,5.76169490814209,0.0003,-0.39785921573638916
9,23246,2402,168,0.023089677095413208,22245,0.9298123121261597,8.455854415893555,0.0003,2.366959810256958
9,23721,2462,172,0.02391176111996174,22720,0.9767929315567017,7.14997673034668,0.0003,-0.11355501413345337
9,24525,2557,176,0.024038005620241165,23524,0.2899855375289917,5.957273483276367,0.0003,1.629862904548645
9,25319,2637,180,0.024637607857584953,24318,0.6657975316047668,6.532442569732666,0.0003,1.2755913734436035
9,26020,2708,184,0.02487545646727085,25019,0.9535235166549683,6.795729637145996,0.0003,3.703749179840088
9,26680,2797,188,0.024943051859736443,25679,-0.2629823088645935,7.454246520996094,0.0003,2.208101749420166
9,27160,2864,192,0.02528553269803524,26159,0.5436927676200867,7.855229377746582,0.0003,3.0303778648376465
9,28034,2995,196,0.025402242317795753,27033,-0.0042031556367874146,4.648105144500732,0.0003,5.780311584472656
9,28402,3056,200,0.025740621611475945,27401,0.38469284772872925,8.798140525817871,0.0003,5.565385341644287
9,28934,3127,204,0.0253023449331522,27933,0.8371906876564026,6.955212116241455,0.0003,4.814413070678711
9,29531,3217,208,0.02380337379872799,28530,-0.6071117520332336,6.71878719329834,0.0003,6.171877384185791
9,30156,3322,212,0.022337820380926132,29155,-1.4246926307678223,7.789811611175537,0.0003,6.598801612854004
9,30673,3386,216,0.021274441853165627,29672,-0.06916410475969315,8.31833267211914,0.0003,9.7062406539917
9,31080,3449,220,0.02103284001350403,30079,-0.29108119010925293,5.72972297668457,0.0003,7.043451309204102
8,31428,3501,224,0.02052730694413185,30427,-0.06849482655525208,8.2098388671875,0.0003,8.238116264343262
8,31856,3562,228,0.02067083679139614,30855,0.5035337209701538,6.92047643661499,0.0003,10.819324493408203
