completion_index,native_return,learning_return,shaping_return
103,-562.6154488198828,-562.6154488198828,0.0
104,-740.1785062074853,-740.1785062074853,0.0
105,-380.17196896186226,-380.17196896186226,0.0
106,-645.7805779130508,-645.7805779130508,0.0
107,-742.8123564364546,-742.8123564364546,0.0
108,-787.6119829036332,-787.6119829036332,0.0
109,-221.8607667113493,-221.8607667113493,0.0
110,-341.1750898424021,-341.1750898424021,0.0
111,-246.59196595297945,-246.59196595297945,0.0
112,-621.9632461246132,-621.9632461246132,0.0
113,-191.46544178582073,-191.46544178582073,0.0
114,-224.18269369001789,-224.18269369001789,0.0
115,-286.991665026066,-286.991665026066,0.0
116,-522.0588800179714,-522.0588800179714,0.0
117,-545.5640270546535,-545.5640270546535,0.0
118,-286.856141411033,-286.856141411033,0.0
119,-316.9756203766468,-316.9756203766468,0.0
120,-67.55363019743112,-67.55363019743112,0.0
121,-309.6980941692347,-309.6980941692347,0.0
122,-465.7502878853155,-465.7502878853155,0.0
123,-264.84241835597817,-264.84241835597817,0.0
124,-554.7557476376815,-554.7557476376815,0.0
125,-212.61319937752316,-212.61319937752316,0.0
126,-465.05044051558167,-465.05044051558167,0.0
127,-541.3878074972221,-541.3878074972221,0.0
128,-177.52544738495817,-177.52544738495817,0.0
129,-552.745465874576,-552.745465874576,0.0
130,-0.962395267299048,-0.962395267299048,0.0
131,-524.7815424903566,-524.7815424903566,0.0
132,-496.578244063465,-496.578244063465,0.0
133,-630.4808780598918,-630.4808780598918,0.0
134,-428.5319022811162,-428.5319022811162,0.0
135,-193.29167673459716,-193.29167673459716,0.0
136,-390.2862833079839,-390.2862833079839,0.0
137,-776.0742857633102,-776.0742857633102,0.0
138,-756.7676862935554,-756.7676862935554,0.0
139,-221.90005037552174,-221.90005037552174,0.0
140,-927.7760613571263,-927.7760613571263,0.0
141,-12.003089550309337,-12.003089550309337,0.0
142,-489.0434170338833,-489.0434170338833,0.0
143,-76.14619727243067,-76.14619727243067,0.0
144,-239.19609862296542,-239.19609862296542,0.0
145,-473.0278980883835,-473.0278980883835,0.0
146,-130.92694322203027,-130.92694322203027,0.0
147,-123.88277824200891,-123.88277824200891,0.0
148,-321.47223791261297,-321.47223791261297,0.0
149,-187.24981625594944,-187.24981625594944,0.0
150,-340.4791466961742,-340.4791466961742,0.0
151,-672.7418459532742,-672.7418459532742,0.0
152,-595.1229532352867,-595.1229532352867,0.0
153,-255.74248550981682,-255.74248550981682,0.0
154,-354.9912028335416,-354.9912028335416,0.0
155,-349.95232732295295,-349.95232732295295,0.0
156,-282.30926041432446,-282.30926041432446,0.0
157,-170.5702864821777,-170.5702864821777,0.0
158,-805.7962643067006,-805.7962643067006,0.0
159,-540.7123493655337,-540.7123493655337,0.0
