collection,live_transitions,padded_transitions,counted_transitions,replay_size,world_decisions,worlds_completed,aircraft_completed,optimizer_steps,actor_optimizer_steps,entropy_optimizer_steps,gradient_rounds,wall_seconds,live_transitions_per_second,training_return_last100,native_return_last100,training_arrival_last100,actor_loss,critic_loss,entropy_coefficient
51,42079,23201,65280,42079,6528,14,140,6028,6028,6028,6028,454.3977348999979,92.60389471188844,-1.1151933295527916,-111.51933295527915,0.85,0.20806649327278137,0.0011618961580097675,0.0017335655866190791
52,43348,23212,66560,43348,6656,14,141,6156,6156,6156,6156,462.53014399999665,93.7192971362323,-1.1032818335075203,-110.328183350752,0.85,0.275149941444397,0.0017834289465099573,0.0016703566070646048
53,44170,23670,67840,44170,6784,14,146,6284,6284,6284,6284,468.88016790000256,94.2031739107807,-1.1056731480338955,-110.56731480338955,0.85,0.22788389027118683,0.0021873086225241423,0.0016106998082250357
54,44595,24525,69120,44595,6912,14,148,6412,6412,6412,6412,474.6328186000028,93.95684042991236,-1.1058121131112264,-110.58121131112263,0.85,0.2519904375076294,0.0015350175090134144,0.0015546111389994621
55,44851,25549,70400,44851,7040,14,148,6540,6540,6540,6540,479.0788986999978,93.61923499804564,-1.1058121131112264,-110.58121131112263,0.85,0.2910686731338501,0.0018624216318130493,0.0014989380724728107
56,45875,25805,71680,45875,7168,15,150,6668,6668,6668,6668,487.3856847999996,94.12463564420233,-1.1349392458660956,-113.49392458660955,0.83,0.27313899993896484,0.0015389856416732073,0.0014446587301790714
57,47075,25885,72960,47075,7296,15,153,6796,6796,6796,6796,495.161108399996,95.0700675020954,-1.1332589756134568,-113.32589756134568,0.83,0.22568875551223755,0.0018665546085685492,0.0013918589102104306
58,47689,26551,74240,47689,7424,15,159,6924,6924,6924,6924,500.64594779999607,95.2549405614112,-1.1736170531294874,-117.36170531294874,0.83,0.24372166395187378,0.0014455534983426332,0.001342842006124556
59,48222,27298,75520,48222,7552,16,160,7052,7052,7052,7052,506.3955606000018,95.2259532900807,-1.1388464058713377,-113.8846405871338,0.83,0.25646770000457764,0.002325257286429405,0.0012936332495883107
60,49502,27298,76800,49502,7680,16,160,7180,7180,7180,7180,514.9090767000016,96.13736141000493,-1.1388464058713377,-113.8846405871338,0.83,0.2726972997188568,0.001815282623283565,0.001249285414814949
61,50477,27603,78080,50477,7808,16,167,7308,7308,7308,7308,521.9620340999973,96.70626731891699,-1.1322812560713502,-113.22812560713498,0.83,0.24618898332118988,0.0012111228425055742,0.0012049505021423101
62,50989,28371,79360,50989,7936,17,170,7436,7436,7436,7436,528.4285524000006,96.49175800289315,-1.0652860179413317,-106.52860179413318,0.86,0.2966841161251068,0.00236125523224473,0.0011614990653470159
63,52269,28371,80640,52269,8064,17,170,7564,7564,7564,7564,538.4143222999992,97.07951262647917,-1.0652860179413317,-106.52860179413318,0.86,0.26017358899116516,0.0014797147596254945,0.0011203596368432045
64,53334,28586,81920,53334,8192,17,175,7692,7692,7692,7692,550.511338999997,96.88083827098119,-0.8662715725058395,-86.62715725058392,0.89,0.226800799369812,0.001811630092561245,0.001081398455426097
65,53761,29439,83200,53761,8320,17,178,7820,7820,7820,7820,558.6374352999992,96.23594231763093,-0.8019466151617504,-80.194661516175,0.92,0.2736481726169586,0.0020872829481959343,0.0010425262153148651
66,53904,30576,84480,53904,8448,17,179,7948,7948,7948,7948,565.2895693000028,95.35643841217386,-0.6444851736090044,-64.44851736090042,0.93,0.2388828694820404,0.0013543334789574146,0.00100747833494097
67,54707,31053,85760,54707,8576,18,180,8076,8076,8076,8076,576.9848242000007,94.81531871458176,-0.627291052397521,-62.7291052397521,0.93,0.2624075412750244,0.0028174822218716145,0.0009733482147566974
68,55974,31066,87040,55974,8704,18,181,8204,8204,8204,8204,591.6504255999971,94.60654058219657,-0.6330626960853414,-63.30626960853414,0.93,0.22029992938041687,0.0016953630838543177,0.0009390103514306247
69,57014,31306,88320,57014,8832,18,185,8332,8332,8332,8332,603.3487888000018,94.49592185872278,-0.570968063221171,-57.0968063221171,0.93,0.20835915207862854,0.0015236875042319298,0.0009056783164851367
70,57348,32252,89600,57348,8960,18,189,8460,8460,8460,8460,610.8993418000027,93.87471237245937,-0.5711782621892734,-57.11782621892734,0.93,0.2977769374847412,0.0017152917571365833,0.0008758805342949927
71,58277,32603,90880,58277,9088,19,190,8588,8588,8588,8588,624.6029123999979,93.30247881181701,-0.5690906006698994,-56.909060066989944,0.93,0.22015869617462158,0.0017860248917713761,0.0008453624323010445
72,59465,32695,92160,59465,9216,19,192,8716,8716,8716,8716,637.6250078000012,93.26014392875243,-0.5888600525146651,-58.88600525146652,0.93,0.28608256578445435,0.0027367330621927977,0.0008171297959052026
73,59893,33547,93440,59893,9344,19,198,8844,8844,8844,8844,644.9012901000024,92.87157727768326,-0.6315091319738076,-63.15091319738075,0.93,0.25998926162719727,0.001799608813598752,0.0007922073127701879
74,60065,34655,94720,60065,9472,19,199,8972,8972,8972,8972,651.1347382000022,92.2466526145476,-0.659024502177736,-65.9024502177736,0.93,0.2596672773361206,0.002125063445419073,0.0007651782943867147
75,60409,35591,96000,60409,9600,20,200,9100,9100,9100,9100,658.9042218000031,91.68100309780063,-0.6865520026562346,-68.65520026562345,0.93,0.3024882972240448,0.002723574172705412,0.0007390676182694733
76,61689,35591,97280,61689,9728,20,200,9228,9228,9228,9228,673.2514824000027,91.62846516147494,-0.6865520026562346,-68.65520026562345,0.93,0.24632665514945984,0.0025922097265720367,0.0007159966044127941
77,62713,35847,98560,62713,9856,20,208,9356,9356,9356,9356,686.4818402000019,91.3542009818191,-0.6115521606187451,-61.155216061874505,0.93,0.28179875016212463,0.003420834429562092,0.0006932678516022861
78,62969,36871,99840,62969,9984,20,208,9484,9484,9484,9484,694.2813485000006,90.69666085088551,-0.6115521606187451,-61.155216061874505,0.93,0.26037999987602234,0.0027710823342204094,0.0006693917093798518
79,63225,37895,101120,63225,10112,20,208,9612,9612,9612,9612,700.4444424999965,90.26411827087958,-0.6115521606187451,-61.155216061874505,0.93,0.25402170419692993,0.001569898333400488,0.0006490407977253199
80,63993,38407,102400,63993,10240,21,210,9740,9740,9740,9740,709.5666120000024,90.18603597994516,-0.5476349162298637,-54.763491622986365,0.91,0.25375795364379883,0.0026930542662739754,0.0006308562587946653
81,65273,38407,103680,65273,10368,21,210,9868,9868,9868,9868,721.128349599996,90.51509351449904,-0.5476349162298637,-54.763491622986365,0.91,0.28203827142715454,0.00543640274554491,0.0006110341637395322
82,66550,38410,104960,66550,10496,21,212,9996,9996,9996,9996,733.2308275000032,90.76268687025397,-0.70134069466412,-70.134069466412,0.91,0.25421857833862305,0.002892733784392476,0.0005924520664848387
83,67318,38922,106240,67318,10624,21,215,10124,10124,10124,10124,742.1413716000025,90.70778503409306,-0.7086552942579536,-70.86552942579534,0.91,0.21472153067588806,0.0015734058106318116,0.0005746932001784444
84,67544,39976,107520,67544,10752,21,219,10252,10252,10252,10252,748.7026805999994,90.21471640233906,-0.6868901414521386,-68.68901414521385,0.91,0.22644583880901337,0.0015808906173333526,0.0005597256240434945
85,68608,40192,108800,68608,10880,22,220,10380,10380,10380,10380,760.6497421000022,90.19657301215537,-0.6838193811130994,-68.38193811130992,0.91,0.24893206357955933,0.0022449197713285685,0.0005448643933050334
86,69853,40227,110080,69853,11008,22,221,10508,10508,10508,10508,774.6228026999961,90.1767928293913,-0.6838254523958315,-68.38254523958317,0.91,0.2732454538345337,0.0015264945104718208,0.0005298306932672858
87,70594,40766,111360,70594,11136,22,227,10636,10636,10636,10636,787.431822999999,89.65093604046542,-0.6911783251599622,-69.11783251599623,0.91,0.3266568183898926,0.0027450970374047756,0.0005158251733519137
88,70833,41807,112640,70833,11264,22,229,10764,10764,10764,10764,795.127748699997,89.08379831518798,-0.6919509482640307,-69.19509482640305,0.91,0.2024066150188446,0.002185747493058443,0.0005006187711842358
89,71105,42815,113920,71105,11392,23,230,10892,10892,10892,10892,807.5444078,88.05088526798414,-0.6978428185582756,-69.78428185582754,0.91,0.2744808793067932,0.003628613194450736,0.0004870097618550062
90,72385,42815,115200,72385,11520,23,230,11020,11020,11020,11020,823.1918571999995,87.9321137191638,-0.6978428185582756,-69.78428185582754,0.91,0.2994353771209717,0.007571420632302761,0.00047337915748357773
91,73659,42821,116480,73659,11648,23,231,11148,11148,11148,11148,840.6565226000021,87.62080352649348,-0.6829910369320851,-68.2991036932085,0.91,0.3138080835342407,0.004743088968098164,0.00046290617319755256
92,74587,43173,117760,74587,11776,23,233,11276,11276,11276,11276,853.5365930999978,87.38582575482104,-0.695387345719076,-69.53873457190758,0.91,0.2948835492134094,0.00295771611854434,0.00045411751489154994
93,75216,43824,119040,75216,11904,23,236,11404,11404,11404,11404,863.8404308000027,87.07163651780279,-0.5173581263287689,-51.73581263287687,0.91,0.2400793731212616,0.0020301127806305885,0.0004424737999215722
94,76064,44256,120320,76064,12032,24,240,11532,11532,11532,11532,875.2275622000016,86.90768353867074,-0.4956795093172142,-49.56795093172141,0.89,0.2804034948348999,0.0016058089677244425,0.0004323865578044206
95,77344,44256,121600,77344,12160,24,240,11660,11660,11660,11660,889.8268476000012,86.92028141048854,-0.4956795093172142,-49.56795093172141,0.89,0.24275164306163788,0.0014912065817043185,0.00042105180909857154
96,78185,44695,122880,78185,12288,24,245,11788,11788,11788,11788,902.6093862999987,86.62108015572285,-0.48736023471404694,-48.7360234714047,0.89,0.2557944655418396,0.00182118802331388,0.0004089510184712708
97,78650,45510,124160,78650,12416,25,250,11916,11916,11916,11916,911.7067225999999,86.26677642093763,-0.507394066015644,-50.73940660156439,0.91,0.256305068731308,0.003243847284466028,0.0003989962278865278
98,79930,45510,125440,79930,12544,25,250,12044,12044,12044,12044,926.1443271000026,86.3040431832925,-0.507394066015644,-50.73940660156439,0.91,0.24644190073013306,0.002727073384448886,0.00038961079553700984
99,80987,45733,126720,80987,12672,25,255,12172,12172,12172,12172,939.1581267000001,86.23361465717271,-0.4143487410357761,-41.43487410357761,0.91,0.2776995599269867,0.002654628362506628,0.0003835298412013799
100,81290,46710,128000,81290,12800,25,258,12300,12300,12300,12300,946.861779400002,85.85202377849811,-0.37917929969879777,-37.91792996987977,0.91,0.34889519214630127,0.0030010549817234278,0.000374748109607026
101,81534,47746,129280,81534,12928,25,259,12428,12428,12428,12428,954.9111290000001,85.38386193632894,-0.3708780856574487,-37.08780856574487,0.91,0.28349071741104126,0.004204319790005684,0.000364040897693485
102,82229,48331,130560,82229,13056,26,260,12556,12556,12556,12556,965.4778959000032,85.1692207032326,-0.3746339467862901,-37.463394678629015,0.9,0.21692542731761932,0.0020177611149847507,0.0003557379823178053
103,83509,48331,131840,83509,13184,26,260,12684,12684,12684,12684,980.6075965999989,85.16046611258741,-0.3746339467862901,-37.463394678629015,0.9,0.3198668360710144,0.004959136713296175,0.0003489410737529397
104,84789,48331,133120,84789,13312,26,260,12812,12812,12812,12812,995.8235464000027,85.14460248155443,-0.3746339467862901,-37.463394678629015,0.9,0.2521608769893646,0.002936903154477477,0.0003425383474677801
105,85645,48755,134400,85645,13440,26,264,12940,12940,12940,12940,1007.618277900001,84.99746568561122,-0.3565403096576237,-35.65403096576236,0.9,0.2664317190647125,0.0027390073519200087,0.0003371324564795941
