time/total_timesteps,time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/held_actor_updates,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_updates,train/actor_loss
1820,221,150.0,132,2,0.16130103211599167,,,,,,,,
1830,222,156.6,136,2,-0.015547474536135919,,,,,,,,
1840,223,156.6,140,2,-0.015547474536135919,,,,,,,,
1850,224,156.6,144,2,-0.015547474536135919,,,,,,,,
1860,225,156.6,148,2,-0.015547474536135919,,,,,,,,
1860,225,156.6,152,2,-0.015547474536135919,,,,,,,,
1870,226,156.6,156,2,-0.015547474536135919,,,,,,,,
1880,228,161.83333333333334,160,2,0.049274780965944474,,,,,,,,
1890,229,161.83333333333334,164,2,0.049274780965944474,,,,,,,,
1890,229,161.83333333333334,168,2,0.049274780965944474,,,,,,,,
1900,231,161.83333333333334,172,2,0.049274780965944474,,,,,,,,
1910,232,161.83333333333334,176,2,0.049274780965944474,,,,,,,,
1910,232,161.83333333333334,180,2,0.049274780965944474,,,,,,,,
1920,234,161.83333333333334,184,2,0.049274780965944474,,,,,,,,
1930,235,161.83333333333334,188,2,0.049274780965944474,,,,,,,,
1930,235,161.83333333333334,192,2,0.049274780965944474,,,,,,,,
1940,236,161.83333333333334,196,2,0.049274780965944474,,,,,,,,
1950,238,161.83333333333334,200,2,0.049274780965944474,,,,,,,,
1950,238,161.83333333333334,204,2,0.049274780965944474,,,,,,,,
1960,239,166.71428571428572,208,2,0.011887854371675515,,,,,,,,
1960,239,166.71428571428572,212,2,0.011887854371675515,,,,,,,,
1970,241,166.71428571428572,216,2,0.011887854371675515,,,,,,,,
1980,243,166.71428571428572,220,2,0.011887854371675515,,,,,,,,
1980,243,166.71428571428572,224,2,0.011887854371675515,,,,,,,,
1990,245,166.71428571428572,228,2,0.011887854371675515,,,,,,,,
1990,245,166.71428571428572,232,2,0.011887854371675515,,,,,,,,
2000,246,166.71428571428572,236,2,0.011887854371675515,,,,,,,,
2000,246,166.71428571428572,240,2,0.011887854371675515,,,,,,,,
2010,248,166.71428571428572,244,2,0.011887854371675515,,,,,,,,
2020,250,166.71428571428572,248,2,0.011887854371675515,,,,,,,,
2020,250,166.71428571428572,252,2,0.011887854371675515,,,,,,,,
2030,251,166.71428571428572,256,2,0.011887854371675515,,,,,,,,
2030,251,166.71428571428572,260,2,0.011887854371675515,,,,,,,,
2040,253,166.71428571428572,264,3,0.011887854371675515,,,,,,,,
2040,253,166.71428571428572,268,3,0.011887854371675515,,,,,,,,
2050,253,166.71428571428572,272,3,0.011887854371675515,,,,,,,,
2060,254,166.71428571428572,276,3,0.011887854371675515,,,,,,,,
2060,254,166.71428571428572,280,3,0.011887854371675515,,,,,,,,
2070,256,166.71428571428572,284,3,0.011887854371675515,,,,,,,,
2070,256,166.71428571428572,288,3,0.011887854371675515,,,,,,,,
2080,258,166.71428571428572,292,3,0.011887854371675515,,,,,,,,
2080,258,166.71428571428572,296,3,0.011887854371675515,,,,,,,,
2090,259,166.71428571428572,300,3,0.011887854371675515,,,,,,,,
2100,260,166.71428571428572,304,3,0.011887854371675515,,,,,,,,
2100,260,166.71428571428572,308,3,0.011887854371675515,,,,,,,,
2110,262,172.25,312,3,0.05705884827618907,,,,,,,,
2110,262,172.25,316,3,0.05705884827618907,,,,,,,,
2120,264,172.25,320,3,0.05705884827618907,,,,,,,,
2120,264,172.25,324,3,0.05705884827618907,,,,,,,,
2130,265,172.25,328,3,0.05705884827618907,,,,,,,,
2130,265,172.25,332,3,0.05705884827618907,,,,,,,,
2140,267,172.25,336,3,0.05705884827618907,,,,,,,,
2140,267,172.25,340,3,0.05705884827618907,,,,,,,,
2150,269,172.25,344,3,0.05705884827618907,,,,,,,,
2150,269,172.25,348,3,0.05705884827618907,,,,,,,,
2160,271,172.25,352,3,0.05705884827618907,,,,,,,,
2160,271,172.25,356,3,0.05705884827618907,,,,,,,,
2170,272,172.25,360,3,0.05705884827618907,,,,,,,,
2170,272,172.25,364,3,0.05705884827618907,,,,,,,,
2180,274,172.25,368,3,0.05705884827618907,,,,,,,,
2180,274,172.25,372,3,0.05705884827618907,,,,,,,,
2190,276,172.25,376,3,0.05705884827618907,,,,,,,,
2190,276,172.25,380,3,0.05705884827618907,,,,,,,,
2200,278,172.25,384,3,0.05705884827618907,,,,,,,,
2200,278,172.25,388,3,0.05705884827618907,,,,,,,,
