time,agent,lat,lon,heading_deg,cas_mps,tas_mps
60.0,AC8,52.92956531820214,3.6894083596338363,113.23866325131648,161.6366891772109,164.20265408224935
60.0,AC9,52.54592258905291,3.1379535545676167,198.44414085949103,132.91292338457302,135.06967623055806
60.0,AC10,50.98826229394324,3.1801307554022435,77.35626249640383,159.2728867881226,161.80625268157615
70.0,AC1,52.77591315528646,5.136647600916167,275.07615729389255,153.20431197422334,155.65307865846125
70.0,AC2,52.45436502901001,5.7990663654217,290.0322633331114,148.67299220382017,151.05775114828523
70.0,AC3,52.99938484347326,2.887484356993939,101.87810952610089,162.99999999999994,165.5846750214427
70.0,AC4,51.112094560990194,2.687048748743793,3.4640548203473576,158.1532615664963,160.67111718732633
70.0,AC5,52.52776042923262,5.6013103212463085,289.79345536839656,129.15872798770326,131.2599788655206
70.0,AC6,52.95157064479971,4.196678224667084,236.4889112075555,124.65219183656647,126.68623844423946
70.0,AC7,52.639602765768764,4.9642345073417316,290.6433730286143,136.77908221833002,138.99252351909092
70.0,AC8,52.92373644111109,3.7119151725786454,113.25662821898668,161.6366891772109,164.20265408224935
70.0,AC9,52.53439926212569,3.1316357915001505,198.43912533795023,132.91292338457302,135.06967623055806
70.0,AC10,50.99144507266608,3.20268872454626,77.3738057647674,159.2728867881226,161.80625268157615
80.0,AC1,52.777149257135136,5.113597558971262,275.0577952121776,153.20431197422334,155.65307865846125
80.0,AC2,52.459016507785385,5.778120047126359,290.01565014309585,148.67299220382017,151.05775114828523
80.0,AC3,52.99631703846415,2.9116964184109486,101.89745328662325,162.99999999999994,165.5846750214427
80.0,AC4,51.12651765196736,2.6884399149749507,3.465137692126577,158.1532615664963,160.67111718732633
80.0,AC5,52.53175624405544,5.583051592963446,289.7789545804755,129.15872798770326,131.2599788655206
80.0,AC6,52.94527934794665,4.180913870710455,236.47632249124655,124.65219183656647,126.68623844423946
80.0,AC7,52.644007885256876,4.9449561624564,290.6280427955227,136.77908221833002,138.99252351909092
80.0,AC8,52.917903310882295,3.7344159226014013,113.27458702913432,161.6366891772109,164.20265408224935
80.0,AC9,52.52287559900168,3.125321343653308,198.43411321820676,132.91292338457302,135.06967623055806
80.0,AC10,50.994623503129674,3.225249786984406,77.39135251496182,159.2728867881226,161.80625268157615
90.0,AC1,52.778380890124524,5.090546209985477,275.03943171909003,153.20431197422334,155.65307865846125
90.0,AC2,52.463664284876884,5.757169303777235,289.99903236469595,148.67299220382017,151.05775114828523
90.0,AC3,52.99324431444298,2.9359050362356665,101.91679357310984,162.99999999999994,165.5846750214427
90.0,AC4,51.14094072643081,2.689831950312526,3.4662214603044252,158.1532615664963,160.67111718732633
90.0,AC5,52.53574924717798,5.564789541703202,289.76445022643026,129.15872798770326,131.2599788655206
90.0,AC6,52.93898596467921,4.165154103214195,236.4637383749546,124.65219183656647,126.68623844423946
90.0,AC7,52.64840987418786,4.925673934290494,290.6127084973001,136.77908221833002,138.99252351909092
90.0,AC8,52.9120659295468,3.756910608188854,113.2925396812298,161.6366891772109,164.20265408224935
