time,agent,route_target_index,route_target_distance_km,in_route_domain,lat,lon,cas_mps,tas_mps,goal_distance_km,heading_error_deg,heading_action,speed_action,nearest_agent,nearest_nm,outside,commanded_heading_turn_deg,commanded_speed_action,traffic_projection_intervened,static_projection_intervened,static_projection_infeasible,nominal_static_violation,nominal_traffic_conflict,no_static_feasible_candidate,no_jointly_feasible_candidate,predicted_minimum_separation_km,predicted_risk_seconds,reference_heading_turn_deg,nominal_heading_adjustment_deg,nominal_speed_action
620.0,KL001,1,29.055411654416265,True,52.487715475181176,4.925505555590302,162.99999999999994,165.5846750214427,28.847160657899618,55.44646017842609,0.022672295570373535,0.057387709617614746,AC8,6.563368237126865,False,0.0,0.057387709617614746,True,False,False,False,True,False,False,10.346910302614068,0.0,-45.0,0.34008532762527466,0.057387709617614746
630.0,KL001,1,28.12798498388851,True,52.48341342201826,4.948916500223948,162.99999999999994,165.5846750214427,27.944328298753348,58.238568875043086,0.20138967037200928,0.15965557098388672,AC8,6.454283795293958,False,5.000000000000002,0.15965557098388672,True,False,False,False,True,False,False,11.35145671097279,0.0,-45.0,3.020845949649811,0.15965557098388672
640.0,KL001,1,27.386733676902185,True,52.47801930339274,4.971702113313142,162.99999999999994,165.5846750214427,27.227481409579475,66.32964620644105,0.1722240447998047,0.1590803861618042,AC8,6.412206280221126,False,0.0,0.1590803861618042,True,False,False,False,True,False,False,11.30476744197543,0.0,-45.0,2.583361566066742,0.1590803861618042
650.0,KL001,1,26.74430593498798,True,52.47249109119788,4.994402905361574,162.99999999999994,165.5846750214427,26.608803141498797,69.59052428919293,0.24275100231170654,0.32949650287628174,AC8,6.378177000367099,False,0.0,0.32949650287628174,True,False,False,False,True,False,False,11.238475139251875,0.0,-45.0,3.641265034675598,0.32949650287628174
660.0,KL001,1,26.192890033568375,True,52.46696287900302,5.01710084600233,162.99999999999994,165.5846750214427,26.080235673912213,72.9950119788167,0.17746293544769287,0.33095383644104004,AC8,6.343939736469,False,0.0,0.33095383644104004,True,False,False,False,True,False,False,11.171835234389466,0.0,-45.0,2.6619449257850647,0.33095383644104004
670.0,KL001,1,25.73830078355421,True,52.46143466680816,5.039795936162891,162.99999999999994,165.5846750214427,25.647351015063563,76.52728518852348,0.1530165672302246,0.38321709632873535,AC8,6.309496296786915,False,0.0,0.38321709632873535,True,False,False,False,True,False,False,11.104852136348649,0.0,-45.0,2.2952494025230408,0.38321709632873535
680.0,KL001,1,25.38570460593219,True,52.4559064546133,5.062488176770338,162.99999999999994,165.5846750214427,25.315058251813248,80.16646848359187,0.1501685380935669,0.37363624572753906,AC8,6.274848544793887,False,0.0,0.37363624572753906,True,False,False,False,True,False,False,11.037530395988055,0.0,-45.0,2.252527177333832,0.37363624572753906
690.0,KL001,1,25.139357277483008,True,52.45037824241844,5.085177568751351,162.99999999999994,165.5846750214427,25.087354970718895,83.88699955945094,0.14774882793426514,0.3635900020599365,AC8,6.239998401284042,False,0.0,0.3635900020599365,True,False,False,False,True,False,False,10.969874711727774,0.0,-45.0,2.2162315249443054,0.3635900020599365
700.0,KL001,1,25.002363265616122,True,52.44485003022358,5.107864113032206,162.99999999999994,165.5846750214427,24.96710306973147,87.65945799935258,0.14569401741027832,0.35330235958099365,AC8,6.204947846571516,False,0.0,0.35330235958099365,True,False,False,False,True,False,False,10.901889935466498,0.0,-45.0,2.185410261154175,0.35330235958099365
710.0,KL001,1,24.97648567478298,True,52.439321818028716,5.130547810538777,162.99999999999994,165.5846750214427,24.955856015952484,91.45182506916137,0.17554175853729248,0.27114689350128174,AC8,6.169698922783341,False,0.0,0.27114689350128174,True,False,False,False,True,False,False,10.833581078763807,0.0,-45.0,2.633127272129059,0.27114689350128174
720.0,KL001,1,25.06203250796039,True,52.433793605833856,5.15322866219654,162.99999999999994,165.5846750214427,25.053760743517245,95.23105737174302,0.014891386032104492,0.298877477645874,AC8,6.134253736264428,False,0.0,0.298877477645874,True,False,False,False,True,False,False,10.764953319319243,0.0,-45.0,0.223371684551239,0.298877477645874
730.0,KL001,1,25.257835732629925,True,52.428265393638995,5.175906668930565,162.99999999999994,165.5846750214427,25.259548218085143,98.96478932306331,0.06046009063720703,0.20012474060058594,AC8,6.098614460074172,False,0.0,0.20012474060058594,True,False,False,False,True,False,False,10.696012007728404,0.0,-45.0,0.9069004654884338,0.20012474060058594
740.0,KL001,1,25.561326291948518,True,52.422737181444134,5.198581831665521,162.99999999999994,165.5846750214427,25.570614048515136,102.62295009698516,-0.14477509260177612,0.007279515266418457,AC8,6.062783336606829,False,0.0,0.007279515266418457,True,False,False,False,True,False,False,10.626762674565041,0.0,-45.0,0.0,0.007279515266418457
750.0,KL001,1,25.968694035409484,True,52.41720896924927,5.221254151325684,162.99999999999994,165.5846750214427,25.983177528096185,106.17910024057795,-0.14760816097259521,-0.00233536958694458,AC8,6.0267626803253584,False,0.0,-0.00233536958694458,True,False,False,False,True,False,False,10.55695183201236,0.0,-45.0,0.0,-0.00233536958694458
760.0,KL001,1,26.475081271186312,True,52.41168104563623,5.243922445532317,162.99147302266815,165.57603122783388,26.492468378929694,109.61117904225489,-0.15009921789169312,-0.011764347553253174,AC8,5.990539216949431,False,0.0,-0.011764347553253174,True,False,False,False,True,False,False,10.485726959980886,0.0,-45.0,0.0,-0.011764347553253174
770.0,KL001,1,27.074755522459757,True,52.40615450502854,5.266582228635015,162.95060819813713,165.53460653465157,27.09288916290981,112.90170081721726,-0.15254491567611694,-0.021559476852416992,AC8,5.9540550110098645,False,0.0,-0.021559476852416992,True,False,False,False,True,False,False,10.412896588433615,0.0,-45.0,0.0,-0.021559476852416992
780.0,KL001,1,27.761414630618315,True,52.4006304843505,5.289228843003749,162.87614986670576,165.45912793166607,27.77830831701418,116.03831974412947,-0.15514588356018066,-0.030784130096435547,AC8,5.91724760213522,False,0.0,-0.030784130096435547,True,False,False,False,True,False,False,10.338369770452458,0.0,-45.0,0.0,-0.030784130096435547
790.0,KL001,1,28.528457366635518,True,52.39511005431605,5.311857904726325,162.77005465492593,165.3515785957047,28.542317121454595,119.01357321302856,0.012262821197509766,0.5128235816955566,AC8,5.880055952147655,False,0.0,0.5128235816955566,True,False,False,False,True,False,False,10.274317569466152,0.0,-45.0,0.18394321203231812,0.5128235816955566
800.0,KL001,1,29.371177455916392,True,52.38958184212119,5.33451603001572,162.99999999999994,165.5846750214427,29.380399268025663,121.83042431199647,0.015805602073669434,0.5074074268341064,AC8,5.843117556091536,False,5.000000000000002,0.5074074268341064,True,False,False,False,True,False,False,10.81349023209272,0.0,-45.0,0.23708313703536987,0.5074074268341064
810.0,KL001,1,30.384888738753897,True,52.38299877634722,5.356396049950325,162.99999999999994,165.5846750214427,30.388483926127012,129.34008826289318,0.1880345344543457,0.5290651321411133,AC8,5.869982982293037,False,-5.000000000000002,0.5290651321411133,True,False,False,False,True,False,False,10.281829975599974,0.0,-45.0,2.820517122745514,0.5290651321411133
820.0,KL001,1,31.367311447720816,True,52.37733901497045,5.378955684418875,162.99999999999994,165.5846750214427,31.363789118570498,126.81406253838946,0.018067359924316406,0.49906325340270996,AC8,5.840572384250342,False,5.000000000000002,0.49906325340270996,True,False,False,False,True,False,False,10.808323224226204,0.0,-45.0,0.2710103988647461,0.49906325340270996
830.0,KL001,1,32.48949784243829,True,52.370755949196486,5.400829638633686,162.99999999999994,165.5846750214427,32.4783288959485,134.00315947806877,0.18976867198944092,0.5197081565856934,AC8,5.866927752011138,False,-5.000000000000002,0.5197081565856934,True,False,False,False,True,False,False,10.268839388793564,0.0,-45.0,2.846529185771942,0.5197081565856934
840.0,KL001,1,33.575568201800166,True,52.36509618781972,5.423383020375406,162.99999999999994,165.5846750214427,33.55545998685276,131.1763428557545,0.020198822021484375,0.4910651445388794,AC8,5.837058408988091,False,5.000000000000002,0.4910651445388794,True,False,False,False,True,False,False,10.801366284437174,0.0,-45.0,0.3029823303222656,0.4910651445388794
850.0,KL001,1,34.78583485829273,True,52.35851312204575,5.445250913230817,162.99999999999994,165.5846750214427,34.756671686243315,138.07912420834248,0.19110774993896484,0.5106368064880371,AC8,5.86290454874777,False,0.0,0.5106368064880371,True,False,False,False,True,False,False,10.850828128816007,0.0,-45.0,2.8666162490844727,0.5106368064880371
860.0,KL001,1,36.04281478573629,True,52.35180082385179,5.467014923165848,162.99999999999994,165.5846750214427,36.0041981138565,139.83407151252527,0.19143545627593994,0.5062377452850342,AC8,5.896347466024963,False,-5.000000000000002,0.5062377452850342,True,False,False,False,True,False,False,10.311304060469384,0.0,-45.0,2.8715327382087708,0.5062377452850342
870.0,KL001,1,37.248311156267974,True,52.34614106247502,5.489558632901625,162.99999999999994,165.5846750214427,37.199056623077134,136.6192488769277,0.021716713905334473,0.48151910305023193,AC8,5.865746529643153,False,5.000000000000002,0.48151910305023193,True,False,False,False,True,False,False,10.85377343423036,0.0,-45.0,0.3257516026496887,0.48151910305023193
880.0,KL001,1,38.558751936791616,True,52.33955799670105,5.51141714976604,162.99999999999994,165.5846750214427,38.49921006717144,143.1623496879755,0.19599103927612305,0.501399040222168,AC8,5.890844344104492,False,-5.000000000000002,0.501399040222168,True,False,False,False,True,False,False,10.293917535331037,0.0,-45.0,2.939864695072174,0.501399040222168
890.0,KL001,1,39.82705612894596,True,52.333898235324284,5.53395461821911,162.99999999999994,165.5846750214427,39.75620490266606,139.7313270775026,0.02298593521118164,0.474440336227417,AC8,5.859791037517274,False,5.000000000000002,0.474440336227417,True,False,False,False,True,False,False,10.842303802047411,0.0,-45.0,0.34478992223739624,0.474440336227417
900.0,KL001,1,41.189710787869274,True,52.32731516955032,5.5558070848166885,162.99999999999994,165.5846750214427,41.10813141923152,146.07701647680767,0.19592607021331787,0.4931519031524658,AC8,5.884381500196206,False,-5.000000000000002,0.4931519031524658,True,False,False,False,True,False,False,10.274821857227723,0.0,-45.0,2.938891053199768,0.4931519031524658
910.0,KL001,1,42.50960385353917,True,52.32165540817355,5.578338316470372,162.99999999999994,165.5846750214427,42.4163182976541,142.46031100603233,-0.10630911588668823,0.32422876358032227,AC8,5.852878991193949,False,5.000000000000002,0.32422876358032227,True,False,False,False,True,False,False,10.82906725580665,0.0,-45.0,0.0,0.32422876358032227
920.0,KL001,1,43.914849147519696,True,52.31507234239958,5.600184737146711,162.99999999999994,165.5846750214427,43.81061798733955,148.63807526693432,0.08123445510864258,0.2985154390335083,AC8,5.876963051365375,False,0.0,0.2985154390335083,True,False,False,False,True,False,False,10.876823466662303,0.0,-45.0,1.2185168266296387,0.2985154390335083
930.0,KL001,1,45.345736032136664,True,52.30836004420562,5.621927382083858,162.99999999999994,165.5846750214427,45.23066138557085,149.72565386685358,-0.024490952491760254,0.3530387878417969,AC8,5.9086238558596715,False,-5.000000000000002,0.3530387878417969,True,False,False,False,True,False,False,10.307952010160513,0.0,-45.0,0.0,0.3530387878417969
