time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_fraction,train/value_loss,train/explained_variance,train/std,train/n_updates,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/entropy_loss,train/policy_gradient_loss
40,63,38400,-0.7681328224366386,205.14,1,0.10554687559604645,0.044906939044594765,0.8097822666168213,0.04998172074556351,140,0.01855376735329628,3e-05,0.2,0.010671826,3.154626307487488,-0.015379692274145783
30,84,40960,-0.5977826730992117,203.99,1,0.10884746504016221,0.03284574672579765,0.7857025861740112,0.049987904727458954,150,0.020547296851873398,3e-05,0.2,0.009199714,3.1541993021965027,-0.015425683959620073
17,145,43520,-0.5977826730992117,203.99,1,0.1184868132074674,0.024260642224301895,0.41057848930358887,0.049978479743003845,160,0.011047795414924622,3e-05,0.2,0.010177682,3.154189419746399,-0.018536707444582134
35,73,46080,-0.5594557421369146,207.01,1,0.06640625,0.010447943676263094,0.7113027572631836,0.04997607320547104,170,0.018608123064041138,3e-05,0.2,0.0054522324,3.1544996976852415,-0.009735178528353572
421,6,48640,-0.5840063142550548,204.56,1,0.10523767555132509,0.020726768020540475,0.6457501649856567,0.04996156319975853,180,0.026086047291755676,3e-05,0.2,0.009726465,3.154820454120636,-0.014879212755477055
38,66,51200,-0.6094555572065804,204.24,1,0.10213017337955535,0.04499395899474621,0.8186031579971313,0.049954015761613846,190,0.012661866843700409,3e-05,0.2,0.011325402,3.1552233755588532,-0.019821679103188217
31,81,53760,-0.49289886860036297,201.08,1,0.08434773916378617,0.039936588052660225,0.7298613786697388,0.04995666444301605,200,0.010779350064694881,3e-05,0.2,0.009013624,3.1554753303527834,-0.015165371011244133
40,62,56320,-0.45650868796218996,196.83,1,0.09918265994638205,0.012042331835255026,0.819393515586853,0.04995235055685043,210,0.042516786605119705,3e-05,0.2,0.008694267,3.155379182100296,-0.012144502956653013
17,145,58880,-0.399117367167314,197.1,1,0.09495138483121991,0.044952447786927224,0.79494309425354,0.04991716891527176,220,0.03696766495704651,3e-05,0.2,0.011097495,3.1561409616470337,-0.013258058847859501
33,76,61440,-0.3948657174698681,197.13,1,0.06204459830187261,0.01733028651215136,0.6509449481964111,0.04990077763795853,230,0.008554358966648579,3e-05,0.2,0.009643691,3.157199335098267,-0.010451114131137728
16,158,64000,-0.41379409773887993,198.6,1,0.09089740961790085,0.054639410506933925,0.812322735786438,0.049888115376234055,240,0.0370333231985569,3e-05,0.2,0.0099263545,3.1579131543636323,-0.012816919627948665
42,60,66560,-0.5037716715360802,192.97,1,0.13794642947614194,0.01316576274111867,0.8973696827888489,0.04988015815615654,250,0.016573777422308922,3e-05,0.2,0.02354103,3.1581918954849244,-0.013163765662881844
23,108,69120,-0.6697194579387975,192.44,1,0.06804239228367806,0.05088919222354889,0.8107213973999023,0.04987136274576187,260,0.02647998370230198,3e-05,0.2,0.007923616,3.158684797286987,-0.010788840556051582
37,67,71680,-0.5840058911949817,196.07,1,0.09112847298383712,0.06124457182983557,0.35970866680145264,0.049878139048814774,270,0.037510521709918976,3e-05,0.2,0.012956013,3.158626182874044,-0.015257074156155188
37,67,74240,-0.6180311188367597,189.93,1,0.12771761789917946,0.028252141224220394,0.7444019913673401,0.04987503960728645,280,0.015978362411260605,3e-05,0.2,0.01588796,3.158400136232376,-0.017705633834702895
373,6,76800,-0.6271012754227901,189.32,1,0.06955232322216034,0.04436167003586888,0.8327223062515259,0.04988151788711548,290,0.030355507507920265,3e-05,0.2,0.008850476,3.158501136302948,-0.011521133953647223
30,82,79360,-0.5745484897336994,190.79,1,0.08872070331126451,0.03169979536905885,0.7764297127723694,0.04988550394773483,300,0.016925254836678505,3e-05,0.2,0.009532647,3.15828852057457,-0.015097639797022566
40,63,81920,-0.5360265469670189,189.21,1,0.09960937462747096,0.021539393998682498,0.6886069774627686,0.04985732585191727,310,0.009756061248481274,3e-05,0.2,0.011046393,3.1585856854915617,-0.014478697814047337
22,113,84480,-0.5304235985877326,189.05,1,0.07741005851421505,0.06381396297365427,0.6354629993438721,0.04984910786151886,320,0.02316696010529995,3e-05,0.2,0.008802407,3.1595429480075836,-0.012633797535090707
34,74,87040,-1.667767561180359,196.75,1,0.0741707219509408,0.6739541754126549,0.5494213104248047,0.04985298961400986,330,0.14117053151130676,3e-05,0.2,0.010488996,3.1596025109291075,-0.009655957782524639
26,98,89600,-1.6905013283128005,198.99,1,0.06045536738820374,0.21643753042444586,0.7254365682601929,0.0498773455619812,340,0.04443497955799103,3e-05,0.2,0.0069360263,3.158983165025711,-0.010644200991373509
49,51,92160,-1.6996574232299606,202.33,1,0.0926538672298193,0.1242470920085907,0.7278431057929993,0.04987707734107971,350,0.07440809905529022,3e-05,0.2,0.0151881445,3.1584774374961855,-0.012973003304796293
50202,0,94720,-1.6526906845810396,205.03,1,0.1083890089392662,0.04629313051700592,0.6992032527923584,0.04988458752632141,360,0.03134488686919212,3e-05,0.2,0.011717954,3.1583637857437132,-0.014556291556499446
