time/time_elapsed,time/total_timesteps,time/fps,time/iterations,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/std,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/n_updates,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
18,209920,277,1,0.32574784755706787,-0.002297833142802119,0.01736328125,0.6337589025497437,0.0003,0.2,1216.3333618164063,-1.9262914204597472,606.7512817382812,400,0.0036934935,-551.9713271280511,586.89
15,215040,334,1,0.6614488363265991,-0.005205414490774274,0.0368359375,0.6331202983856201,0.0003,0.2,50.0311137008667,-1.9243672919273376,22.162826538085938,410,0.005145738,-551.9713271280511,586.89
13,220160,380,1,0.6911735534667969,-0.0011628535529598595,0.00865234375,0.633524477481842,0.0003,0.2,340.7355029296875,-1.9240981078147887,158.856689453125,420,0.0047588837,-476.9385099198817,591.39
14,225280,342,1,0.8529976606369019,-0.003502216227352619,0.01556640625,0.6343748569488525,0.0003,0.2,112.68160995483399,-1.9256177568435668,37.92699432373047,430,0.0044186483,-476.9385099198817,591.39
19,230400,266,1,0.9220312237739563,-0.002877076370641589,0.0352734375,0.6338633298873901,0.0003,0.2,34.83860473632812,-1.927489995956421,8.589703559875488,440,0.0055929306,-478.44086391625655,598.81
16,235520,319,1,0.8577742576599121,-0.0034723038706579246,0.02294524773955345,0.6325907111167908,0.0003,0.2,133.90067932128906,-1.9239924955368042,54.60700607299805,450,0.004288742,-478.44086391625655,598.81
13,240640,389,1,0.5536632537841797,-0.001785999396815896,0.0215234375,0.6333840489387512,0.0003,0.2,304.642258605957,-1.9211879324913026,124.09831237792969,460,0.0033198353,-442.21599549205894,598.81
15,245760,320,1,0.914776086807251,-0.0016813173005357385,0.0095703125,0.6337702870368958,0.0003,0.2,56.88877647399902,-1.9251642036437988,18.71871566772461,470,0.0030726078,-442.21599549205894,598.81
15,250880,337,1,0.4836890697479248,-0.004462710320949554,0.0460546875,0.6378480195999146,0.0003,0.2,118.45520584106445,-1.9290737414360046,54.1884651184082,480,0.006904801,-442.21599549205894,598.81
14,256000,354,1,0.5308197736740112,-0.0005713196191936732,0.00201171875,0.6393636465072632,0.0003,0.2,1038.0320263671874,-1.9414908266067505,465.080322265625,490,0.0017150596,-495.31760962186405,598.81
16,261120,306,1,0.7173079252243042,-0.0016904672305099666,0.00923828125,0.6395047903060913,0.0003,0.2,262.12457153320315,-1.9428137946128845,111.75503540039062,500,0.0034062024,-495.31760962186405,598.81
20,266240,251,1,0.8015879988670349,-0.00473727778531611,0.04490234375,0.641544759273529,0.0003,0.2,42.68063865661621,-1.945017578601837,11.649178504943848,510,0.0064444668,-414.97677418368664,598.81
17,271360,298,1,0.6745011210441589,-0.003471604180522263,0.03376953125,0.6405664682388306,0.0003,0.2,355.6816613769531,-1.949117193222046,159.03659057617188,520,0.0054585496,-408.9262101496926,589.92
11,276480,430,1,0.7152522802352905,-0.0045297378591567395,0.03459985385648906,0.6409882307052612,0.0003,0.2,188.4271127319336,-1.9460214018821715,81.78638458251953,530,0.0068499967,-417.27378737197125,589.92
13,281600,377,1,0.6954249739646912,-0.002009425504656974,0.015599888493306934,0.6426762342453003,0.0003,0.2,288.0379766845703,-1.94968022108078,151.93209838867188,540,0.004396487,-417.27378737197125,589.92
13,286720,387,1,0.19670253992080688,-0.0014010959351435303,0.00177734375,0.6433925628662109,0.0003,0.2,947.1825939941406,-1.9537319564819335,383.5780944824219,550,0.0023209914,-417.27378737197125,589.92
14,291840,360,1,0.695604145526886,-0.002925611902028322,0.02283203125,0.643034040927887,0.0003,0.2,338.7918185424805,-1.954337046146393,155.94178771972656,560,0.0044830283,-468.5212544188674,591.11
13,296960,391,1,0.634116530418396,-0.0022883115196600558,0.00560546875,0.6443936824798584,0.0003,0.2,698.7218432617187,-1.9547757959365846,325.5614318847656,570,0.0032672174,-468.5212544188674,591.11
13,302080,380,1,0.663798451423645,-0.0056152140721678736,0.048125,0.6468727588653564,0.0003,0.2,93.22743095397949,-1.960911931991577,38.02556610107422,580,0.0057199313,-482.48601788511195,591.11
21,307200,233,1,0.7436124086380005,-0.0018208020948804915,0.0095703125,0.6480034589767456,0.0003,0.2,225.76835845947267,-1.9674345684051513,81.11214447021484,590,0.0023941516,-482.48601788511195,591.11
19,312320,263,1,0.0914607048034668,-0.002907964247278869,0.01248046875,0.6495107412338257,0.0003,0.2,512.0637677001953,-1.9703210020065307,209.83201599121094,600,0.0027876701,-458.5406175666475,591.11
