rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,train/learning_rate,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/std,train/loss,train/clip_range,train/value_loss,train/clip_fraction
223.91,25,0.35801213976300117,56320,203,1,0.0003,0.010648811,100,-0.012451801414135844,0.8798877000808716,3.1630569279193876,0.04976765066385269,0.01947159133851528,0.2,0.0028973658045288175,0.14872233048081399
201.59,24,0.3696350304702595,61440,213,1,0.0003,0.014193509,110,-0.012668628033134155,0.8646020293235779,3.166644352674484,0.04958494007587433,0.012159902602434158,0.2,0.0023107737681129946,0.15347164487466217
207.25,16,0.36956652686846325,66560,302,1,0.0003,0.013593323,120,-0.012330886127892881,0.9103562235832214,3.1675423979759216,0.04975143074989319,-0.009479893371462822,0.2,0.001959011345752515,0.16350848926231265
206.3,32,0.3733306488899027,71680,159,1,0.0003,0.011840717,130,-0.013305845115489016,0.9454361200332642,3.164399751027425,0.04968756437301636,0.011609730310738087,0.2,0.001665261034698536,0.12236328078433871
212.59,23,0.37321752105624056,76800,214,1,0.0003,0.011940632,140,-0.012851917542320734,0.8596106767654419,3.1635018646717072,0.04987092316150665,0.014375414699316025,0.2,0.002158788000815548,0.13942075930535794
218.01,40,0.37316204920096685,81920,127,1,0.0003,0.012989192,150,-0.011598194004424538,0.9369083046913147,3.1574694395065306,0.04993704706430435,0.00832660123705864,0.2,0.0015411198954097926,0.13989018748203913
218.03,46,0.3731687649564403,87040,110,1,0.0003,0.0123444125,160,-0.011687299821642228,0.8820429444313049,3.152120518684387,0.05017487332224846,0.006359456572681665,0.2,0.0019862179964547978,0.13828153954818845
215.44,35,0.37320532729115763,92160,145,1,0.0003,0.011210647,170,-0.010916900838037692,0.9018657207489014,3.145035755634308,0.05023163557052612,0.015730634331703186,0.2,0.001645764644490555,0.13471771823242307
217.11,47,0.37319407668136484,97280,107,1,0.0003,0.013231731,180,-0.011900144978426397,0.9302792549133301,3.142930603027344,0.0503053292632103,0.018518472090363503,0.2,0.001594723094603978,0.1363585628569126
229.89,64,0.35711535868926836,102400,79,1,0.0003,0.015123219,190,-0.013041158905252814,0.8581422567367554,3.139228351910909,0.05044969171285629,0.013971882872283459,0.2,0.00369397917141517,0.15411527119576932
241.36,43,0.3370481570778709,107520,117,1,0.0003,0.016859839,200,-0.01156413184653502,0.9222564697265625,3.1384725093841555,0.0502481609582901,0.002231195103377104,0.2,0.0018870634579798208,0.17964498829096556
235.1,29,0.33715805159002504,112640,172,1,0.0003,0.017768683,210,-0.01542234788260733,0.901706874370575,3.1464785814285277,0.05014133080840111,0.010757878422737122,0.2,0.0020612545621891817,0.1858199568465352
236.33,33,0.33713110861407936,117760,153,1,0.0003,0.013981878,220,-0.013233283480318884,0.937589168548584,3.147776969273885,0.05018172413110733,0.011620289646089077,0.2,0.0024924943262400728,0.13153211890409391
235.09,43,0.3371501531063719,122880,116,1,0.0003,0.013231616,230,-0.014355958325904795,0.9392991065979004,3.1415405869483948,0.0504409484565258,0.011979137547314167,0.2,0.002266955877712462,0.16168239302933216
239.84,38,0.337075187476733,128000,133,1,0.0003,0.014487888,240,-0.013571638290068222,0.8916128873825073,3.1311059534549712,0.05071118474006653,0.010089902207255363,0.2,0.0014806260922341607,0.1470571618527174
237.45,32,0.3370949123801704,133120,158,1,0.0003,0.011926659,250,-0.014064778096508235,0.9254242777824402,3.127173036336899,0.050598107278347015,0.0006746334838680923,0.2,0.001516761293169111,0.15743949003517627
215.63,33,0.35893678034983156,138240,150,1,0.0003,0.01860326,260,-0.011602498241700232,0.9359202980995178,3.1359424034754437,0.050268128514289856,0.016391796991229057,0.2,0.0014324543570789197,0.14937659899393718
209.56,38,0.37323879531546766,143360,131,1,0.0003,0.014970371,270,-0.01009522503882181,0.9233536720275879,3.142056393623352,0.05040290206670761,0.025998134166002274,0.2,0.0012877146815299056,0.1686197916045785
209.81,38,0.37321869202410596,148480,133,1,0.0003,0.016763408,280,-0.014168013259768486,0.9256352782249451,3.133882945775986,0.05057462304830551,0.00394028564915061,0.2,0.0011208456518943422,0.1769997611641884
214.89,30,0.37314283049322755,153600,169,1,0.0003,0.015206796,290,-0.011580081909778528,0.9164842367172241,3.123467671871185,0.05098221078515053,0.016437282785773277,0.2,0.0013008283262024634,0.20703225545585155
208.02,38,0.37323029295899934,158720,132,1,0.0003,0.013861242,300,-0.010868634020638031,0.9444679021835327,3.1097479263941445,0.05122140049934387,0.018736477941274643,0.2,0.0010360629491818448,0.13819057289510966
