rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/loss,train/std,train/clip_fraction,train/clip_range,train/approx_kl,train/n_updates,train/entropy_loss
208.86,-0.4699868303315665,232,92160,22,1,0.0003,0.015597605456908544,0.7825256586074829,-0.013583541987463832,0.003384664189070463,0.0512210950255394,0.15106621757149696,0.2,0.012096441,165,3.107740036646525
209.6,-0.44614361337952596,187,97280,27,1,0.0003,0.012840445968322456,0.752903401851654,-0.009690058568958193,0.013394484296441078,0.05109335482120514,0.1389425231143832,0.2,0.013026357,175,3.106997698545456
212.36,-0.41698937933205227,283,102400,18,1,0.0003,0.014554836321622133,0.8227923512458801,-0.01125158404611284,0.016876645386219025,0.05094411224126816,0.15637959036976098,0.2,0.0125797,185,3.1131553292274474
215.67,-0.48124305087349284,261,107520,19,1,0.0003,0.023964075674302875,0.6830264329910278,-0.010529398900689557,0.026139862835407257,0.050909373909235,0.13897514175623654,0.2,0.01081372,195,3.1188228011131285
210.24,-0.5028504875058314,295,112640,17,1,0.0003,0.03552975105121732,0.5027709007263184,-0.00899949441663921,0.021546632051467896,0.05128408968448639,0.1832119814120233,0.2,0.017853368,205,3.1113111436367036
204.15,-0.5441085436883157,239,117760,21,1,0.0003,0.03334175506606698,0.581614077091217,-0.008943064865889028,0.017427321523427963,0.05142523720860481,0.1460766138508916,0.2,0.009166061,215,3.1001243889331818
202.01,-0.663908565839732,295,122880,17,1,0.0003,0.03268027692101896,0.677131175994873,-0.012889646858820925,0.022192344069480896,0.05167488008737564,0.13235567435622214,0.2,0.01332715,225,3.0939582228660583
201.63,-0.7198600900407804,289,128000,17,1,0.0003,0.019021470565348864,0.8148751258850098,-0.012971286085667088,0.017931506037712097,0.05191946029663086,0.12295697536319494,0.2,0.013397485,235,3.083194148540497
202.99,-0.7060048256889456,277,133120,18,1,0.0003,0.01576110371388495,0.8570644855499268,-0.010541122703580185,0.02787075936794281,0.05198146402835846,0.13882190762087704,0.2,0.014746215,245,3.07700492143631
208.71,-0.6783217064580042,291,138240,17,1,0.0003,0.01419701986014843,0.8540797233581543,-0.01251229300784568,0.005814539268612862,0.05206896364688873,0.16679311096668242,0.2,0.018199878,255,3.075679580370585
210.56,-0.6483045661941883,303,143360,16,1,0.0003,0.019087882805615665,0.7183352708816528,-0.009873237969198574,0.008803636766970158,0.05193546041846275,0.17442130794127783,0.2,0.016644968,265,3.07521915435791
207.44,-0.5775459269597913,479,148480,10,1,0.0003,0.019339227629825474,0.7798818349838257,-0.011105589882936329,0.023033134639263153,0.052153583616018295,0.16591331865638495,0.2,0.013183683,275,3.075777196884155
205.0,-0.5278214999832808,382,153600,13,1,0.0003,0.013245777739211918,0.8622896671295166,-0.014676491753198207,0.01418486051261425,0.052299581468105316,0.17311652979503075,0.2,0.015517369,285,3.0671228885650637
