time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/std,train/learning_rate,train/loss,train/clip_fraction,train/explained_variance,train/clip_range,train/value_loss,train/n_updates,train/entropy_loss,train/approx_kl
28160,-0.7582692466218093,1,144,204.22222222222223,17,-0.014985564909875394,0.04998093843460083,3e-05,0.0035803811624646187,0.10957031339406967,0.7429004311561584,0.2,0.03703733239322901,100,3.154014186859131,0.010709517
30720,-0.6943170005099877,1,141,203.58,18,-0.01342414773069322,0.049979064613580704,3e-05,0.026861663907766342,0.08906608365476132,0.7349543571472168,0.2,0.06599228568375111,110,3.154464030265808,0.009422034
33280,-0.7074361509796013,1,168,207.68,15,-0.015715942392125724,0.04995530843734741,3e-05,0.044065192341804504,0.1289843749254942,0.7842049598693848,0.2,0.04642701122909784,120,3.1547876262664794,0.010745255
35840,-0.7204987817407197,1,161,207.8,15,-0.014193435793276876,0.04996263608336449,3e-05,0.022191274911165237,0.09240385553566739,0.7836335897445679,0.2,0.02996132862754166,130,3.155366325378418,0.009761882
38400,-0.7681328224366386,1,119,205.14,21,-0.015379692274145783,0.04998172074556351,3e-05,0.01855376735329628,0.10554687559604645,0.8097822666168213,0.2,0.044906939044594765,140,3.154626307487488,0.010671826
40960,-0.5977826730992117,1,111,203.99,22,-0.015425683959620073,0.049987904727458954,3e-05,0.020547296851873398,0.10884746504016221,0.7857025861740112,0.2,0.03284574672579765,150,3.1541993021965027,0.009199714
43520,-0.5977826730992117,1,251,203.99,10,-0.018536707444582134,0.049978479743003845,3e-05,0.011047795414924622,0.1184868132074674,0.41057848930358887,0.2,0.024260642224301895,160,3.154189419746399,0.010177682
46080,-0.5594557421369146,1,80,207.01,31,-0.009735178528353572,0.04997607320547104,3e-05,0.018608123064041138,0.06640625,0.7113027572631836,0.2,0.010447943676263094,170,3.1544996976852415,0.0054522324
48640,-0.5840063142550548,1,75,204.56,33,-0.014879212755477055,0.04996156319975853,3e-05,0.026086047291755676,0.10523767555132509,0.6457501649856567,0.2,0.020726768020540475,180,3.154820454120636,0.009726465
51200,-0.6094555572065804,1,105,204.24,24,-0.019821679103188217,0.049954015761613846,3e-05,0.012661866843700409,0.10213017337955535,0.8186031579971313,0.2,0.04499395899474621,190,3.1552233755588532,0.011325402
53760,-0.49289886860036297,1,74,201.08,34,-0.015165371011244133,0.04995666444301605,3e-05,0.010779350064694881,0.08434773916378617,0.7298613786697388,0.2,0.039936588052660225,200,3.1554753303527834,0.009013624
56320,-0.45650868796218996,1,93,196.83,27,-0.012144502956653013,0.04995235055685043,3e-05,0.042516786605119705,0.09918265994638205,0.819393515586853,0.2,0.012042331835255026,210,3.155379182100296,0.008694267
58880,-0.399117367167314,1,208,197.1,12,-0.013258058847859501,0.04991716891527176,3e-05,0.03696766495704651,0.09495138483121991,0.79494309425354,0.2,0.044952447786927224,220,3.1561409616470337,0.011097495
61440,-0.3948657174698681,1,130,197.13,19,-0.010451114131137728,0.04990077763795853,3e-05,0.008554358966648579,0.06204459830187261,0.6509449481964111,0.2,0.01733028651215136,230,3.157199335098267,0.009643691
64000,-0.41379409773887993,1,343,198.6,7,-0.012816919627948665,0.049888115376234055,3e-05,0.0370333231985569,0.09089740961790085,0.812322735786438,0.2,0.054639410506933925,240,3.1579131543636323,0.0099263545
66560,-0.5037716715360802,1,60,192.97,42,-0.013163765662881844,0.04988015815615654,3e-05,0.016573777422308922,0.13794642947614194,0.8973696827888489,0.2,0.01316576274111867,250,3.1581918954849244,0.02354103
69120,-0.6697194579387975,1,95,192.44,26,-0.010788840556051582,0.04987136274576187,3e-05,0.02647998370230198,0.06804239228367806,0.8107213973999023,0.2,0.05088919222354889,260,3.158684797286987,0.007923616
71680,-0.5840058911949817,1,74,196.07,34,-0.015257074156155188,0.049878139048814774,3e-05,0.037510521709918976,0.09112847298383712,0.35970866680145264,0.2,0.06124457182983557,270,3.158626182874044,0.012956013
74240,-0.6180311188367597,1,75,189.93,34,-0.017705633834702895,0.04987503960728645,3e-05,0.015978362411260605,0.12771761789917946,0.7444019913673401,0.2,0.028252141224220394,280,3.158400136232376,0.01588796
