time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/clip_fraction,train/entropy_loss,train/explained_variance,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/value_loss,train/policy_gradient_loss,train/learning_rate
92160,200.33,263,9,1,-1.0671175675998712,0.052298277616500854,0.21396155916154386,3.0637056648731233,0.8216685056686401,0.02070291,0.008713613264262676,0.2,333,0.01868564763572067,-0.01642798907123506,0.0003
94720,203.53,398,6,1,-1.0520317551988188,0.052229803055524826,0.22526311464607715,3.0651144862174986,0.8252661824226379,0.0151381865,0.002493472071364522,0.2,343,0.008101881830953062,-0.010232441662810742,0.0003
97280,200.52,153,16,1,-0.5806246693280938,0.05227899178862572,0.24181360229849816,3.0658023595809936,0.9677737355232239,0.0321105,0.0033660875633358955,0.2,353,0.0023485907004214823,-0.013585204634784954,0.0003
99840,201.83,158,16,1,-0.5140724760341925,0.05200259014964104,0.22179822117090225,3.068008975982666,0.8509674668312073,0.030000377,0.01971832662820816,0.2,363,0.010158938430249691,-0.009720652772812173,0.0003
102400,201.0,154,16,1,-0.6365292238473013,0.05200807750225067,0.22894531227648257,3.076102155447006,0.8404171466827393,0.021327076,0.025711476802825928,0.2,373,0.01983178798109293,-0.007024826627457514,0.0003
104960,202.59,129,19,1,-0.6247046245438215,0.052119180560112,0.20482149869203567,3.072592814763387,0.7919705510139465,0.02204858,0.013424314558506012,0.2,383,0.0358664863742888,-0.012267856346443295,0.0003
107520,205.55,175,14,1,-0.6339990378534628,0.05214633047580719,0.2166472490876913,3.069985604286194,0.8538321852684021,0.02301294,0.013972954824566841,0.2,393,0.02194083996582776,-0.013760638417443261,0.0003
110080,207.41,274,9,1,-0.6766408089433972,0.052289895713329315,0.189081609249115,3.06761900583903,0.8845487833023071,0.023775252,0.016056016087532043,0.2,403,0.021976203781863053,-0.011861875304020941,0.0003
112640,210.7,150,16,1,-0.6415659176873875,0.05234057456254959,0.1865234375,3.063095490137736,0.8827447891235352,0.021742573,0.025500072166323662,0.2,405,0.0362702541363736,0.010379802125195662,0.0003
115200,210.63,107,23,1,-0.6781412102599066,0.0524945892393589,0.2646686412394047,3.058925676345825,0.870438814163208,0.03545589,0.038894958794116974,0.2,409,0.02160145160742104,0.003027746017323807,0.0003
117760,210.64,322,7,1,-0.7375408581705277,0.05259630084037781,0.21766552403569223,3.053879737854004,0.8486899137496948,0.020098617,0.0402676984667778,0.2,419,0.061129001714289186,-0.009854741755407303,0.0003
120320,210.22,131,19,1,-0.80766075451246,0.05260024219751358,0.18290258757770061,3.052285361289978,0.9531537890434265,0.020238591,0.008252514526247978,0.2,429,0.00794731331989169,-0.013583169638032988,0.0003
122880,209.75,119,21,1,-0.7845880193714106,0.05265970528125763,0.17605584008353098,3.0516157944997153,0.8748404383659363,0.047826074,0.044128403067588806,0.2,434,0.06282156244629905,-0.004714401582965539,0.0003
125440,212.11,210,12,1,-0.789744362237051,0.052813008427619934,0.2350852269679308,3.046787416934967,0.8703334927558899,0.029866058,0.019439272582530975,0.2,444,0.024864387908019127,-0.012303283295477741,0.0003
128000,216.07,155,16,1,-0.9774181137041377,0.05285249650478363,0.20095124290409414,3.043321219357577,0.9280277490615845,0.047645755,0.05785870552062988,0.2,452,0.03228770408102057,-0.0020082399000371383,0.0003
130560,224.83,253,10,1,-1.0607299848812815,0.05282425880432129,0.18985546322073787,3.043451464176178,0.8465113043785095,0.020962225,0.019839515909552574,0.2,462,0.04932777904905379,-0.011069604142539902,0.0003
133120,225.73,134,18,1,-1.0877957340386692,0.052662454545497894,0.18855975475162268,3.0463014990091324,0.9597707390785217,0.0374533,0.02375372312963009,0.2,470,0.0031992113072192296,-0.007055235299048945,0.0003
135680,227.22,166,15,1,-1.1108976852463606,0.052415888756513596,0.17829872025176882,3.05561586022377,0.904096245765686,0.018399686,0.006292828358709812,0.2,480,0.03352427440695464,-0.017761402495671062,0.0003
138240,227.28,185,13,1,-1.094259738997853,0.05242164060473442,0.22813140281609126,3.059269428253174,0.9350089430809021,0.04545299,0.04776943102478981,0.2,484,0.039752762232507975,0.0011089195696903126,0.0003
140800,231.02,374,6,1,-1.2489246742246303,0.05243631452322006,0.23228022530674935,3.058630871772766,0.8524020314216614,0.020371968,0.027104664593935013,0.2,494,0.06063060513697564,-0.008330081972962944,0.0003
143360,235.61,282,9,1,-1.2589242926845714,0.05238824337720871,0.18405663569768269,3.0591594060262044,0.9293338656425476,0.023070967,0.020147766917943954,0.2,504,0.02732907384634018,-0.01740887590373556,0.0003
145920,236.31,236,10,1,-1.2062689496106374,0.05242437869310379,0.22464923514053226,3.0598960280418397,0.8273253440856934,0.043921795,0.06385137885808945,0.2,514,0.03379592821002007,-0.013739922340027988,0.0003
148480,237.99,301,8,1,-1.1848227690015536,0.05273059755563736,0.19269643127918243,3.0531056404113768,0.9189430475234985,0.022750292,0.014932358637452126,0.2,524,0.016891936073079705,-0.01422817871789448,0.0003
151040,233.56,313,8,1,-1.1585445456245431,0.052761197090148926,0.21127089150249959,3.0461253484090167,0.9319496750831604,0.028697707,0.0028724479489028454,0.2,534,0.021502264433850844,-0.020588942461957534,0.0003
153600,230.6,242,10,1,-1.1692800330913133,0.0527544841170311,0.24552408885210752,3.0465941965579986,0.9346247911453247,0.02248073,0.021701008081436157,0.2,544,0.022492357715964317,-0.0116286673292052,0.0003
156160,228.5,282,9,1,-1.0172083611407798,0.052758969366550446,0.20513697797432542,3.04648397564888,0.9136158227920532,0.02716882,0.0010271815117448568,0.2,554,0.009142977849114687,-0.01746546655340353,0.0003
158720,230.07,247,10,1,-0.8756328011650011,0.052797093987464905,0.22381170154423327,3.0455594513867355,0.8570815324783325,0.04708779,0.01300672348588705,0.2,564,0.01279371716333805,-0.01495722687262035,0.0003
