time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/explained_variance,train/clip_fraction,train/clip_range,train/entropy_loss,train/std,train/learning_rate,train/value_loss,train/n_updates,train/approx_kl,train/loss,train/policy_gradient_loss
83,30,236.45,138240,-1.4726207754288023,1,0.38686150312423706,0.3603515625,0.2,3.1528393030166626,0.05001979321241379,0.0003,0.06239054724574089,111,0.08836139,0.10221008956432343,0.022188829258084297
61,41,241.34,140800,-1.487551291958483,1,0.4312334656715393,0.36328125,0.2,3.1529003381729126,0.05001763254404068,0.0003,0.11430847272276878,112,0.07729751,0.15891826152801514,0.03773783519864082
77,32,247.57,143360,-1.5875045346084928,1,0.7744467258453369,0.3408203125,0.2,3.1529701948165894,0.05001632869243622,0.0003,0.12906253337860107,113,0.0547866,0.1823844611644745,0.04107016697525978
105,24,251.69,145920,-1.5196739801314876,1,0.38929039239883423,0.2509765625,0.2,3.1529816389083862,0.05001705139875412,0.0003,0.0796220488846302,114,0.026715424,0.10128125548362732,0.013084471225738525
81,31,253.72,148480,-1.4639035466105799,1,0.761711835861206,0.2835407331585884,0.2,3.153022348880768,0.05001471936702728,0.0003,0.0628160135820508,116,0.09716676,0.0924878641963005,0.014627152122557163
91,27,258.53,151040,-1.4532148479331661,1,0.4747595191001892,0.28401094675064087,0.2,3.1531311443873813,0.05000990629196167,0.0003,0.0789423616869109,119,0.04775662,0.060076937079429626,0.0062948136723467284
141,18,260.85,153600,-1.4570024245204234,1,0.75896155834198,0.33203125,0.2,3.153264880180359,0.05000902712345123,0.0003,0.06078521907329559,120,0.057303622,0.1371420919895172,0.03585300548002124
62,40,265.91,156160,-1.5535520562990808,1,0.8273959755897522,0.24473586678504944,0.2,3.1532493432362876,0.05001107230782509,0.0003,0.052835420394937195,122,0.056906287,0.1076025664806366,0.040796175599098206
62,41,263.8,158720,-1.549473013022721,1,0.7909566760063171,0.2170230269432068,0.2,3.1534165382385253,0.049999937415122986,0.0003,0.08013934046030044,123,0.01855418,0.1679804027080536,0.022158261761069296
97,26,255.88,161280,-0.42341188938852403,1,0.559032142162323,0.26171875,0.2,3.1537126302719116,0.049996763467788696,0.0003,0.09288104623556137,124,0.02450032,0.1101367324590683,0.018327072728425264
6,387,257.25,163840,-0.42344364248017186,1,0.7620534896850586,0.33732269207636517,0.2,3.153870105743408,0.04999242722988129,0.0003,0.09727883835633595,125,0.03830044,0.1237090453505516,0.016745862706253927
141,18,267.57,166400,-0.5077724328820868,1,0.6172873973846436,0.18447580933570862,0.2,3.1539732933044435,0.04999127611517906,0.0003,0.1459231823682785,126,0.018397363,0.12818604707717896,0.0064233214594423774
52,48,275.75,168960,-0.892864255258373,1,0.7423389554023743,0.34198588132858276,0.2,3.153923988342285,0.049995020031929016,0.0003,0.22771348555882773,127,0.0379211,0.15186820924282074,0.02903341439863046
95,26,272.01,171520,-0.6642298860119418,1,0.32061541080474854,0.26387671877940494,0.2,3.1538572112719216,0.04998655244708061,0.0003,0.07124983177830775,130,0.034065373,0.04505040496587753,0.0013903888563315074
51,50,274.14,174080,-0.6187863997607335,1,0.7195743322372437,0.35604538520177204,0.2,3.154207229614258,0.04998602718114853,0.0003,0.11701393127441406,131,0.04416281,0.14030295610427856,0.031468368445833526
119,21,282.96,176640,-0.6682108239497488,1,0.7003732919692993,0.2587618762627244,0.2,3.154424235224724,0.049985527992248535,0.0003,0.10333984950557351,135,0.052801214,0.07021334767341614,0.006973559502512217
0,50221,290.49,179200,-0.9115170979407585,1,0.821005642414093,0.261131094659076,0.2,3.152019416584688,0.05011077970266342,0.0003,0.09271052852272987,144,0.06780613,0.07675812393426895,-0.0017544382169623585
