time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/explained_variance,train/approx_kl,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/clip_range
309,8,122880,-0.9643113625453579,298.91,1,0.6534615755081177,0.018202271,0.159173986222595,0.0003,-1.4635864198207855,0.019887595530599357,-0.05981114134192467,-0.027171085512964054,453,0.2
216,11,125440,-0.9594250478547981,298.91,1,0.785742461681366,0.022591252,0.1492938704788685,0.0003,-1.7125798165798187,0.012771181482821702,-0.04776095971465111,-0.02640986789847375,463,0.2
88,28,128000,-1.0491062516580931,301.13,1,0.8679463863372803,0.014916264,0.09226606655865907,0.0003,-1.4035757720470428,0.011108934786170721,-0.04099822789430618,-0.017869722825707868,473,0.2
201,12,130560,-1.140207469289996,300.95,1,0.3820619583129883,0.012347919,0.10657247314229608,0.0003,-1.5348634648323058,0.04997865058481693,-0.03907652199268341,-0.020140772280283274,483,0.2
103,24,133120,-1.0700203843410199,300.89,1,0.8380300998687744,0.013819498,0.16100555527955293,0.0003,-2.0949944138526915,0.004308406414929777,-0.05906885489821434,-0.01888943670783192,493,0.2
144,17,135680,-1.1259635953221305,305.17,1,0.7487246990203857,0.020136295,0.16792111247777938,0.0003,-1.7249863409996034,0.05182727314531803,-0.061715755611658096,-0.02803533346275799,503,0.2
148,17,138240,-1.9206040977049417,307.31,1,0.7962956428527832,0.010788065,0.07645174786448479,0.0003,-2.1839985052744546,0.18095884720484415,-0.008339857682585716,-0.012705294601619243,513,0.2
142,18,140800,-1.923514773950838,307.89,1,0.8302205801010132,0.014125102,0.10446106914896518,0.0003,-2.0394060522317887,0.12976441606879235,-0.02273659221827984,-0.013651885776198469,523,0.2
234,10,143360,-2.01928191792965,318.52,1,0.8075051307678223,0.013077531,0.13647944824770092,0.0003,-1.944861787557602,0.019131839158944786,-0.047502048313617706,-0.024038260063389317,533,0.2
214,11,145920,-2.021765622211266,318.89,1,0.8312332630157471,0.01893813,0.13733117945181827,0.0003,-1.873982020219167,0.0236880489004155,-0.04967178404331207,-0.025873067734452585,543,0.2
352,7,148480,-2.0194646701343917,323.89,1,0.603636622428894,0.0119862575,0.1209860468748957,0.0003,-1.856481346487999,0.019856563466601074,-0.05639975890517235,-0.022872631257632746,553,0.2
169,15,151040,-1.9861294105960206,323.53,1,0.8862371444702148,0.023223687,0.15992761477828027,0.0003,-2.329457974433899,0.00865186844021082,-0.05490916222333908,-0.020499230355926556,563,0.2
176,14,153600,-1.9470957065873598,326.23,1,0.7923539876937866,0.015252037,0.14035042241215706,0.0003,-1.9873321199417113,0.0068152609281241896,-0.049226053059101105,-0.02476686951704323,573,0.2
0,2829,156160,-1.6376284764712594,329.48,1,0.9583495259284973,0.01126252,0.13385291548911482,0.0003,-1.8351919680833817,0.001933345898578409,-0.03848595172166824,-0.01950974692008458,583,0.2
0,4681,158720,-1.6293075778013133,330.4,1,0.7380836009979248,0.014666198,0.15466317457612605,0.0003,-1.939649659395218,0.012189955380745233,-0.05820048600435257,-0.0253868828935083,593,0.2
139,18,161280,-1.5746207354407848,337.24,1,0.7901350855827332,0.019311177,0.1681749789044261,0.0003,-2.1764571110407513,0.011565422204633554,-0.07764508575201035,-0.028676076349802314,603,0.2
120,21,163840,-1.6141419908141674,336.0,1,0.7644814848899841,0.017227288,0.17561063307027022,0.0003,-2.302602672576904,0.00648611014864097,-0.057749249041080475,-0.024247068089122574,613,0.2
184,13,166400,-1.6141419908141674,336.0,1,0.7848328351974487,0.017353307,0.13838931191712617,0.0003,-1.7876848489046098,0.012984570465050638,-0.06414248049259186,-0.029469773860182614,623,0.2
110,23,168960,-1.612241765339518,336.1,1,0.7016687989234924,0.018649006,0.15556640625,0.0003,-2.1605897307395936,0.0013409872131887822,-0.03416295349597931,-0.016546457749791445,633,0.2
259,9,171520,-1.612241765339518,336.1,1,0.6519544124603271,0.012998938,0.133826165786013,0.0003,-1.5069268971681595,0.008478769334033132,-0.05533980578184128,-0.02435044742487662,643,0.2
143,17,174080,-1.6626674891066238,340.14,1,0.62608802318573,0.014764239,0.09755859375,0.0003,-2.102680706977844,0.022456455789506436,-0.046856075525283813,-0.019182289508171378,653,0.2
103,24,176640,-1.655025959113532,341.35,1,0.7422868013381958,0.021582302,0.16367528177797794,0.0003,-1.7832984238862992,0.012380788265727461,-0.06576139479875565,-0.028112362427054904,663,0.2
84,30,179200,-1.5883770705743925,342.17,1,0.7291789650917053,0.021171799,0.20849091013272603,0.0003,-2.1672104676564534,0.008915271780764063,-0.08932683616876602,-0.032283737083586554,673,0.2
46,55,181760,-1.6071170003506416,343.15,1,0.7854124307632446,0.015850194,0.1853315322349469,0.0003,-2.032489081223806,0.006967659550718963,-0.07394509017467499,-0.026190167661601055,683,0.2
66,38,184320,-1.6239895283671655,355.48,1,0.7571703195571899,0.015874665,0.15196991175413133,0.0003,-1.951419026851654,0.013616232657805085,-0.08357776701450348,-0.025205489797517657,693,0.2
